,source,epoch1,epoch2,epoch3,epoch_h,epoch_min,epoch_sec,station1,station2,sigma,az_st1,el_st1,az_st2,el_st2,epoch_sec_tot,plot_1,plot_2
30,3C371,21,1.0,4.0,0.0,0.0,0.0,KOKEE12M,WETTZ13S,2.99019,346.29,38.53,9.75,30.37,0.0,-16.68662003816888,68.39938255078944
31,1851+488,21,1.0,4.0,0.0,0.0,27.0,KOKEE12M,WETTZ13S,7.33956,333.27,58.41,8.97,8.79,27.0,-21.205352505748383,42.10721117715444
32,0202+319,21,1.0,4.0,0.0,1.0,8.0,KOKEE12M,WETTZ13S,2.52297,60.42,13.92,289.51,26.65,68.0,75.97146589068939,43.12272915694126
33,0059+581,21,1.0,4.0,0.0,1.0,37.0,KOKEE12M,WETTZ13S,1.36839,34.24,28.37,321.05,35.40,97.0,44.557532512728564,65.4660597405869
34,0202+319,21,1.0,4.0,0.0,2.0,6.0,KOKEE12M,WETTZ13S,2.52297,60.48,14.11,289.67,26.50,126.0,75.95368737757512,43.007535203361165
35,1746+470,21,1.0,4.0,0.0,2.0,41.0,KOKEE12M,WETTZ13S,5.7668,318.57,50.76,20.49,9.66,161.0,-37.671708858988666,42.6850902606548
36,2353+816,21,1.0,4.0,0.0,3.0,11.0,KOKEE12M,WETTZ13S,6.2104,7.27,26.62,350.03,44.91,191.0,10.181805639787877,79.81298016149893
37,NGC6251,21,1.0,4.0,0.0,3.0,49.0,KOKEE12M,WETTZ13S,7.33956,352.95,26.0,8.02,44.03,229.0,-9.928250806315862,80.27987799564599
38,1849+670,21,1.0,4.0,0.0,4.0,28.0,KOKEE12M,WETTZ13S,2.24264,348.07,42.74,6.7,26.86,268.0,-13.663896246928005,64.67199251871465
39,1039+811,21,1.0,4.0,0.0,4.0,55.0,KOKEE12M,WETTZ13S,3.1052,354.4,14.61,11.19,55.31,295.0,-8.498481519557744,86.67421943166882
40,1039+811,21,1.0,4.0,0.0,5.0,12.0,KOKEE12M,WETTZ13S,3.1052,354.41,14.61,11.18,55.32,312.0,-8.483353885138408,86.6757013763768
41,3C418,21,1.0,4.0,0.0,5.0,42.0,KOKEE12M,WETTZ13S,1.52331,5.35,60.55,352.61,11.03,342.0,4.125823564470245,44.05698126296175
42,1803+784,21,1.0,4.0,0.0,6.0,10.0,KOKEE12M,WETTZ13S,1.4417,352.13,31.28,7.0,38.76,370.0,-10.532012960919763,76.19314677728741
43,1746+470,21,1.0,4.0,0.0,6.0,39.0,KOKEE12M,WETTZ13S,5.7668,318.11,50.15,21.14,9.89,399.0,-38.50653926134606,42.93131098502816
44,1849+670,21,1.0,4.0,0.0,7.0,8.0,KOKEE12M,WETTZ13S,2.24264,347.77,42.61,6.98,26.91,428.0,-14.031650952538087,64.73483805365744
45,1851+488,21,1.0,4.0,0.0,7.0,36.0,KOKEE12M,WETTZ13S,7.33956,331.58,57.65,10.14,8.99,456.0,-22.91993442809836,42.35418821195305
46,2356+385,21,1.0,4.0,0.0,8.0,17.0,KOKEE12M,WETTZ13S,8.07352,56.87,41.38,315.44,13.41,497.0,56.552470811401406,36.908300629610025
47,2229+695,21,1.0,4.0,0.0,9.0,16.0,KOKEE12M,WETTZ13S,5.38235,13.24,38.75,345.24,32.33,556.0,16.075560028797014,68.32391094053283
48,1849+670,21,1.0,4.0,0.0,9.0,45.0,KOKEE12M,WETTZ13S,2.24264,347.47,42.48,7.26,26.96,585.0,-14.400363591467837,64.7952689203775
49,1803+784,21,1.0,4.0,0.0,10.0,12.0,KOKEE12M,WETTZ13S,1.4417,351.94,31.15,7.24,38.84,612.0,-10.799458869336172,76.26258567157441
50,2353+816,21,1.0,4.0,0.0,10.0,40.0,KOKEE12M,WETTZ13S,6.2104,7.11,26.84,350.24,44.70,640.0,9.939647423597664,79.68686210035973
51,2356+385,21,1.0,4.0,0.0,11.0,21.0,KOKEE12M,WETTZ13S,8.07352,56.82,41.98,315.94,13.06,681.0,55.99570712101166,36.61465418750121
52,1851+488,21,1.0,4.0,0.0,12.0,24.0,KOKEE12M,WETTZ13S,7.33956,330.51,57.11,10.93,9.13,744.0,-24.058551493340243,42.54066800979146
53,3C418,21,1.0,4.0,0.0,13.0,0.0,KOKEE12M,WETTZ13S,1.52331,3.03,60.67,353.77,10.89,780.0,2.3303084848959377,44.023878143219754
54,0718+793,21,1.0,4.0,0.0,13.0,31.0,KOKEE12M,WETTZ13S,7.33956,2.88,11.63,357.12,59.87,811.0,4.429151446043765,88.04094464456279
55,0059+581,21,1.0,4.0,0.0,14.0,4.0,KOKEE12M,WETTZ13S,1.36839,34.08,29.99,322.3,34.13,844.0,43.67935366927524,64.56266919985815
56,0718+793,21,1.0,4.0,0.0,14.0,33.0,KOKEE12M,WETTZ13S,7.33956,2.93,11.64,357.03,59.86,873.0,4.505818036690271,88.03388217562078
57,1803+784,21,1.0,4.0,0.0,15.0,4.0,KOKEE12M,WETTZ13S,1.46791,351.73,30.99,7.52,38.94,904.0,-11.097559376497868,76.35084889545892
58,0718+793,21,1.0,4.0,0.0,15.0,31.0,KOKEE12M,WETTZ13S,7.33956,2.97,11.65,356.94,59.85,931.0,4.567111898587474,88.02754871825799
59,3C418,21,1.0,4.0,0.0,16.0,6.0,KOKEE12M,WETTZ13S,1.52331,2.05,60.7,354.26,10.84,966.0,1.5755401170286771,44.01623182855729
60,NGC6251,21,1.0,4.0,0.0,16.0,34.0,KOKEE12M,WETTZ13S,7.33956,352.73,25.63,8.42,44.33,994.0,-10.268456863291421,80.49222042861186
61,1842+681,21,1.0,4.0,0.0,17.0,13.0,KOKEE12M,WETTZ13S,7.33956,346.72,40.85,8.47,28.31,1033.0,-15.63824685224764,66.2577380344523
62,1806+456,21,1.0,4.0,0.0,17.0,54.0,KOKEE12M,WETTZ13S,6.72793,317.44,52.2,19.97,8.15,1074.0,-37.309228805276604,40.630375372839666
63,3C418,21,1.0,4.0,0.0,18.0,27.0,KOKEE12M,WETTZ13S,1.52331,1.29,60.72,354.63,10.80,1107.0,0.9909483835713547,44.00586516290654
64,DA426,21,1.0,4.0,0.0,18.0,58.0,KOKEE12M,WETTZ13S,6.72793,304.04,40.28,35.18,8.37,1138.0,-56.89528697788345,38.43417453815852
65,1842+681,21,1.0,4.0,0.0,19.0,37.0,KOKEE12M,WETTZ13S,7.33956,346.48,40.72,8.71,28.37,1177.0,-15.946833228419989,66.32134543847114
66,2353+816,21,1.0,4.0,0.0,20.0,17.0,KOKEE12M,WETTZ13S,6.2104,6.89,27.11,350.53,44.44,1217.0,9.610520834274798,79.53345028490881
67,0016+731,21,1.0,4.0,0.0,20.0,54.0,KOKEE12M,WETTZ13S,3.84453,15.76,30.55,340.76,39.97,1254.0,21.051481729225014,74.59308794510966
68,0059+581,21,1.0,4.0,0.0,21.0,22.0,KOKEE12M,WETTZ13S,1.36839,33.94,30.94,323.05,33.41,1282.0,43.09904819495005,64.04152656567419
69,2229+695,21,1.0,4.0,0.0,21.0,50.0,KOKEE12M,WETTZ13S,5.38235,12.12,39.39,346.37,31.82,1310.0,14.603966167170487,68.005588295042
70,0202+319,21,1.0,4.0,0.0,22.0,21.0,KOKEE12M,WETTZ13S,2.52297,61.73,18.23,292.95,23.40,1341.0,75.28683867419372,40.48695143180696
71,1039+811,21,1.0,4.0,0.0,22.0,54.0,KOKEE12M,WETTZ13S,3.1052,355.02,14.23,10.37,55.87,1374.0,-7.573000540292189,86.90918959604132
72,0109+224,21,1.0,4.0,0.0,23.0,27.0,KOKEE12M,WETTZ13S,1.87756,74.88,27.54,295.5,8.34,1407.0,77.03933052801781,20.81565902038451
73,2229+695,21,1.0,4.0,0.0,24.0,28.0,KOKEE12M,WETTZ13S,5.38235,11.88,39.51,346.61,31.72,1468.0,14.294321382829052,67.94895891542942
