,source,epoch1,epoch2,epoch3,epoch_h,epoch_min,epoch_sec,station1,station2,sigma,az_st1,el_st1,az_st2,el_st2,epoch_sec_tot,plot_1,plot_2
30,0059+581,21,1.0,4.0,0.0,0.0,0.0,KOKEE12M,WETTZ13S,1.36839,34.25,28.16,320.89,35.56,0.0,44.65687280192946,65.58740243680188
31,0109+224,21,1.0,4.0,0.0,0.0,30.0,KOKEE12M,WETTZ13S,1.87756,73.39,22.41,291.41,11.80,30.0,79.73131269088378,23.784089878661028
32,0133+476,21,1.0,4.0,0.0,1.0,28.0,KOKEE12M,WETTZ13S,2.12461,45.66,22.77,307.22,32.86,88.0,59.35195237606157,58.000094050131814
33,1746+470,21,1.0,4.0,0.0,2.0,2.0,KOKEE12M,WETTZ13S,5.7668,318.64,50.86,20.39,9.63,122.0,-37.53908324092866,42.63970438061212
34,1803+784,21,1.0,4.0,0.0,2.0,31.0,KOKEE12M,WETTZ13S,1.41641,352.29,31.39,6.79,38.68,151.0,-10.307145680942224,76.13321628871698
35,0109+224,21,1.0,4.0,0.0,3.0,4.0,KOKEE12M,WETTZ13S,1.87756,73.56,22.99,291.87,11.40,184.0,79.46432155769266,23.44791613338612
36,0133+476,21,1.0,4.0,0.0,4.0,2.0,KOKEE12M,WETTZ13S,2.12461,45.73,23.2,307.54,32.53,242.0,59.23390603028258,57.743428444500196
37,0718+793,21,1.0,4.0,0.0,4.0,33.0,KOKEE12M,WETTZ13S,7.33956,2.46,11.53,357.96,59.93,273.0,3.7850177891930876,88.10254879192743
38,1851+488,21,1.0,4.0,0.0,5.0,8.0,KOKEE12M,WETTZ13S,7.33956,332.15,57.92,9.74,8.92,308.0,-22.32982425944365,42.26284224342661
39,NGC6251,21,1.0,4.0,0.0,5.0,43.0,KOKEE12M,WETTZ13S,7.33956,352.92,25.94,8.08,44.07,343.0,-9.975370767675386,80.31562502573878
40,2309+454,21,1.0,4.0,0.0,6.0,26.0,KOKEE12M,WETTZ13S,8.07352,44.93,48.3,326.64,14.42,386.0,42.28324699180278,42.38669088681131
41,1851+488,21,1.0,4.0,0.0,7.0,3.0,KOKEE12M,WETTZ13S,7.33956,331.71,57.71,10.05,8.97,423.0,-22.786029700585587,42.335949332438766
42,2356+385,21,1.0,4.0,0.0,7.0,44.0,KOKEE12M,WETTZ13S,8.07352,56.88,41.28,315.35,13.47,464.0,56.64579228416616,36.95510978807912
43,1851+488,21,1.0,4.0,0.0,8.0,47.0,KOKEE12M,WETTZ13S,7.33956,331.32,57.51,10.34,9.02,527.0,-23.20098502361867,42.41260633041012
44,0202+319,21,1.0,4.0,0.0,9.0,28.0,KOKEE12M,WETTZ13S,2.52297,60.95,15.6,290.86,25.36,568.0,75.77938352024742,42.09168904833003
45,1849+670,21,1.0,4.0,0.0,10.0,1.0,KOKEE12M,WETTZ13S,2.24264,347.44,42.46,7.29,26.97,601.0,-14.43890117574104,64.8084245554456
46,1803+784,21,1.0,4.0,0.0,10.0,28.0,KOKEE12M,WETTZ13S,1.4417,351.93,31.14,7.25,38.84,628.0,-10.81390954190447,76.26874344469833
47,1039+811,21,1.0,4.0,0.0,10.0,55.0,KOKEE12M,WETTZ13S,3.1052,354.6,14.48,10.93,55.50,655.0,-8.200706481996242,86.75441274477946
48,1746+470,21,1.0,4.0,0.0,11.0,25.0,KOKEE12M,WETTZ13S,5.7668,317.59,49.41,21.91,10.18,685.0,-39.49317862398255,43.23539253944062
49,0202+319,21,1.0,4.0,0.0,12.0,0.0,KOKEE12M,WETTZ13S,2.52297,61.11,16.12,291.27,24.98,720.0,75.70118610690129,41.772062884341906
50,0718+793,21,1.0,4.0,0.0,12.0,32.0,KOKEE12M,WETTZ13S,7.33956,2.83,11.62,357.21,59.88,752.0,4.35247582774118,88.0479376623026
51,2309+454,21,1.0,4.0,0.0,13.0,6.0,KOKEE12M,WETTZ13S,8.07352,44.3,49.39,327.67,13.82,786.0,40.91428856398074,41.926429218725275
52,2309+454,21,1.0,4.0,0.0,13.0,28.0,KOKEE12M,WETTZ13S,8.07352,44.26,49.45,327.73,13.79,808.0,40.8350509136813,41.90371764371523
53,0109+224,21,1.0,4.0,0.0,14.0,2.0,KOKEE12M,WETTZ13S,1.87756,74.28,25.43,293.82,9.75,842.0,78.23985680013243,22.021703496399876
54,0016+731,21,1.0,4.0,0.0,15.0,2.0,KOKEE12M,WETTZ13S,3.84453,15.98,30.18,340.41,40.29,902.0,21.418625667557606,74.7941507437112
55,1726+455,21,1.0,4.0,0.0,15.0,34.0,KOKEE12M,WETTZ13S,8.07352,313.41,45.99,26.4,10.43,934.0,-45.42561574721548,42.97189007269424
56,2356+385,21,1.0,4.0,0.0,16.0,10.0,KOKEE12M,WETTZ13S,8.07352,56.71,42.91,316.72,12.51,970.0,55.101204958750316,36.18096146169689
57,2353+816,21,1.0,4.0,0.0,17.0,10.0,KOKEE12M,WETTZ13S,6.2104,6.96,27.02,350.44,44.52,1030.0,9.715476657586489,79.58549970631529
58,0109+224,21,1.0,4.0,0.0,17.0,52.0,KOKEE12M,WETTZ13S,1.87756,74.53,26.29,294.5,9.17,1072.0,77.76733175513611,21.522945660160538
