,source,epoch1,epoch2,epoch3,epoch_h,epoch_min,epoch_sec,station1,station2,sigma,az_st1,el_st1,az_st2,el_st2,epoch_sec_tot,plot_1,plot_2
30,1039+811,21,1.0,4.0,0.0,0.0,0.0,KOKEE12M,WETTZ13S,3.1052,354.23,14.73,11.4,55.16,0.0,-8.750812087189427,86.60112754500705
31,1851+488,21,1.0,4.0,0.0,0.0,30.0,KOKEE12M,WETTZ13S,7.33956,333.26,58.41,8.98,8.79,30.0,-21.21270127747382,42.10350950364102
32,2229+695,21,1.0,4.0,0.0,1.0,7.0,KOKEE12M,WETTZ13S,5.38235,13.94,38.3,344.51,32.68,67.0,17.015137090047624,68.54972005018128
33,1746+470,21,1.0,4.0,0.0,1.0,38.0,KOKEE12M,WETTZ13S,5.7668,318.69,50.92,20.32,9.60,98.0,-37.45358310047063,42.61751544486824
34,1726+455,21,1.0,4.0,0.0,2.0,5.0,KOKEE12M,WETTZ13S,8.07352,314.47,48.25,24.2,9.48,125.0,-42.76662368764995,41.98264978058098
35,0059+581,21,1.0,4.0,0.0,2.0,38.0,KOKEE12M,WETTZ13S,1.36839,34.23,28.5,321.15,35.29,158.0,44.49141023232535,65.39344391718328
36,2309+454,21,1.0,4.0,0.0,3.0,5.0,KOKEE12M,WETTZ13S,8.07352,45.22,47.75,326.12,14.72,185.0,42.95314436031846,42.62454799589945
37,0059+581,21,1.0,4.0,0.0,3.0,37.0,KOKEE12M,WETTZ13S,1.36839,34.22,28.63,321.25,35.19,217.0,44.42508567414005,65.32047032188432
38,0109+224,21,1.0,4.0,0.0,4.0,7.0,KOKEE12M,WETTZ13S,1.87756,73.63,23.22,292.05,11.24,247.0,79.3568828513195,23.310857300638133
39,3C418,21,1.0,4.0,0.0,5.0,8.0,KOKEE12M,WETTZ13S,1.52331,5.52,60.54,352.52,11.04,308.0,4.257840597669344,44.058159948322476
40,1726+455,21,1.0,4.0,0.0,5.0,39.0,KOKEE12M,WETTZ13S,8.07352,314.17,47.66,24.78,9.73,339.0,-43.479510436792275,42.237704047566865
41,1039+811,21,1.0,4.0,0.0,6.0,9.0,KOKEE12M,WETTZ13S,3.1052,354.44,14.58,11.14,55.35,369.0,-8.439119931544608,86.6919500112968
42,0202+319,21,1.0,4.0,0.0,6.0,42.0,KOKEE12M,WETTZ13S,2.52297,60.78,15.04,290.41,25.79,402.0,75.85699789655598,42.42979971728186
43,0059+581,21,1.0,4.0,0.0,7.0,11.0,KOKEE12M,WETTZ13S,1.36839,34.18,29.1,321.6,34.83,431.0,44.17924947847181,65.05662831165239
44,3C418,21,1.0,4.0,0.0,7.0,40.0,KOKEE12M,WETTZ13S,1.52331,4.73,60.59,352.92,10.99,460.0,3.6443363532093174,44.04450925042894
45,NGC6251,21,1.0,4.0,0.0,8.0,8.0,KOKEE12M,WETTZ13S,7.33956,352.87,25.88,8.16,44.13,488.0,-10.050567166948365,80.34775322505166
46,2229+695,21,1.0,4.0,0.0,8.0,48.0,KOKEE12M,WETTZ13S,5.38235,13.29,38.72,345.2,32.35,528.0,16.14195607342389,68.3385530068366
47,1039+811,21,1.0,4.0,0.0,9.0,17.0,KOKEE12M,WETTZ13S,3.1052,354.55,14.51,11.0,55.45,557.0,-8.275290612080804,86.73548166671301
48,1803+784,21,1.0,4.0,0.0,9.0,44.0,KOKEE12M,WETTZ13S,1.4417,351.97,31.16,7.21,38.83,584.0,-10.758391177504514,76.26018288751446
49,0718+793,21,1.0,4.0,0.0,10.0,11.0,KOKEE12M,WETTZ13S,7.33956,2.72,11.59,357.43,59.89,611.0,4.183877860666123,88.06560046627722
50,1803+784,21,1.0,4.0,0.0,10.0,42.0,KOKEE12M,WETTZ13S,1.4417,351.92,31.13,7.27,38.85,642.0,-10.828362363060585,76.27489617321089
51,2229+695,21,1.0,4.0,0.0,11.0,10.0,KOKEE12M,WETTZ13S,5.38235,13.08,38.85,345.41,32.25,670.0,15.862426171963806,68.27266290655912
52,1849+670,21,1.0,4.0,0.0,11.0,39.0,KOKEE12M,WETTZ13S,2.24264,347.25,42.38,7.47,27.00,699.0,-14.672442284046648,64.84286463707703
53,1842+681,21,1.0,4.0,0.0,12.0,5.0,KOKEE12M,WETTZ13S,7.33956,347.24,41.12,7.94,28.19,725.0,-14.97483826604853,66.12564464731373
54,2229+695,21,1.0,4.0,0.0,12.0,46.0,KOKEE12M,WETTZ13S,5.38235,12.94,38.93,345.55,32.19,766.0,15.677890376264054,68.23432672028497
55,1803+784,21,1.0,4.0,0.0,13.0,14.0,KOKEE12M,WETTZ13S,1.46791,351.81,31.05,7.42,38.90,794.0,-10.984023687679143,76.31819554591046
56,3C371,21,1.0,4.0,0.0,13.0,41.0,KOKEE12M,WETTZ13S,2.99019,345.17,37.75,11.04,30.77,821.0,-18.21406847325096,68.79161813820208
57,1851+488,21,1.0,4.0,0.0,14.0,9.0,KOKEE12M,WETTZ13S,7.33956,330.14,56.9,11.22,9.19,849.0,-24.470510451953928,42.62435533815889
58,1849+670,21,1.0,4.0,0.0,14.0,44.0,KOKEE12M,WETTZ13S,2.24264,346.91,42.22,7.8,27.07,884.0,-15.095275502662133,64.9194066998599
59,0016+731,21,1.0,4.0,0.0,15.0,13.0,KOKEE12M,WETTZ13S,3.84453,15.97,30.19,340.42,40.28,913.0,21.40339832844454,74.79029480659325
60,3C418,21,1.0,4.0,0.0,15.0,41.0,KOKEE12M,WETTZ13S,1.52331,2.18,60.7,354.19,10.84,941.0,1.675405637939169,44.01254374600527
61,1039+811,21,1.0,4.0,0.0,16.0,11.0,KOKEE12M,WETTZ13S,3.1052,354.79,14.37,10.69,55.66,971.0,-7.916882020563882,86.82399597191659
62,0059+581,21,1.0,4.0,0.0,16.0,41.0,KOKEE12M,WETTZ13S,1.36839,34.03,30.34,322.57,33.87,1001.0,43.46839356138783,64.37181393194285
63,0016+731,21,1.0,4.0,0.0,17.0,9.0,KOKEE12M,WETTZ13S,3.84453,15.9,30.32,340.54,40.17,1029.0,21.28382173598118,74.71743672752685
64,1851+488,21,1.0,4.0,0.0,17.0,39.0,KOKEE12M,WETTZ13S,7.33956,329.4,56.5,11.79,9.30,1059.0,-25.28629059674181,42.756782356435195
65,2356+385,21,1.0,4.0,0.0,18.0,20.0,KOKEE12M,WETTZ13S,8.07352,56.66,43.34,317.08,12.27,1100.0,54.683873085995934,35.97526499918383
66,0059+581,21,1.0,4.0,0.0,19.0,17.0,KOKEE12M,WETTZ13S,1.36839,33.98,30.67,322.83,33.61,1157.0,43.26513907358401,64.19152872052989
67,2356+385,21,1.0,4.0,0.0,19.0,45.0,KOKEE12M,WETTZ13S,8.07352,56.62,43.61,317.31,12.11,1185.0,54.41507380274854,35.85288370241083
68,DA426,21,1.0,4.0,0.0,20.0,50.0,KOKEE12M,WETTZ13S,6.72793,304.01,39.92,35.49,8.55,1250.0,-57.21733862135437,38.608113620215626
69,0109+224,21,1.0,4.0,0.0,21.0,36.0,KOKEE12M,WETTZ13S,1.87756,74.76,27.13,295.17,8.62,1296.0,77.28089683077589,21.054700828618618
70,1039+811,21,1.0,4.0,0.0,22.0,38.0,KOKEE12M,WETTZ13S,3.1052,355.02,14.23,10.38,55.86,1358.0,-7.573000540292189,86.90918959604132
71,NGC6251,21,1.0,4.0,0.0,23.0,5.0,KOKEE12M,WETTZ13S,7.33956,352.63,25.44,8.62,44.49,1385.0,-10.425429467373961,80.6017642154519
72,1851+488,21,1.0,4.0,0.0,23.0,45.0,KOKEE12M,WETTZ13S,7.33956,328.17,55.76,12.78,9.51,1425.0,-26.7072872727348,43.02412790408568
73,1746+470,21,1.0,4.0,0.0,24.0,19.0,KOKEE12M,WETTZ13S,5.7668,316.34,47.36,24.0,11.01,1459.0,-42.08891552776166,44.10513900986692
74,2353+816,21,1.0,4.0,0.0,24.0,50.0,KOKEE12M,WETTZ13S,6.2104,6.78,27.23,350.68,44.32,1490.0,9.447648388975368,79.46628338250298
75,2353+816,21,1.0,4.0,0.0,25.0,17.0,KOKEE12M,WETTZ13S,6.2104,6.77,27.25,350.69,44.31,1517.0,9.432083630078916,79.4536517035215
76,2353+816,21,1.0,4.0,0.0,25.0,44.0,KOKEE12M,WETTZ13S,6.2104,6.76,27.26,350.71,44.29,1544.0,9.417369457921476,79.44815322689217
77,2229+695,21,1.0,4.0,0.0,26.0,21.0,KOKEE12M,WETTZ13S,5.38235,11.7,39.6,346.78,31.65,1581.0,14.062526688499034,67.90537288909793
78,3C418,21,1.0,4.0,0.0,26.0,48.0,KOKEE12M,WETTZ13S,1.52331,358.62,60.72,355.96,10.69,1608.0,-1.0600713839671438,44.0042542954168
79,0016+731,21,1.0,4.0,0.0,27.0,16.0,KOKEE12M,WETTZ13S,3.84453,15.52,30.95,341.14,39.63,1636.0,20.65288363865524,74.37107311547129
80,0718+793,21,1.0,4.0,0.0,27.0,44.0,KOKEE12M,WETTZ13S,8.07352,3.54,11.81,355.82,59.73,1664.0,5.439447799961963,87.92676075095576
81,NGC6251,21,1.0,4.0,0.0,28.0,15.0,KOKEE12M,WETTZ13S,7.33956,352.56,25.28,8.78,44.62,1695.0,-10.53783396493792,80.69570533721814
82,2309+454,21,1.0,4.0,0.0,28.0,58.0,KOKEE12M,WETTZ13S,8.07352,42.53,51.92,330.16,12.48,1738.0,37.522424347843256,40.905520239031055
83,3C418,21,1.0,4.0,0.0,29.0,33.0,KOKEE12M,WETTZ13S,1.52331,357.75,60.7,356.39,10.66,1773.0,-1.7291758402243096,44.010464005270954
84,2309+454,21,1.0,4.0,0.0,30.0,3.0,KOKEE12M,WETTZ13S,8.07352,42.4,52.09,330.33,12.39,1803.0,37.28761528296728,40.835149262305784
85,1806+456,21,1.0,4.0,0.0,30.0,42.0,KOKEE12M,WETTZ13S,6.72793,315.96,50.16,22.11,8.90,1842.0,-40.08164953271394,41.44781669712152
86,1851+488,21,1.0,4.0,0.0,31.0,12.0,KOKEE12M,WETTZ13S,7.33956,326.77,54.83,13.99,9.80,1872.0,-28.408602285807053,43.36332318087755
