,source,epoch1,epoch2,epoch3,epoch_h,epoch_min,epoch_sec,station1,station2,sigma,az_st1,el_st1,az_st2,el_st2,epoch_sec_tot,plot_1,plot_2
30,2309+454,21,1.0,4.0,0.0,0.0,0.0,KOKEE12M,WETTZ13S,8.07352,45.48,47.24,325.65,15.00,0.0,43.567218296456595,42.843290375727015
31,1039+811,21,1.0,4.0,0.0,0.0,36.0,KOKEE12M,WETTZ13S,3.1052,354.25,14.71,11.37,55.18,36.0,-8.721381824440607,86.61211936171577
32,2229+695,21,1.0,4.0,0.0,1.0,5.0,KOKEE12M,WETTZ13S,5.38235,13.94,38.3,344.51,32.68,65.0,17.015137090047624,68.54972005018128
33,0133+476,21,1.0,4.0,0.0,1.0,35.0,KOKEE12M,WETTZ13S,2.12461,45.66,22.79,307.23,32.85,95.0,59.3432525862661,57.99159241528825
34,1746+470,21,1.0,4.0,0.0,2.0,9.0,KOKEE12M,WETTZ13S,5.7668,318.63,50.85,20.4,9.63,129.0,-37.55457623110207,42.64229423833184
35,NGC6251,21,1.0,4.0,0.0,2.0,38.0,KOKEE12M,WETTZ13S,7.33956,352.97,26.03,7.98,44.00,158.0,-9.897697598878073,80.26282526097039
36,NGC6251,21,1.0,4.0,0.0,3.0,7.0,KOKEE12M,WETTZ13S,7.33956,352.96,26.02,7.99,44.01,187.0,-9.912550662194777,80.26793668128511
37,1039+811,21,1.0,4.0,0.0,3.0,46.0,KOKEE12M,WETTZ13S,3.1052,354.36,14.64,11.24,55.28,226.0,-8.557820118207182,86.65642446540144
38,0202+319,21,1.0,4.0,0.0,4.0,19.0,KOKEE12M,WETTZ13S,2.52297,60.63,14.56,290.03,26.16,259.0,75.9135032442365,42.72270792510693
39,1849+670,21,1.0,4.0,0.0,4.0,52.0,KOKEE12M,WETTZ13S,2.24264,348.03,42.72,6.74,26.86,292.0,-13.713463637622098,64.68329114837647
40,0059+581,21,1.0,4.0,0.0,5.0,22.0,KOKEE12M,WETTZ13S,1.36839,34.2,28.86,321.42,35.01,322.0,44.30462243171092,65.19227219253767
41,2229+695,21,1.0,4.0,0.0,5.0,50.0,KOKEE12M,WETTZ13S,5.38235,13.54,38.56,344.93,32.47,350.0,16.47672694872243,68.42004346441047
42,NGC6251,21,1.0,4.0,0.0,6.0,18.0,KOKEE12M,WETTZ13S,7.33956,352.91,25.93,8.1,44.09,378.0,-9.990236276195446,80.32070013795054
43,0133+476,21,1.0,4.0,0.0,7.0,1.0,KOKEE12M,WETTZ13S,2.07013,45.8,23.7,307.92,32.14,421.0,59.08034035744934,57.45312054590872
