,source,epoch1,epoch2,epoch3,epoch_h,epoch_min,epoch_sec,station1,station2,sigma,az_st1,el_st1,az_st2,el_st2,epoch_sec_tot,plot_1,plot_2
30,2229+695,21,1.0,4.0,0.0,0.0,0.0,KOKEE12M,WETTZ13S,5.38235,14.03,38.24,344.42,32.73,0.0,17.136945320586122,68.57954087522555
31,2229+695,21,1.0,4.0,0.0,0.0,17.0,KOKEE12M,WETTZ13S,5.38235,14.01,38.25,344.44,32.72,17.0,17.110651495996084,68.57608423495019
32,3C418,21,1.0,4.0,0.0,0.0,44.0,KOKEE12M,WETTZ13S,1.52331,6.9,60.43,351.83,11.14,44.0,5.335732081074478,44.09211403794241
33,1842+681,21,1.0,4.0,0.0,1.0,12.0,KOKEE12M,WETTZ13S,7.33956,348.39,41.65,6.82,27.96,72.0,-13.53391874718709,65.87373929417427
34,3C418,21,1.0,4.0,0.0,1.0,52.0,KOKEE12M,WETTZ13S,1.52331,6.55,60.46,352.01,11.11,112.0,5.061614810577329,44.08316062543335
35,0718+793,21,1.0,4.0,0.0,2.0,23.0,KOKEE12M,WETTZ13S,7.33956,2.36,11.51,358.16,59.94,143.0,3.6315025013689177,88.1152894555277
36,0109+224,21,1.0,4.0,0.0,2.0,59.0,KOKEE12M,WETTZ13S,1.87756,73.56,22.97,291.85,11.42,179.0,79.47608520482186,23.451387288816647
37,1726+455,21,1.0,4.0,0.0,4.0,4.0,KOKEE12M,WETTZ13S,8.07352,314.3,47.92,24.52,9.62,244.0,-43.167066043407694,42.12497533111161
38,3C418,21,1.0,4.0,0.0,4.0,35.0,KOKEE12M,WETTZ13S,1.52331,5.7,60.52,352.44,11.05,275.0,4.3989486570949445,44.07178204248467
39,0109+224,21,1.0,4.0,0.0,5.0,7.0,KOKEE12M,WETTZ13S,1.87756,73.7,23.44,292.23,11.09,307.0,79.25394732661437,23.175476058656038
40,1726+455,21,1.0,4.0,0.0,6.0,12.0,KOKEE12M,WETTZ13S,8.07352,314.12,47.56,24.87,9.76,372.0,-43.599638291870924,42.28051017418218
41,0059+581,21,1.0,4.0,0.0,6.0,45.0,KOKEE12M,WETTZ13S,1.36839,34.18,29.04,321.56,34.87,405.0,44.20497568552532,65.09451171415259
42,0059+581,21,1.0,4.0,0.0,7.0,2.0,KOKEE12M,WETTZ13S,1.36839,34.18,29.08,321.59,34.84,422.0,44.187830265324365,65.06926404149114
43,0202+319,21,1.0,4.0,0.0,7.0,31.0,KOKEE12M,WETTZ13S,2.52297,60.83,15.21,290.55,25.66,451.0,75.83315615235746,42.32962540679107
44,2229+695,21,1.0,4.0,0.0,8.0,2.0,KOKEE12M,WETTZ13S,5.38235,13.35,38.68,345.13,32.38,482.0,16.222582074039014,68.35983530276401
45,0202+319,21,1.0,4.0,0.0,8.0,33.0,KOKEE12M,WETTZ13S,2.52297,60.9,15.42,290.71,25.50,513.0,75.80868638092771,42.19457354960702
46,3C371,21,1.0,4.0,0.0,9.0,6.0,KOKEE12M,WETTZ13S,2.99019,345.53,38.02,10.61,30.63,546.0,-17.716404438775776,68.65252366710908
47,2229+695,21,1.0,4.0,0.0,9.0,35.0,KOKEE12M,WETTZ13S,5.38235,13.22,38.76,345.27,32.32,575.0,16.0494607783096,68.31994573940213
48,0109+224,21,1.0,4.0,0.0,10.0,6.0,KOKEE12M,WETTZ13S,1.87756,74.03,24.55,293.12,10.34,606.0,78.70444819344274,22.523546126685122
49,1726+455,21,1.0,4.0,0.0,11.0,11.0,KOKEE12M,WETTZ13S,7.33956,313.73,46.73,25.69,10.11,671.0,-44.577049789987974,42.64343169332201
50,0133+476,21,1.0,4.0,0.0,11.0,46.0,KOKEE12M,WETTZ13S,2.07013,45.9,24.49,308.52,31.53,706.0,58.81671763964897,56.997364650871255
51,2356+385,21,1.0,4.0,0.0,12.0,13.0,KOKEE12M,WETTZ13S,8.07352,56.8,42.15,316.08,12.96,733.0,55.83322021654303,36.53623553012472
52,0133+476,21,1.0,4.0,0.0,13.0,9.0,KOKEE12M,WETTZ13S,2.07013,45.93,24.72,308.69,31.35,789.0,58.73847524108377,56.86193520379169
53,2229+695,21,1.0,4.0,0.0,13.0,38.0,KOKEE12M,WETTZ13S,5.38235,12.86,38.98,345.63,32.15,818.0,15.571611824862682,68.2080104881193
54,2309+454,21,1.0,4.0,0.0,14.0,7.0,KOKEE12M,WETTZ13S,8.07352,44.2,49.55,327.83,13.74,847.0,40.70787468088966,41.8608261574509
55,1803+784,21,1.0,4.0,0.0,14.0,43.0,KOKEE12M,WETTZ13S,1.46791,351.75,31.0,7.5,38.93,883.0,-11.069746511656309,76.3467127088687
56,1726+455,21,1.0,4.0,0.0,15.0,13.0,KOKEE12M,WETTZ13S,8.07352,313.43,46.05,26.35,10.40,913.0,-45.361361780051276,42.94112058619047
57,DA426,21,1.0,4.0,0.0,15.0,41.0,KOKEE12M,WETTZ13S,6.72793,304.1,40.91,34.62,8.06,941.0,-56.321787730199304,38.132717055525404
58,0016+731,21,1.0,4.0,0.0,16.0,22.0,KOKEE12M,WETTZ13S,3.84453,15.93,30.27,340.49,40.22,982.0,21.33381487599291,74.74438040882347
59,1806+456,21,1.0,4.0,0.0,16.0,53.0,KOKEE12M,WETTZ13S,6.72793,317.57,52.36,19.8,8.09,1013.0,-37.08281564485066,40.56818616048554
60,0718+793,21,1.0,4.0,0.0,17.0,27.0,KOKEE12M,WETTZ13S,7.33956,3.06,11.68,356.76,59.83,1047.0,4.704870940136113,88.0107517680888
61,3C371,21,1.0,4.0,0.0,17.0,59.0,KOKEE12M,WETTZ13S,2.99019,344.83,37.49,11.44,30.91,1079.0,-18.687200931128913,68.92293620850722
62,2356+385,21,1.0,4.0,0.0,18.0,31.0,KOKEE12M,WETTZ13S,8.07352,56.65,43.37,317.11,12.25,1111.0,54.65056941159608,35.967023377050346
63,0059+581,21,1.0,4.0,0.0,19.0,28.0,KOKEE12M,WETTZ13S,1.36839,33.98,30.7,322.85,33.59,1168.0,43.2516984737571,64.17158720021389
64,1851+488,21,1.0,4.0,0.0,20.0,0.0,KOKEE12M,WETTZ13S,7.33956,328.91,56.22,12.17,9.38,1200.0,-25.84010529381757,42.85254039348354
65,0109+224,21,1.0,4.0,0.0,20.0,42.0,KOKEE12M,WETTZ13S,1.87756,74.71,26.93,295.01,8.75,1242.0,77.40021188085747,21.159782701045025
66,0109+224,21,1.0,4.0,0.0,21.0,28.0,KOKEE12M,WETTZ13S,1.87756,74.76,27.1,295.15,8.64,1288.0,77.30161954715284,21.060346604115093
67,1851+488,21,1.0,4.0,0.0,22.0,32.0,KOKEE12M,WETTZ13S,7.33956,328.41,55.91,12.59,9.47,1352.0,-26.42470867324272,42.969553329073435
68,0109+224,21,1.0,4.0,0.0,23.0,14.0,KOKEE12M,WETTZ13S,1.87756,74.87,27.49,295.46,8.38,1394.0,77.0707224830262,20.838575060168942
69,3C418,21,1.0,4.0,0.0,24.0,16.0,KOKEE12M,WETTZ13S,1.52331,359.43,60.73,355.55,10.72,1456.0,-0.43775437744399354,44.00114183477332
70,1851+488,21,1.0,4.0,0.0,24.0,45.0,KOKEE12M,WETTZ13S,7.33956,327.97,55.64,12.95,9.55,1485.0,-26.939892746898668,43.06265124692315
71,1746+470,21,1.0,4.0,0.0,25.0,19.0,KOKEE12M,WETTZ13S,5.7668,316.25,47.2,24.16,11.07,1519.0,-42.285827928111466,44.17235212800574
72,1803+784,21,1.0,4.0,0.0,25.0,48.0,KOKEE12M,WETTZ13S,1.52331,351.27,30.62,8.14,39.18,1548.0,-11.75535429413826,76.5534836013046
