,source,epoch1,epoch2,epoch3,epoch_h,epoch_min,epoch_sec,station1,station2,sigma,az_st1,el_st1,az_st2,el_st2,epoch_sec_tot,plot_1,plot_2
30,3C418,21,1.0,4.0,0.0,0.0,0.0,KOKEE12M,WETTZ13S,1.52331,7.13,60.41,351.71,11.16,0.0,5.5160768659671895,44.09744996826045
31,0059+581,21,1.0,4.0,0.0,0.0,29.0,KOKEE12M,WETTZ13S,1.36839,34.25,28.22,320.94,35.51,29.0,44.631815397896894,65.55060070978453
32,3C371,21,1.0,4.0,0.0,0.0,59.0,KOKEE12M,WETTZ13S,2.99019,346.21,38.48,9.84,30.40,59.0,-16.793762708961637,68.42350508692051
33,0202+319,21,1.0,4.0,0.0,1.0,32.0,KOKEE12M,WETTZ13S,2.52297,60.44,14.0,289.58,26.58,92.0,75.96014416669492,43.08125171409925
34,0718+793,21,1.0,4.0,0.0,2.0,4.0,KOKEE12M,WETTZ13S,7.33956,2.34,11.51,358.19,59.95,124.0,3.6007442423028286,88.11655172072045
35,0202+319,21,1.0,4.0,0.0,2.0,40.0,KOKEE12M,WETTZ13S,2.52297,60.52,14.23,289.76,26.41,160.0,75.943524464973,42.93179084620127
36,2353+816,21,1.0,4.0,0.0,3.0,11.0,KOKEE12M,WETTZ13S,6.2104,7.27,26.62,350.03,44.91,191.0,10.181805639787877,79.81298016149893
37,1803+784,21,1.0,4.0,0.0,3.0,49.0,KOKEE12M,WETTZ13S,1.41641,352.23,31.35,6.86,38.71,229.0,-10.391288537906304,76.15478854401378
38,1746+470,21,1.0,4.0,0.0,4.0,18.0,KOKEE12M,WETTZ13S,5.7668,318.38,50.51,20.76,9.76,258.0,-38.01470029983588,42.78689558977642
39,1803+784,21,1.0,4.0,0.0,4.0,47.0,KOKEE12M,WETTZ13S,1.4417,352.19,31.32,6.92,38.73,287.0,-10.447782204648956,76.17179453394311
40,1851+488,21,1.0,4.0,0.0,5.0,15.0,KOKEE12M,WETTZ13S,7.33956,332.13,57.9,9.76,8.92,315.0,-22.35701753121312,42.27857394296908
41,1039+811,21,1.0,4.0,0.0,5.0,52.0,KOKEE12M,WETTZ13S,3.1052,354.43,14.59,11.15,55.34,352.0,-8.453866473057696,86.6865389466211
42,1851+488,21,1.0,4.0,0.0,6.0,22.0,KOKEE12M,WETTZ13S,7.33956,331.87,57.78,9.94,8.95,382.0,-22.623875573436653,42.317410944311945
43,1726+455,21,1.0,4.0,0.0,6.0,57.0,KOKEE12M,WETTZ13S,8.07352,314.06,47.44,25.0,9.82,417.0,-43.74375842830278,42.33147328980479
44,0016+731,21,1.0,4.0,0.0,7.0,29.0,KOKEE12M,WETTZ13S,3.84453,16.23,29.7,339.98,40.71,449.0,21.849947019734618,75.06129194880538
45,1842+681,21,1.0,4.0,0.0,7.0,58.0,KOKEE12M,WETTZ13S,7.33956,347.67,41.33,7.52,28.10,478.0,-14.43173231108319,66.02379235673861
46,0016+731,21,1.0,4.0,0.0,8.0,39.0,KOKEE12M,WETTZ13S,3.84453,16.19,29.77,340.04,40.64,519.0,21.782332874658668,75.02415374230848
47,1803+784,21,1.0,4.0,0.0,9.0,8.0,KOKEE12M,WETTZ13S,1.4417,351.99,31.18,7.18,38.82,548.0,-10.729504900651762,76.2478320410006
48,0016+731,21,1.0,4.0,0.0,9.0,37.0,KOKEE12M,WETTZ13S,3.84453,16.16,29.83,340.1,40.59,577.0,21.730011161928605,74.99056065007939
49,1803+784,21,1.0,4.0,0.0,10.0,6.0,KOKEE12M,WETTZ13S,1.4417,351.95,31.15,7.23,38.84,606.0,-10.786148372758053,76.26446937116627
50,0016+731,21,1.0,4.0,0.0,10.0,35.0,KOKEE12M,WETTZ13S,3.84453,16.13,29.9,340.15,40.54,635.0,21.675531771200593,74.94933025910322
51,3C371,21,1.0,4.0,0.0,11.0,4.0,KOKEE12M,WETTZ13S,2.99019,345.38,37.9,10.79,30.69,664.0,-17.925340930859782,68.71809852812862
52,2229+695,21,1.0,4.0,0.0,11.0,33.0,KOKEE12M,WETTZ13S,5.38235,13.04,38.87,345.44,32.24,693.0,15.810311589962453,68.26451765401131
53,NGC6251,21,1.0,4.0,0.0,12.0,1.0,KOKEE12M,WETTZ13S,7.33956,352.81,25.76,8.28,44.22,721.0,-10.144977046550533,80.41863701477519
