,source,epoch1,epoch2,epoch3,epoch_h,epoch_min,epoch_sec,station1,station2,sigma,az_st1,el_st1,az_st2,el_st2,epoch_sec_tot,plot_1,plot_2
30,1842+681,21,1.0,4.0,0.0,0.0,0.0,KOKEE12M,WETTZ13S,7.33956,348.52,41.71,6.7,27.94,0.0,-13.371947933749226,65.84285908099613
31,1726+455,21,1.0,4.0,0.0,0.0,41.0,KOKEE12M,WETTZ13S,8.07352,314.6,48.48,23.97,9.39,41.0,-42.4789967350258,41.889980589343594
32,0718+793,21,1.0,4.0,0.0,1.0,12.0,KOKEE12M,WETTZ13S,7.33956,2.3,11.5,358.27,59.95,72.0,3.539352144903571,88.12217452421807
33,0202+319,21,1.0,4.0,0.0,1.0,48.0,KOKEE12M,WETTZ13S,2.52297,60.46,14.05,289.62,26.54,108.0,75.958618146763,43.045349767492915
34,1726+455,21,1.0,4.0,0.0,2.0,23.0,KOKEE12M,WETTZ13S,8.07352,314.45,48.2,24.25,9.50,143.0,-42.82308837964233,42.00873630798389
35,2309+454,21,1.0,4.0,0.0,2.0,57.0,KOKEE12M,WETTZ13S,8.07352,45.24,47.73,326.1,14.73,177.0,42.98453014556804,42.62592381721446
36,0059+581,21,1.0,4.0,0.0,3.0,29.0,KOKEE12M,WETTZ13S,1.36839,34.22,28.62,321.23,35.21,209.0,44.42931768745826,65.32669286701078
37,1803+784,21,1.0,4.0,0.0,3.0,59.0,KOKEE12M,WETTZ13S,1.41641,352.23,31.35,6.87,38.71,239.0,-10.391288537906304,76.15478854401378
38,2309+454,21,1.0,4.0,0.0,4.0,30.0,KOKEE12M,WETTZ13S,8.07352,45.1,47.98,326.34,14.59,270.0,42.67400257703563,42.5253015882367
39,1746+470,21,1.0,4.0,0.0,5.0,9.0,KOKEE12M,WETTZ13S,5.7668,318.28,50.38,20.89,9.81,309.0,-38.19409691648169,42.837999172978336
40,1746+470,21,1.0,4.0,0.0,5.0,26.0,KOKEE12M,WETTZ13S,5.7668,318.25,50.34,20.94,9.82,326.0,-38.248740156065146,42.85409275739876
41,0718+793,21,1.0,4.0,0.0,5.0,57.0,KOKEE12M,WETTZ13S,7.33956,2.52,11.55,357.83,59.92,357.0,3.877000138647285,88.09225808252373
42,3C418,21,1.0,4.0,0.0,6.0,32.0,KOKEE12M,WETTZ13S,1.52331,5.08,60.57,352.75,11.01,392.0,3.9157423239412577,44.0486827498049
43,3C371,21,1.0,4.0,0.0,7.0,0.0,KOKEE12M,WETTZ13S,2.99019,345.71,38.14,10.41,30.57,420.0,-17.471943471026506,68.5951829187425
44,3C371,21,1.0,4.0,0.0,7.0,17.0,KOKEE12M,WETTZ13S,2.99019,345.68,38.12,10.44,30.58,437.0,-17.512655200786494,68.6048202266001
45,1842+681,21,1.0,4.0,0.0,7.0,44.0,KOKEE12M,WETTZ13S,7.33956,347.7,41.34,7.5,28.09,464.0,-14.394950276213173,66.02120339506617
46,1849+670,21,1.0,4.0,0.0,8.0,22.0,KOKEE12M,WETTZ13S,2.24264,347.63,42.55,7.12,26.93,502.0,-14.20344697958069,64.76264843723254
47,1746+470,21,1.0,4.0,0.0,8.0,51.0,KOKEE12M,WETTZ13S,5.7668,317.86,49.81,21.5,10.02,531.0,-38.96791256457977,43.06616407666184
48,0059+581,21,1.0,4.0,0.0,9.0,24.0,KOKEE12M,WETTZ13S,1.36839,34.15,29.39,321.83,34.60,564.0,44.0202504630238,64.89557806218673
49,1746+470,21,1.0,4.0,0.0,9.0,57.0,KOKEE12M,WETTZ13S,5.7668,317.74,49.64,21.68,10.09,597.0,-39.19503535836543,43.13523967749166
50,1849+670,21,1.0,4.0,0.0,10.0,26.0,KOKEE12M,WETTZ13S,2.24264,347.39,42.44,7.34,26.98,626.0,-14.50008082666097,64.81649216248285
51,NGC6251,21,1.0,4.0,0.0,10.0,53.0,KOKEE12M,WETTZ13S,7.33956,352.83,25.8,8.24,44.19,653.0,-10.113494290311197,80.39506044134178
52,2229+695,21,1.0,4.0,0.0,11.0,33.0,KOKEE12M,WETTZ13S,5.38235,13.04,38.87,345.44,32.24,693.0,15.810311589962453,68.26451765401131
53,NGC6251,21,1.0,4.0,0.0,12.0,1.0,KOKEE12M,WETTZ13S,7.33956,352.81,25.76,8.28,44.22,721.0,-10.144977046550533,80.41863701477519
54,0202+319,21,1.0,4.0,0.0,12.0,46.0,KOKEE12M,WETTZ13S,2.52297,61.16,16.27,291.4,24.86,766.0,75.68004505479423,41.67428613574352
55,0109+224,21,1.0,4.0,0.0,13.0,13.0,KOKEE12M,WETTZ13S,1.87756,74.23,25.25,293.67,9.87,793.0,78.33706561692102,22.122860182516046
56,2309+454,21,1.0,4.0,0.0,14.0,11.0,KOKEE12M,WETTZ13S,8.07352,44.19,49.56,327.84,13.73,851.0,40.69223540199599,41.8593588254475
57,1039+811,21,1.0,4.0,0.0,14.0,47.0,KOKEE12M,WETTZ13S,3.1052,354.74,14.4,10.75,55.62,887.0,-7.99157395615861,86.80539614494535
58,2353+816,21,1.0,4.0,0.0,15.0,15.0,KOKEE12M,WETTZ13S,6.2104,7.0,26.97,350.38,44.58,915.0,9.77538011492818,79.6140821211092
59,0718+793,21,1.0,4.0,0.0,15.0,52.0,KOKEE12M,WETTZ13S,7.33956,2.99,11.66,356.91,59.85,952.0,4.59767350659721,88.02278015877356
60,2356+385,21,1.0,4.0,0.0,16.0,27.0,KOKEE12M,WETTZ13S,8.07352,56.7,42.97,316.77,12.48,987.0,55.041226663785494,36.15532808846666
61,1806+456,21,1.0,4.0,0.0,17.0,31.0,KOKEE12M,WETTZ13S,6.72793,317.49,52.26,19.91,8.13,1051.0,-37.22341645879682,40.60799953259826
62,0109+224,21,1.0,4.0,0.0,18.0,10.0,KOKEE12M,WETTZ13S,1.87756,74.55,26.36,294.56,9.13,1090.0,77.7278407872217,21.482808568574754
63,0109+224,21,1.0,4.0,0.0,18.0,56.0,KOKEE12M,WETTZ13S,1.87756,74.59,26.53,294.69,9.01,1136.0,77.62817390278059,21.396938832886676
64,1039+811,21,1.0,4.0,0.0,19.0,58.0,KOKEE12M,WETTZ13S,3.1052,354.92,14.29,10.51,55.78,1198.0,-7.722618439940035,86.87271569910756
65,1842+681,21,1.0,4.0,0.0,20.0,25.0,KOKEE12M,WETTZ13S,7.33956,346.4,40.68,8.8,28.39,1225.0,-16.049054093176608,66.33883853862199
