,source,epoch1,epoch2,epoch3,epoch_h,epoch_min,epoch_sec,station1,station2,sigma,az_st1,el_st1,az_st2,el_st2,epoch_sec_tot,plot_1,plot_2
30,0202+319,21,1.0,4.0,0.0,0.0,0.0,KOKEE12M,WETTZ13S,2.52297,60.34,13.69,289.33,26.82,0.0,75.9860945436363,43.27142381356886
31,2353+816,21,1.0,4.0,0.0,0.0,31.0,KOKEE12M,WETTZ13S,6.2104,7.32,26.54,349.95,44.99,31.0,10.258615754209249,79.85983405165791
32,0133+476,21,1.0,4.0,0.0,1.0,11.0,KOKEE12M,WETTZ13S,2.12461,45.65,22.73,307.18,32.90,71.0,59.35920346482577,58.02743713655134
33,2229+695,21,1.0,4.0,0.0,1.0,41.0,KOKEE12M,WETTZ13S,5.38235,13.89,38.33,344.56,32.65,101.0,16.948296131372324,68.53618070055587
34,3C418,21,1.0,4.0,0.0,2.0,8.0,KOKEE12M,WETTZ13S,1.52331,6.47,60.46,352.05,11.11,128.0,5.000058192830545,44.09018499946129
35,0016+731,21,1.0,4.0,0.0,2.0,36.0,KOKEE12M,WETTZ13S,3.84453,16.39,29.38,339.7,40.99,156.0,22.129401750276102,75.23773614440914
36,0133+476,21,1.0,4.0,0.0,3.0,5.0,KOKEE12M,WETTZ13S,2.12461,45.7,23.04,307.42,32.65,185.0,59.27429218342668,57.843358950666264
37,2353+816,21,1.0,4.0,0.0,3.0,35.0,KOKEE12M,WETTZ13S,6.2104,7.26,26.63,350.04,44.90,215.0,10.166985894055058,79.80777293153123
38,0109+224,21,1.0,4.0,0.0,4.0,17.0,KOKEE12M,WETTZ13S,1.87756,73.64,23.26,292.08,11.22,257.0,79.33716156691604,23.290023237067082
39,1726+455,21,1.0,4.0,0.0,5.0,22.0,KOKEE12M,WETTZ13S,8.07352,314.19,47.7,24.74,9.71,322.0,-43.43145242960811,42.22049586296571
40,0718+793,21,1.0,4.0,0.0,5.0,53.0,KOKEE12M,WETTZ13S,7.33956,2.52,11.55,357.83,59.92,353.0,3.877000138647285,88.09225808252373
41,0718+793,21,1.0,4.0,0.0,6.0,14.0,KOKEE12M,WETTZ13S,7.33956,2.54,11.55,357.8,59.92,374.0,3.9077499008035996,88.0908993873136
42,1842+681,21,1.0,4.0,0.0,6.0,46.0,KOKEE12M,WETTZ13S,7.33956,347.8,41.39,7.4,28.07,406.0,-14.268731215396397,65.99549563114677
43,2229+695,21,1.0,4.0,0.0,7.0,27.0,KOKEE12M,WETTZ13S,5.38235,13.4,38.65,345.08,32.41,447.0,16.28905408091746,68.37429227990545
44,0059+581,21,1.0,4.0,0.0,7.0,55.0,KOKEE12M,WETTZ13S,1.36839,34.17,29.19,321.68,34.75,475.0,44.1292240821015,65.00737244623356
45,1726+455,21,1.0,4.0,0.0,8.0,28.0,KOKEE12M,WETTZ13S,8.07352,313.94,47.19,25.24,9.92,508.0,-44.04018278386946,42.440073108696765
46,2353+816,21,1.0,4.0,0.0,8.0,59.0,KOKEE12M,WETTZ13S,6.2104,7.14,26.79,350.19,44.75,539.0,9.985773770613612,79.71680223329383
47,1851+488,21,1.0,4.0,0.0,9.0,38.0,KOKEE12M,WETTZ13S,7.33956,331.13,57.42,10.48,9.05,578.0,-23.399048204097724,42.43980847122777
48,3C371,21,1.0,4.0,0.0,10.0,13.0,KOKEE12M,WETTZ13S,2.99019,345.44,37.95,10.71,30.67,613.0,-17.8412341919822,68.69010962460487
49,1726+455,21,1.0,4.0,0.0,10.0,42.0,KOKEE12M,WETTZ13S,7.33956,313.77,46.81,25.61,10.08,642.0,-44.48115077548439,42.61120404388202
50,0133+476,21,1.0,4.0,0.0,11.0,17.0,KOKEE12M,WETTZ13S,2.07013,45.89,24.41,308.46,31.59,677.0,58.84411374966624,57.04383162512736
51,1842+681,21,1.0,4.0,0.0,11.0,48.0,KOKEE12M,WETTZ13S,7.33956,347.27,41.13,7.91,28.18,708.0,-14.937936358674591,66.12339914740964
