,source,epoch1,epoch2,epoch3,epoch_h,epoch_min,epoch_sec,station1,station2,sigma,az_st1,el_st1,az_st2,el_st2,epoch_sec_tot,plot_1,plot_2
30,3C371,21,1.0,4.0,0.0,0.0,0.0,KOKEE12M,WETTZ13S,2.99019,346.29,38.53,9.75,30.37,0.0,-16.68662003816888,68.39938255078944
31,1849+670,21,1.0,4.0,0.0,0.0,27.0,KOKEE12M,WETTZ13S,2.24264,348.54,42.92,6.27,26.78,27.0,-13.094744848116353,64.59351703866284
32,0109+224,21,1.0,4.0,0.0,1.0,0.0,KOKEE12M,WETTZ13S,1.87756,73.42,22.53,291.5,11.72,60.0,79.67470754325937,23.721781678916283
33,2353+816,21,1.0,4.0,0.0,2.0,1.0,KOKEE12M,WETTZ13S,6.2104,7.29,26.59,349.99,44.95,121.0,10.212342900679694,79.83035441451788
34,0202+319,21,1.0,4.0,0.0,2.0,42.0,KOKEE12M,WETTZ13S,2.52297,60.52,14.23,289.76,26.40,162.0,75.943524464973,42.93179084620127
35,2309+454,21,1.0,4.0,0.0,3.0,11.0,KOKEE12M,WETTZ13S,8.07352,45.22,47.77,326.14,14.71,191.0,42.936635214169975,42.60816514656776
36,2229+695,21,1.0,4.0,0.0,3.0,45.0,KOKEE12M,WETTZ13S,5.38235,13.72,38.45,344.75,32.56,225.0,16.717107439186453,68.47244784572813
37,2229+695,21,1.0,4.0,0.0,4.0,2.0,KOKEE12M,WETTZ13S,5.38235,13.69,38.46,344.77,32.55,242.0,16.6789410964239,68.47170026398257
38,1803+784,21,1.0,4.0,0.0,4.0,30.0,KOKEE12M,WETTZ13S,1.4417,352.2,31.33,6.9,38.72,270.0,-10.433379246023199,76.16552597028429
39,1849+670,21,1.0,4.0,0.0,4.0,57.0,KOKEE12M,WETTZ13S,2.24264,348.02,42.71,6.75,26.87,297.0,-13.72696456343107,64.69132016511718
40,0202+319,21,1.0,4.0,0.0,5.0,30.0,KOKEE12M,WETTZ13S,2.52297,60.7,14.8,290.22,25.97,330.0,75.88232721635835,42.58317602910401
41,0133+476,21,1.0,4.0,0.0,5.0,58.0,KOKEE12M,WETTZ13S,2.12461,45.77,23.52,307.78,32.28,358.0,59.131392342143265,57.56303736878967
42,1842+681,21,1.0,4.0,0.0,6.0,29.0,KOKEE12M,WETTZ13S,7.33956,347.83,41.4,7.37,28.07,389.0,-14.231984420727732,65.99280426973532
43,1842+681,21,1.0,4.0,0.0,6.0,58.0,KOKEE12M,WETTZ13S,7.33956,347.78,41.38,7.42,28.08,418.0,-14.2939652233762,66.00066036361297
44,2356+385,21,1.0,4.0,0.0,7.0,42.0,KOKEE12M,WETTZ13S,8.07352,56.88,41.27,315.35,13.48,462.0,56.65447086016528,36.96077159835521
45,2353+816,21,1.0,4.0,0.0,8.0,42.0,KOKEE12M,WETTZ13S,6.2104,7.15,26.78,350.19,44.76,522.0,10.00056789215925,79.72208182373389
46,1746+470,21,1.0,4.0,0.0,9.0,23.0,KOKEE12M,WETTZ13S,5.7668,317.81,49.73,21.58,10.06,563.0,-39.06991180209419,43.1032250249315
47,3C371,21,1.0,4.0,0.0,9.0,52.0,KOKEE12M,WETTZ13S,2.99019,345.47,37.97,10.68,30.66,592.0,-17.80041748019781,68.68073562892377
48,NGC6251,21,1.0,4.0,0.0,10.0,19.0,KOKEE12M,WETTZ13S,7.33956,352.84,25.81,8.23,44.18,619.0,-10.098610280423747,80.39003984803102
49,1842+681,21,1.0,4.0,0.0,10.0,58.0,KOKEE12M,WETTZ13S,7.33956,347.36,41.18,7.83,28.16,658.0,-14.82274121542957,66.09634777017347
