,source,epoch1,epoch2,epoch3,epoch_h,epoch_min,epoch_sec,station1,station2,sigma,az_st1,el_st1,az_st2,el_st2,epoch_sec_tot,plot_1,plot_2
30,3C418,21,1.0,4.0,0.0,0.0,0.0,KOKEE12M,WETTZ13S,1.52331,7.13,60.41,351.71,11.16,0.0,5.5160768659671895,44.09744996826045
31,1851+488,21,1.0,4.0,0.0,0.0,29.0,KOKEE12M,WETTZ13S,7.33956,333.26,58.41,8.97,8.79,29.0,-21.21270127747382,42.10350950364102
32,0202+319,21,1.0,4.0,0.0,1.0,10.0,KOKEE12M,WETTZ13S,2.52297,60.42,13.92,289.52,26.64,70.0,75.97146589068939,43.12272915694126
33,3C418,21,1.0,4.0,0.0,1.0,42.0,KOKEE12M,WETTZ13S,1.52331,6.6,60.45,351.98,11.12,102.0,5.101653359532884,44.09230162016469
34,3C418,21,1.0,4.0,0.0,1.0,59.0,KOKEE12M,WETTZ13S,1.52331,6.51,60.46,352.03,11.11,119.0,5.030837727688533,44.08668355610431
35,1851+488,21,1.0,4.0,0.0,2.0,28.0,KOKEE12M,WETTZ13S,7.33956,332.78,58.2,9.3,8.85,148.0,-21.693058952791358,42.17391038985789
36,3C418,21,1.0,4.0,0.0,3.0,4.0,KOKEE12M,WETTZ13S,1.52331,6.17,60.49,352.2,11.09,184.0,4.764727933621641,44.074993852653456
37,1803+784,21,1.0,4.0,0.0,3.0,32.0,KOKEE12M,WETTZ13S,1.41641,352.25,31.36,6.85,38.70,212.0,-10.363602669669877,76.15031233822009
38,3C371,21,1.0,4.0,0.0,3.0,59.0,KOKEE12M,WETTZ13S,2.99019,345.96,38.31,10.12,30.48,239.0,-17.132390867803675,68.51047296327695
39,2353+816,21,1.0,4.0,0.0,4.0,27.0,KOKEE12M,WETTZ13S,6.2104,7.24,26.66,350.06,44.88,267.0,10.136463773394345,79.79035227628242
40,3C371,21,1.0,4.0,0.0,5.0,5.0,KOKEE12M,WETTZ13S,2.99019,345.86,38.25,10.23,30.51,305.0,-17.266201518946325,68.53708491556635
41,0133+476,21,1.0,4.0,0.0,5.0,37.0,KOKEE12M,WETTZ13S,2.12461,45.77,23.46,307.74,32.32,337.0,59.15831018047523,57.58924125935299
42,0202+319,21,1.0,4.0,0.0,6.0,5.0,KOKEE12M,WETTZ13S,2.52297,60.74,14.92,290.31,25.88,365.0,75.86986400708071,42.50656190030843
43,1726+455,21,1.0,4.0,0.0,6.0,40.0,KOKEE12M,WETTZ13S,8.07352,314.08,47.49,24.95,9.80,400.0,-43.68740496827208,42.30647997129612
44,2229+695,21,1.0,4.0,0.0,7.0,11.0,KOKEE12M,WETTZ13S,5.38235,13.42,38.63,345.05,32.42,431.0,16.317473052863427,68.38768341255198
45,1849+670,21,1.0,4.0,0.0,7.0,40.0,KOKEE12M,WETTZ13S,2.24264,347.71,42.58,7.04,26.92,460.0,-14.106222362804306,64.7512717289227
46,0059+581,21,1.0,4.0,0.0,8.0,10.0,KOKEE12M,WETTZ13S,1.36839,34.17,29.23,321.7,34.73,490.0,44.11200237033865,64.98200290362284
47,1842+681,21,1.0,4.0,0.0,8.0,40.0,KOKEE12M,WETTZ13S,7.33956,347.6,41.29,7.59,28.11,520.0,-14.521291455241691,66.04662119201011
48,0202+319,21,1.0,4.0,0.0,9.0,25.0,KOKEE12M,WETTZ13S,2.52297,60.95,15.59,290.85,25.37,565.0,75.78307513088963,42.09373955494571
49,1726+455,21,1.0,4.0,0.0,10.0,0.0,KOKEE12M,WETTZ13S,7.33956,313.82,46.93,25.5,10.03,600.0,-44.34469294558097,42.55475570495069
50,NGC6251,21,1.0,4.0,0.0,10.0,31.0,KOKEE12M,WETTZ13S,7.33956,352.83,25.81,8.23,44.19,631.0,-10.112640835353458,80.38827608363695
51,0718+793,21,1.0,4.0,0.0,11.0,10.0,KOKEE12M,WETTZ13S,7.33956,2.77,11.6,357.34,59.89,670.0,4.260575415643177,88.05876231875688
52,0202+319,21,1.0,4.0,0.0,11.0,46.0,KOKEE12M,WETTZ13S,2.52297,61.1,16.07,291.23,25.01,706.0,75.71295641714495,41.79579742190879
53,1803+784,21,1.0,4.0,0.0,12.0,19.0,KOKEE12M,WETTZ13S,1.46791,351.85,31.08,7.36,38.88,739.0,-10.927293644978604,76.30177442398423
54,1726+455,21,1.0,4.0,0.0,12.0,49.0,KOKEE12M,WETTZ13S,7.33956,313.61,46.46,25.96,10.23,769.0,-44.88936288260081,42.762504591844056
55,1803+784,21,1.0,4.0,0.0,13.0,20.0,KOKEE12M,WETTZ13S,1.46791,351.81,31.05,7.42,38.90,800.0,-10.984023687679143,76.31819554591046
56,1842+681,21,1.0,4.0,0.0,13.0,47.0,KOKEE12M,WETTZ13S,7.33956,347.07,41.03,8.12,28.23,827.0,-15.191755403330571,66.17145489456702
57,2353+816,21,1.0,4.0,0.0,14.0,27.0,KOKEE12M,WETTZ13S,6.2104,7.02,26.94,350.36,44.60,867.0,9.805780705110433,79.631865703563
