,source,epoch1,epoch2,epoch3,epoch_h,epoch_min,epoch_sec,station1,station2,sigma,az_st1,el_st1,az_st2,el_st2,epoch_sec_tot,plot_1,plot_2
30,0016+731,21,1.0,4.0,0.0,0.0,0.0,KOKEE12M,WETTZ13S,3.84453,16.47,29.21,339.56,41.13,0.0,22.27147626905864,75.3320651125805
31,1849+670,21,1.0,4.0,0.0,0.0,29.0,KOKEE12M,WETTZ13S,2.24264,348.54,42.92,6.27,26.78,29.0,-13.094744848116353,64.59351703866284
32,0059+581,21,1.0,4.0,0.0,0.0,59.0,KOKEE12M,WETTZ13S,1.36839,34.24,28.29,320.99,35.46,59.0,44.591085993808285,65.51535812119722
33,2353+816,21,1.0,4.0,0.0,1.0,28.0,KOKEE12M,WETTZ13S,6.2104,7.3,26.57,349.98,44.96,88.0,10.228061912485499,79.84251382924649
34,1039+811,21,1.0,4.0,0.0,2.0,6.0,KOKEE12M,WETTZ13S,3.1052,354.3,14.68,11.31,55.22,126.0,-8.646982457010756,86.63159220008606
35,3C418,21,1.0,4.0,0.0,2.0,36.0,KOKEE12M,WETTZ13S,1.52331,6.32,60.48,352.12,11.10,156.0,4.8816042921267515,44.07595521052253
36,0109+224,21,1.0,4.0,0.0,3.0,8.0,KOKEE12M,WETTZ13S,1.87756,73.57,23.0,291.88,11.39,188.0,79.46252702315414,23.432311013927706
37,0718+793,21,1.0,4.0,0.0,4.0,9.0,KOKEE12M,WETTZ13S,7.33956,2.44,11.53,358.0,59.93,249.0,3.7542639681047967,88.10386464483979
38,3C418,21,1.0,4.0,0.0,4.0,44.0,KOKEE12M,WETTZ13S,1.52331,5.65,60.53,352.46,11.05,284.0,4.359140790337311,44.061995613063615
39,0109+224,21,1.0,4.0,0.0,5.0,16.0,KOKEE12M,WETTZ13S,1.87756,73.71,23.48,292.26,11.07,316.0,79.23398129540729,23.154626901191538
40,1726+455,21,1.0,4.0,0.0,6.0,21.0,KOKEE12M,WETTZ13S,8.07352,314.11,47.54,24.9,9.77,381.0,-43.62366086890993,42.289034652881796
41,2353+816,21,1.0,4.0,0.0,6.0,52.0,KOKEE12M,WETTZ13S,6.2104,7.19,26.73,350.13,44.81,412.0,10.060647218871376,79.7501594252717
42,0059+581,21,1.0,4.0,0.0,7.0,31.0,KOKEE12M,WETTZ13S,1.36839,34.17,29.14,321.64,34.79,451.0,44.150720975130305,65.03903981770061
43,3C371,21,1.0,4.0,0.0,8.0,1.0,KOKEE12M,WETTZ13S,2.99019,345.62,38.08,10.5,30.60,481.0,-17.594116860716703,68.62399825808785
44,1039+811,21,1.0,4.0,0.0,8.0,28.0,KOKEE12M,WETTZ13S,3.1052,354.52,14.53,11.04,55.43,508.0,-8.319951871925035,86.72329630811257
45,1746+470,21,1.0,4.0,0.0,8.0,58.0,KOKEE12M,WETTZ13S,5.7668,317.85,49.79,21.52,10.03,538.0,-38.99153109333633,43.07715216881615
46,0718+793,21,1.0,4.0,0.0,9.0,29.0,KOKEE12M,WETTZ13S,7.33956,2.69,11.58,357.5,59.90,569.0,4.137914295842345,88.07093008780765
47,2356+385,21,1.0,4.0,0.0,10.0,4.0,KOKEE12M,WETTZ13S,8.07352,56.84,41.73,315.73,13.20,604.0,56.2278399059758,36.73842921997394
48,1039+811,21,1.0,4.0,0.0,11.0,5.0,KOKEE12M,WETTZ13S,3.1052,354.61,14.48,10.92,55.51,665.0,-8.185564855738908,86.75584271671794
49,1726+455,21,1.0,4.0,0.0,11.0,35.0,KOKEE12M,WETTZ13S,7.33956,313.7,46.66,25.75,10.14,695.0,-44.65722081673082,42.6753671510736
