,source,epoch1,epoch2,epoch3,epoch_h,epoch_min,epoch_sec,station1,station2,sigma,az_st1,el_st1,az_st2,el_st2,epoch_sec_tot,plot_1,plot_2
30,1039+811,21,1.0,4.0,0.0,0.0,0.0,KOKEE12M,WETTZ13S,3.1052,354.23,14.73,11.4,55.16,0.0,-8.750812087189427,86.60112754500705
31,1842+681,21,1.0,4.0,0.0,0.0,27.0,KOKEE12M,WETTZ13S,7.33956,348.47,41.69,6.75,27.95,27.0,-13.433578847283085,65.85164187872634
32,3C371,21,1.0,4.0,0.0,1.0,6.0,KOKEE12M,WETTZ13S,2.99019,346.2,38.47,9.85,30.40,66.0,-16.808035812313538,68.43006394568008
33,1803+784,21,1.0,4.0,0.0,1.0,33.0,KOKEE12M,WETTZ13S,1.41641,352.34,31.42,6.73,38.67,93.0,-10.237429890050736,76.11784559057652
34,1746+470,21,1.0,4.0,0.0,2.0,2.0,KOKEE12M,WETTZ13S,5.7668,318.64,50.86,20.39,9.63,122.0,-37.53908324092866,42.63970438061212
35,1746+470,21,1.0,4.0,0.0,2.0,19.0,KOKEE12M,WETTZ13S,5.7668,318.61,50.82,20.43,9.64,139.0,-37.59361620520014,42.65659333431216
36,0718+793,21,1.0,4.0,0.0,2.0,50.0,KOKEE12M,WETTZ13S,7.33956,2.38,11.52,358.12,59.94,170.0,3.662130102328742,88.11088346478766
37,2353+816,21,1.0,4.0,0.0,3.0,21.0,KOKEE12M,WETTZ13S,6.2104,7.26,26.62,350.03,44.91,201.0,10.16787549188436,79.81475600619083
38,1842+681,21,1.0,4.0,0.0,3.0,59.0,KOKEE12M,WETTZ13S,7.33956,348.09,41.52,7.11,28.02,239.0,-13.906616993509228,65.93459157684929
39,0109+224,21,1.0,4.0,0.0,4.0,45.0,KOKEE12M,WETTZ13S,1.87756,73.67,23.36,292.17,11.15,285.0,79.28969554316643,23.231002482304213
40,1746+470,21,1.0,4.0,0.0,5.0,50.0,KOKEE12M,WETTZ13S,5.7668,318.2,50.28,21.01,9.85,350.0,-38.33446290727574,42.87476354664576
41,1851+488,21,1.0,4.0,0.0,6.0,18.0,KOKEE12M,WETTZ13S,7.33956,331.88,57.79,9.93,8.95,378.0,-22.610225711596996,42.309637825293166
42,1726+455,21,1.0,4.0,0.0,6.0,53.0,KOKEE12M,WETTZ13S,8.07352,314.07,47.45,24.99,9.81,413.0,-43.72805591984601,42.331059362653356
43,1726+455,21,1.0,4.0,0.0,7.0,10.0,KOKEE12M,WETTZ13S,8.07352,314.04,47.4,25.03,9.83,430.0,-43.79179017921906,42.348362983749155
44,2309+454,21,1.0,4.0,0.0,7.0,44.0,KOKEE12M,WETTZ13S,8.07352,44.81,48.51,326.84,14.30,464.0,42.020520925634756,42.30013985061681
45,1726+455,21,1.0,4.0,0.0,8.0,23.0,KOKEE12M,WETTZ13S,8.07352,313.95,47.2,25.23,9.92,503.0,-44.0244779298192,42.43976059184651
46,0109+224,21,1.0,4.0,0.0,8.0,59.0,KOKEE12M,WETTZ13S,1.87756,73.95,24.31,292.92,10.51,539.0,78.82276151367253,22.676523415799274
47,NGC6251,21,1.0,4.0,0.0,10.0,1.0,KOKEE12M,WETTZ13S,7.33956,352.84,25.82,8.22,44.17,601.0,-10.09775770195154,80.38325289265289
48,0718+793,21,1.0,4.0,0.0,10.0,40.0,KOKEE12M,WETTZ13S,7.33956,2.75,11.6,357.39,59.89,640.0,4.229836849944442,88.06024417526079
49,0718+793,21,1.0,4.0,0.0,11.0,1.0,KOKEE12M,WETTZ13S,7.33956,2.76,11.6,357.36,59.89,661.0,4.245206197451996,88.05950458823177
50,1851+488,21,1.0,4.0,0.0,11.0,36.0,KOKEE12M,WETTZ13S,7.33956,330.69,57.2,10.8,9.11,696.0,-23.86664447695953,42.512472765307635
51,NGC6251,21,1.0,4.0,0.0,12.0,11.0,KOKEE12M,WETTZ13S,7.33956,352.81,25.76,8.29,44.22,731.0,-10.144977046550533,80.41863701477519
52,1849+670,21,1.0,4.0,0.0,12.0,50.0,KOKEE12M,WETTZ13S,2.24264,347.12,42.32,7.59,27.03,770.0,-14.833680894833298,64.87130029727282
53,1849+670,21,1.0,4.0,0.0,13.0,7.0,KOKEE12M,WETTZ13S,2.24264,347.09,42.3,7.62,27.03,787.0,-14.872370143081868,64.88413731619733
54,0109+224,21,1.0,4.0,0.0,13.0,41.0,KOKEE12M,WETTZ13S,1.87756,74.26,25.36,293.76,9.80,821.0,78.27755202128787,22.061804926497558
55,2356+385,21,1.0,4.0,0.0,14.0,38.0,KOKEE12M,WETTZ13S,8.07352,56.75,42.62,316.47,12.69,878.0,55.38511556136129,36.31207292638788
56,1806+456,21,1.0,4.0,0.0,15.0,42.0,KOKEE12M,WETTZ13S,6.72793,317.72,52.55,19.6,8.02,942.0,-36.817284573415414,40.49005182310121
57,2353+816,21,1.0,4.0,0.0,16.0,16.0,KOKEE12M,WETTZ13S,6.2104,6.98,27.0,350.41,44.55,976.0,9.744990462793371,79.59626519293843
58,0202+319,21,1.0,4.0,0.0,16.0,57.0,KOKEE12M,WETTZ13S,2.52297,61.41,17.13,292.07,24.22,1017.0,75.52030814443967,41.15791135841197
59,1851+488,21,1.0,4.0,0.0,17.0,31.0,KOKEE12M,WETTZ13S,7.33956,329.42,56.51,11.77,9.30,1051.0,-25.26469992076777,42.75432879708354
60,1039+811,21,1.0,4.0,0.0,18.0,8.0,KOKEE12M,WETTZ13S,3.1052,354.86,14.32,10.6,55.72,1088.0,-7.812543943557866,86.85298424260964
61,3C371,21,1.0,4.0,0.0,18.0,35.0,KOKEE12M,WETTZ13S,2.99019,344.78,37.45,11.5,30.93,1115.0,-18.757375080116308,68.9434851172071
62,0718+793,21,1.0,4.0,0.0,19.0,3.0,KOKEE12M,WETTZ13S,8.07352,3.14,11.7,356.61,59.82,1143.0,4.8274038360939375,87.99774091545412
63,1746+470,21,1.0,4.0,0.0,19.0,38.0,KOKEE12M,WETTZ13S,5.7668,316.77,48.11,23.24,10.70,1178.0,-41.159582960561195,43.78453972311875
64,DA426,21,1.0,4.0,0.0,20.0,5.0,KOKEE12M,WETTZ13S,6.72793,304.02,40.06,35.37,8.48,1205.0,-57.09346161410522,38.539029426762504
65,0059+581,21,1.0,4.0,0.0,20.0,48.0,KOKEE12M,WETTZ13S,1.36839,33.95,30.87,322.99,33.46,1248.0,43.14176446470661,64.0808508584401
66,0202+319,21,1.0,4.0,0.0,21.0,17.0,KOKEE12M,WETTZ13S,2.52297,61.67,18.01,292.77,23.56,1277.0,75.33900363224919,40.6167723667784
67,1039+811,21,1.0,4.0,0.0,21.0,50.0,KOKEE12M,WETTZ13S,3.1052,354.99,14.25,10.42,55.83,1310.0,-7.617830177943842,86.89751417423268
68,0202+319,21,1.0,4.0,0.0,22.0,23.0,KOKEE12M,WETTZ13S,2.52297,61.74,18.24,292.95,23.40,1343.0,75.289574432721,40.47148353819463
69,0016+731,21,1.0,4.0,0.0,22.0,53.0,KOKEE12M,WETTZ13S,3.84453,15.69,30.68,340.88,39.86,1373.0,20.932210032118963,74.51863239189365
70,2229+695,21,1.0,4.0,0.0,23.0,20.0,KOKEE12M,WETTZ13S,5.38235,11.98,39.46,346.5,31.77,1400.0,14.423259246137938,67.97276101390177
71,1842+681,21,1.0,4.0,0.0,23.0,49.0,KOKEE12M,WETTZ13S,7.33956,346.06,40.49,9.14,28.48,1429.0,-16.489207250023917,66.43088062450597
72,DA426,21,1.0,4.0,0.0,24.0,31.0,KOKEE12M,WETTZ13S,6.72793,303.96,39.21,36.12,8.90,1471.0,-57.84020712869136,38.95498849289872
73,1803+784,21,1.0,4.0,0.0,25.0,10.0,KOKEE12M,WETTZ13S,1.52331,351.3,30.64,8.11,39.17,1510.0,-11.712848268781135,76.54380620100268
74,2229+695,21,1.0,4.0,0.0,25.0,38.0,KOKEE12M,WETTZ13S,5.38235,11.77,39.57,346.71,31.68,1538.0,14.15160353231595,67.91753862088113
75,3C418,21,1.0,4.0,0.0,26.0,5.0,KOKEE12M,WETTZ13S,1.52331,358.85,60.72,355.84,10.69,1565.0,-0.8834189191219918,44.008155135703554
76,1851+488,21,1.0,4.0,0.0,26.0,34.0,KOKEE12M,WETTZ13S,7.33956,327.63,55.41,13.24,9.62,1594.0,-27.354410496985047,43.15358082002745
77,1039+811,21,1.0,4.0,0.0,27.0,11.0,KOKEE12M,WETTZ13S,3.1052,355.18,14.14,10.16,55.99,1631.0,-7.333186040986984,86.96451962354134
78,1806+456,21,1.0,4.0,0.0,27.0,41.0,KOKEE12M,WETTZ13S,6.72793,316.28,50.65,21.61,8.72,1661.0,-39.439627050102565,41.24238031402433
79,0202+319,21,1.0,4.0,0.0,28.0,19.0,KOKEE12M,WETTZ13S,2.52297,62.08,19.45,293.91,22.51,1699.0,74.98594876620645,39.73653531905175
80,0059+581,21,1.0,4.0,0.0,28.0,48.0,KOKEE12M,WETTZ13S,1.36839,33.77,31.9,323.82,32.68,1728.0,42.471879581522444,63.51565278432731
81,NGC6251,21,1.0,4.0,0.0,29.0,18.0,KOKEE12M,WETTZ13S,7.33956,352.54,25.25,8.81,44.64,1758.0,-10.568612754318547,80.71196451935859
82,1746+470,21,1.0,4.0,0.0,29.0,59.0,KOKEE12M,WETTZ13S,5.7668,315.86,46.45,24.9,11.39,1799.0,-43.183835890448705,44.50005517385462
83,1842+681,21,1.0,4.0,0.0,30.0,28.0,KOKEE12M,WETTZ13S,7.33956,345.42,40.11,9.82,28.66,1828.0,-17.327389146557504,66.61619118067598
84,1849+670,21,1.0,4.0,0.0,31.0,6.0,KOKEE12M,WETTZ13S,2.24264,345.16,41.3,9.53,27.47,1866.0,-17.317284298174414,65.35850235948901
85,1039+811,21,1.0,4.0,0.0,31.0,33.0,KOKEE12M,WETTZ13S,3.1052,355.34,14.06,9.94,56.12,1893.0,-7.092794140451471,87.01517099707712
86,0718+793,21,1.0,4.0,0.0,32.0,1.0,KOKEE12M,WETTZ13S,8.07352,3.73,11.88,355.43,59.67,1921.0,5.729525248367182,87.88571721015332
87,3C371,21,1.0,4.0,0.0,32.0,33.0,KOKEE12M,WETTZ13S,2.99019,343.75,36.57,12.79,31.41,1953.0,-20.226505453564254,69.3939964827231
88,1851+488,21,1.0,4.0,0.0,33.0,1.0,KOKEE12M,WETTZ13S,7.33956,326.44,54.6,14.29,9.87,1981.0,-28.820914366316885,43.44473473043848
89,1039+811,21,1.0,4.0,0.0,33.0,38.0,KOKEE12M,WETTZ13S,3.1052,355.41,14.02,9.83,56.17,2018.0,-6.9876996042017625,87.03896560978976
90,1851+488,21,1.0,4.0,0.0,34.0,8.0,KOKEE12M,WETTZ13S,7.33956,326.24,54.45,14.47,9.92,2048.0,-29.079020463332295,43.503390961976706
