,source,epoch1,epoch2,epoch3,epoch_h,epoch_min,epoch_sec,station1,station2,sigma,az_st1,el_st1,az_st2,el_st2,epoch_sec_tot,plot_1,plot_2
30,2353+816,21,1.0,4.0,0.0,0.0,0.0,KOKEE12M,WETTZ13S,6.2104,7.33,26.53,349.94,45.00,0.0,10.27344908163623,79.86500246582145
31,0059+581,21,1.0,4.0,0.0,0.0,39.0,KOKEE12M,WETTZ13S,1.36839,34.25,28.24,320.95,35.50,39.0,44.62345205202576,65.53831749116775
32,1842+681,21,1.0,4.0,0.0,1.0,9.0,KOKEE12M,WETTZ13S,7.33956,348.4,41.65,6.82,27.96,69.0,-13.522421404699257,65.8761004052762
33,1803+784,21,1.0,4.0,0.0,1.0,48.0,KOKEE12M,WETTZ13S,1.41641,352.33,31.42,6.74,38.67,108.0,-10.250714804309114,76.11605766265927
34,1849+670,21,1.0,4.0,0.0,2.0,15.0,KOKEE12M,WETTZ13S,2.24264,348.33,42.84,6.46,26.81,135.0,-13.348700416682362,64.62883071488909
35,1726+455,21,1.0,4.0,0.0,2.0,44.0,KOKEE12M,WETTZ13S,8.07352,314.42,48.14,24.3,9.53,164.0,-42.89523603042583,42.03546088980911
36,1842+681,21,1.0,4.0,0.0,3.0,13.0,KOKEE12M,WETTZ13S,7.33956,348.18,41.56,7.03,28.00,193.0,-13.794495196611349,65.91557169826733
37,3C418,21,1.0,4.0,0.0,3.0,53.0,KOKEE12M,WETTZ13S,1.52331,5.92,60.51,352.33,11.07,233.0,4.569549593690748,44.06816706544065
38,1039+811,21,1.0,4.0,0.0,4.0,23.0,KOKEE12M,WETTZ13S,3.1052,354.38,14.62,11.21,55.30,263.0,-8.528347866967856,86.66730319726247
39,1803+784,21,1.0,4.0,0.0,4.0,50.0,KOKEE12M,WETTZ13S,1.4417,352.19,31.32,6.92,38.73,290.0,-10.447782204648956,76.17179453394311
40,0202+319,21,1.0,4.0,0.0,5.0,23.0,KOKEE12M,WETTZ13S,2.52297,60.69,14.78,290.2,25.99,323.0,75.88188699884611,42.60034529725552
41,0016+731,21,1.0,4.0,0.0,5.0,54.0,KOKEE12M,WETTZ13S,3.84453,16.28,29.59,339.89,40.80,354.0,21.93940056661328,75.1242338069627
42,1039+811,21,1.0,4.0,0.0,6.0,23.0,KOKEE12M,WETTZ13S,3.1052,354.45,14.58,11.13,55.36,383.0,-8.423989203459564,86.69342159518318
43,2309+454,21,1.0,4.0,0.0,6.0,54.0,KOKEE12M,WETTZ13S,8.07352,44.89,48.38,326.71,14.37,414.0,42.18738700483544,42.349686734683914
44,3C418,21,1.0,4.0,0.0,7.0,29.0,KOKEE12M,WETTZ13S,1.52331,4.78,60.59,352.9,10.99,449.0,3.682771045862779,44.04131219650703
45,0202+319,21,1.0,4.0,0.0,8.0,1.0,KOKEE12M,WETTZ13S,2.52297,60.86,15.31,290.63,25.59,481.0,75.81919892309746,42.26978153850975
46,0718+793,21,1.0,4.0,0.0,8.0,33.0,KOKEE12M,WETTZ13S,7.33956,2.65,11.57,357.59,59.91,513.0,4.076573907363865,88.07694587422198
47,1726+455,21,1.0,4.0,0.0,9.0,8.0,KOKEE12M,WETTZ13S,7.33956,313.89,47.07,25.35,9.97,548.0,-44.17676153393515,42.49739949983107
48,2356+385,21,1.0,4.0,0.0,9.0,44.0,KOKEE12M,WETTZ13S,8.07352,56.85,41.66,315.68,13.24,584.0,56.29548591838273,36.76860970691274
49,1842+681,21,1.0,4.0,0.0,10.0,45.0,KOKEE12M,WETTZ13S,7.33956,347.38,41.19,7.81,28.16,645.0,-14.797408430463348,66.09142417574844
50,1842+681,21,1.0,4.0,0.0,11.0,14.0,KOKEE12M,WETTZ13S,7.33956,347.33,41.16,7.86,28.17,674.0,-14.861883215082223,66.10875490977728
51,0109+224,21,1.0,4.0,0.0,12.0,0.0,KOKEE12M,WETTZ13S,1.87756,74.15,24.98,293.46,10.05,720.0,78.47926567666774,22.281381984405034
52,1842+681,21,1.0,4.0,0.0,13.0,3.0,KOKEE12M,WETTZ13S,7.33956,347.14,41.07,8.04,28.21,783.0,-15.101716566480162,66.14973796806451
53,2229+695,21,1.0,4.0,0.0,13.0,44.0,KOKEE12M,WETTZ13S,5.38235,12.85,38.98,345.64,32.15,824.0,15.559707044161387,68.21072720819997
54,1726+455,21,1.0,4.0,0.0,14.0,15.0,KOKEE12M,WETTZ13S,7.33956,313.5,46.21,26.19,10.33,855.0,-45.17743821035505,42.8717880765778
