,source,epoch1,epoch2,epoch3,epoch_h,epoch_min,epoch_sec,station1,station2,sigma,az_st1,el_st1,az_st2,el_st2,epoch_sec_tot,plot_1,plot_2
30,0133+476,21,1.0,4.0,0.0,0.0,0.0,KOKEE12M,WETTZ13S,2.12461,45.62,22.53,307.03,33.05,0.0,59.415208438486815,58.1430559425392
31,0016+731,21,1.0,4.0,0.0,0.0,29.0,KOKEE12M,WETTZ13S,3.84453,16.45,29.24,339.58,41.11,29.0,22.238663749394366,75.31776871648253
32,2309+454,21,1.0,4.0,0.0,0.0,58.0,KOKEE12M,WETTZ13S,8.07352,45.4,47.4,325.8,14.92,58.0,43.37579882875199,42.77434757505672
33,0059+581,21,1.0,4.0,0.0,1.0,30.0,KOKEE12M,WETTZ13S,1.36839,34.24,28.36,321.04,35.41,90.0,44.561731449756095,65.47222901987122
34,1746+470,21,1.0,4.0,0.0,2.0,3.0,KOKEE12M,WETTZ13S,5.7668,318.64,50.86,20.39,9.63,123.0,-37.53908324092866,42.63970438061212
35,0109+224,21,1.0,4.0,0.0,2.0,39.0,KOKEE12M,WETTZ13S,1.87756,73.53,22.89,291.79,11.47,159.0,79.51074566686097,23.50687828095825
36,NGC6251,21,1.0,4.0,0.0,3.0,41.0,KOKEE12M,WETTZ13S,7.33956,352.95,26.0,8.01,44.03,221.0,-9.928250806315862,80.27987799564599
37,2309+454,21,1.0,4.0,0.0,4.0,24.0,KOKEE12M,WETTZ13S,8.07352,45.11,47.97,326.33,14.60,264.0,42.6896908378934,42.52608808603101
38,2353+816,21,1.0,4.0,0.0,4.0,59.0,KOKEE12M,WETTZ13S,6.2104,7.23,26.67,350.08,44.86,299.0,10.121650400551657,79.78512694447043
39,3C371,21,1.0,4.0,0.0,5.0,37.0,KOKEE12M,WETTZ13S,2.99019,345.82,38.22,10.28,30.53,337.0,-17.321189598285617,68.55328994386717
40,3C371,21,1.0,4.0,0.0,5.0,54.0,KOKEE12M,WETTZ13S,2.99019,345.8,38.2,10.3,30.54,354.0,-17.349885012572564,68.56607796947408
41,1842+681,21,1.0,4.0,0.0,6.0,21.0,KOKEE12M,WETTZ13S,7.33956,347.84,41.41,7.35,28.06,381.0,-14.218277946192659,65.98513141737511
42,2309+454,21,1.0,4.0,0.0,7.0,4.0,KOKEE12M,WETTZ13S,8.07352,44.87,48.41,326.74,14.36,424.0,42.14774228767382,42.339437947834504
43,1851+488,21,1.0,4.0,0.0,7.0,42.0,KOKEE12M,WETTZ13S,7.33956,331.56,57.63,10.16,8.99,462.0,-22.94735540798499,42.36951956095045
44,0016+731,21,1.0,4.0,0.0,8.0,19.0,KOKEE12M,WETTZ13S,3.84453,16.21,29.75,340.02,40.66,499.0,21.8128730792304,75.03151963022098
45,2356+385,21,1.0,4.0,0.0,8.0,49.0,KOKEE12M,WETTZ13S,8.07352,56.87,41.49,315.53,13.35,529.0,56.45671405205075,36.8458061141499
46,0202+319,21,1.0,4.0,0.0,9.0,46.0,KOKEE12M,WETTZ13S,2.52297,60.97,15.66,290.91,25.32,586.0,75.7718692360957,42.0529122754912
47,0133+476,21,1.0,4.0,0.0,10.0,14.0,KOKEE12M,WETTZ13S,2.07013,45.87,24.23,308.32,31.73,614.0,58.90777633674479,57.14544645545512
48,1849+670,21,1.0,4.0,0.0,10.0,45.0,KOKEE12M,WETTZ13S,2.24264,347.36,42.43,7.37,26.98,645.0,-14.536335994560087,64.81923317937986
49,2229+695,21,1.0,4.0,0.0,11.0,14.0,KOKEE12M,WETTZ13S,5.38235,13.07,38.85,345.41,32.25,674.0,15.850510102857498,68.2754303823335
50,2229+695,21,1.0,4.0,0.0,11.0,31.0,KOKEE12M,WETTZ13S,5.38235,13.05,38.87,345.44,32.24,691.0,15.822225755050633,68.26175719436715
51,1803+784,21,1.0,4.0,0.0,11.0,59.0,KOKEE12M,WETTZ13S,1.46791,351.87,31.09,7.34,38.87,719.0,-10.899511699821884,76.29755546459057
52,0109+224,21,1.0,4.0,0.0,12.0,32.0,KOKEE12M,WETTZ13S,1.87756,74.18,25.1,293.55,9.97,752.0,78.41416239550524,22.21853772698379
53,1039+811,21,1.0,4.0,0.0,13.0,34.0,KOKEE12M,WETTZ13S,3.1052,354.69,14.42,10.81,55.58,814.0,-8.066599377839838,86.79060454601454
54,2229+695,21,1.0,4.0,0.0,14.0,2.0,KOKEE12M,WETTZ13S,5.38235,12.83,39.0,345.66,32.13,842.0,15.531506748309837,68.19688149717061
55,0059+581,21,1.0,4.0,0.0,14.0,30.0,KOKEE12M,WETTZ13S,1.36839,34.07,30.05,322.34,34.09,870.0,43.64166967948712,64.53123285347606
56,1746+470,21,1.0,4.0,0.0,15.0,3.0,KOKEE12M,WETTZ13S,5.7668,317.21,48.84,22.5,10.41,903.0,-40.23895728811067,43.469337100372975
57,3C418,21,1.0,4.0,0.0,15.0,33.0,KOKEE12M,WETTZ13S,1.52331,2.22,60.7,354.17,10.84,933.0,1.7061317791788668,44.01136336672317
58,2309+454,21,1.0,4.0,0.0,16.0,3.0,KOKEE12M,WETTZ13S,8.07352,44.0,49.87,328.13,13.57,963.0,40.2951625763918,41.72686234697302
59,1842+681,21,1.0,4.0,0.0,16.0,39.0,KOKEE12M,WETTZ13S,7.33956,346.78,40.88,8.41,28.30,999.0,-15.561802318858806,66.24406294500506
60,1726+455,21,1.0,4.0,0.0,17.0,20.0,KOKEE12M,WETTZ13S,8.07352,313.28,45.69,26.69,10.56,1040.0,-45.76911431629674,43.10047742042365
61,NGC6251,21,1.0,4.0,0.0,17.0,51.0,KOKEE12M,WETTZ13S,7.33956,352.71,25.59,8.46,44.36,1071.0,-10.29999952238009,80.5155702602034
62,0016+731,21,1.0,4.0,0.0,18.0,32.0,KOKEE12M,WETTZ13S,3.84453,15.85,30.4,340.62,40.10,1112.0,21.2012633363256,74.67488233975091
63,1849+670,21,1.0,4.0,0.0,19.0,1.0,KOKEE12M,WETTZ13S,2.24264,346.44,41.99,8.25,27.17,1141.0,-15.6840943803666,65.0288813227475
64,1803+784,21,1.0,4.0,0.0,19.0,28.0,KOKEE12M,WETTZ13S,1.4951,351.54,30.84,7.78,39.04,1168.0,-11.368496112044065,76.43336425490409
65,1851+488,21,1.0,4.0,0.0,19.0,56.0,KOKEE12M,WETTZ13S,7.33956,328.93,56.22,12.16,9.38,1196.0,-25.825145361397947,42.86155768090309
66,1746+470,21,1.0,4.0,0.0,20.0,30.0,KOKEE12M,WETTZ13S,5.7668,316.69,47.97,23.38,10.75,1230.0,-41.33284934505376,43.846019622707814
