,source,epoch1,epoch2,epoch3,epoch_h,epoch_min,epoch_sec,station1,station2,sigma,az_st1,el_st1,az_st2,el_st2,epoch_sec_tot,plot_1,plot_2
30,1726+455,21,1.0,4.0,0.0,0.0,0.0,KOKEE12M,WETTZ13S,8.07352,314.66,48.59,23.85,9.34,0.0,-42.34300838057425,41.843430133763704
31,0202+319,21,1.0,4.0,0.0,0.0,35.0,KOKEE12M,WETTZ13S,2.52297,60.38,13.81,289.42,26.73,35.0,75.97733715975883,43.19622143209886
32,0718+793,21,1.0,4.0,0.0,1.0,7.0,KOKEE12M,WETTZ13S,7.33956,2.3,11.5,358.28,59.95,67.0,3.539352144903571,88.12217452421807
33,0109+224,21,1.0,4.0,0.0,1.0,43.0,KOKEE12M,WETTZ13S,1.87756,73.47,22.69,291.63,11.61,103.0,79.60274735048344,23.62475203517726
34,0016+731,21,1.0,4.0,0.0,2.0,43.0,KOKEE12M,WETTZ13S,3.84453,16.38,29.38,339.71,40.98,163.0,22.11626995111804,75.24159730767369
35,1746+470,21,1.0,4.0,0.0,3.0,14.0,KOKEE12M,WETTZ13S,5.7668,318.5,50.68,20.58,9.69,194.0,-37.78828438529293,42.71188571093805
36,1726+455,21,1.0,4.0,0.0,3.0,41.0,KOKEE12M,WETTZ13S,8.07352,314.33,47.98,24.46,9.59,221.0,-43.09494160988461,42.09866718503055
37,0109+224,21,1.0,4.0,0.0,4.0,17.0,KOKEE12M,WETTZ13S,1.87756,73.64,23.26,292.08,11.22,257.0,79.33716156691604,23.290023237067082
38,1842+681,21,1.0,4.0,0.0,5.0,20.0,KOKEE12M,WETTZ13S,7.33956,347.95,41.46,7.25,28.04,320.0,-14.080718830580627,65.96147687338028
39,0202+319,21,1.0,4.0,0.0,6.0,5.0,KOKEE12M,WETTZ13S,2.52297,60.74,14.92,290.31,25.88,365.0,75.86986400708071,42.50656190030843
40,1746+470,21,1.0,4.0,0.0,6.0,40.0,KOKEE12M,WETTZ13S,5.7668,318.11,50.15,21.14,9.89,400.0,-38.50653926134606,42.93131098502816
41,2353+816,21,1.0,4.0,0.0,7.0,10.0,KOKEE12M,WETTZ13S,6.2104,7.18,26.74,350.14,44.80,430.0,10.045844822419388,79.7449030798873
42,3C371,21,1.0,4.0,0.0,7.0,48.0,KOKEE12M,WETTZ13S,2.99019,345.64,38.09,10.48,30.59,468.0,-17.56775845614152,68.62074916437452
43,1851+488,21,1.0,4.0,0.0,8.0,16.0,KOKEE12M,WETTZ13S,7.33956,331.43,57.57,10.25,9.01,496.0,-23.081485458886426,42.387230981874
44,1726+455,21,1.0,4.0,0.0,8.0,51.0,KOKEE12M,WETTZ13S,7.33956,313.91,47.12,25.31,9.95,531.0,-44.12047874554617,42.47291948003681
45,0718+793,21,1.0,4.0,0.0,9.0,23.0,KOKEE12M,WETTZ13S,7.33956,2.69,11.58,357.51,59.90,563.0,4.137914295842345,88.07093008780765
46,1039+811,21,1.0,4.0,0.0,9.0,55.0,KOKEE12M,WETTZ13S,3.1052,354.57,14.5,10.97,55.47,595.0,-8.24538601377709,86.74228163588022
47,1842+681,21,1.0,4.0,0.0,10.0,22.0,KOKEE12M,WETTZ13S,7.33956,347.42,41.21,7.77,28.15,622.0,-14.746757247284398,66.08154205729306
48,3C371,21,1.0,4.0,0.0,11.0,1.0,KOKEE12M,WETTZ13S,2.99019,345.38,37.91,10.79,30.69,661.0,-17.922905138640207,68.70876074145085
49,0016+731,21,1.0,4.0,0.0,11.0,30.0,KOKEE12M,WETTZ13S,3.84453,16.1,29.95,340.21,40.48,690.0,21.625420003519615,74.92302513358078
50,3C371,21,1.0,4.0,0.0,11.0,59.0,KOKEE12M,WETTZ13S,2.99019,345.3,37.85,10.88,30.72,719.0,-18.033507895873555,68.73964354356644
51,0133+476,21,1.0,4.0,0.0,12.0,31.0,KOKEE12M,WETTZ13S,2.07013,45.92,24.61,308.61,31.43,751.0,58.7803490309957,56.92234777487113
52,1851+488,21,1.0,4.0,0.0,13.0,4.0,KOKEE12M,WETTZ13S,7.33956,330.37,57.03,11.04,9.15,784.0,-24.21457205722013,42.57343674367915
