,source,epoch1,epoch2,epoch3,epoch_h,epoch_min,epoch_sec,station1,station2,sigma,az_st1,el_st1,az_st2,el_st2,epoch_sec_tot,plot_1,plot_2
30,3C371,21,1.0,4.0,0.0,0.0,0.0,KOKEE12M,WETTZ13S,2.99019,346.29,38.53,9.75,30.37,0.0,-16.68662003816888,68.39938255078944
31,1746+470,21,1.0,4.0,0.0,0.0,29.0,KOKEE12M,WETTZ13S,5.7668,318.83,51.1,20.13,9.54,29.0,-37.20466765702512,42.543475162308795
32,1726+455,21,1.0,4.0,0.0,0.0,56.0,KOKEE12M,WETTZ13S,8.07352,314.58,48.44,24.01,9.41,56.0,-42.52711404678948,41.9081600742935
33,1803+784,21,1.0,4.0,0.0,1.0,26.0,KOKEE12M,WETTZ13S,1.41641,352.34,31.43,6.72,38.66,86.0,-10.236338229661262,76.1097288231988
34,1039+811,21,1.0,4.0,0.0,1.0,53.0,KOKEE12M,WETTZ13S,3.1052,354.29,14.68,11.32,55.22,113.0,-8.662102390434205,86.63008169747677
35,1746+470,21,1.0,4.0,0.0,2.0,23.0,KOKEE12M,WETTZ13S,5.7668,318.6,50.81,20.44,9.65,143.0,-37.60911234791826,42.6591642618455
36,1851+488,21,1.0,4.0,0.0,2.0,51.0,KOKEE12M,WETTZ13S,7.33956,332.69,58.16,9.36,8.86,171.0,-21.783773802244585,42.1872209040985
37,0133+476,21,1.0,4.0,0.0,3.0,30.0,KOKEE12M,WETTZ13S,2.12461,45.71,23.11,307.47,32.60,210.0,59.25353840371887,57.8029195246381
38,1849+670,21,1.0,4.0,0.0,4.0,1.0,KOKEE12M,WETTZ13S,2.24264,348.12,42.76,6.65,26.85,241.0,-13.603064039216136,64.66302350211457
39,1803+784,21,1.0,4.0,0.0,4.0,28.0,KOKEE12M,WETTZ13S,1.4417,352.2,31.33,6.9,38.72,268.0,-10.433379246023199,76.16552597028429
40,0016+731,21,1.0,4.0,0.0,4.0,57.0,KOKEE12M,WETTZ13S,3.84453,16.31,29.53,339.83,40.85,297.0,21.99179009806618,75.15736060719497
41,1842+681,21,1.0,4.0,0.0,5.0,26.0,KOKEE12M,WETTZ13S,7.33956,347.94,41.45,7.26,28.05,326.0,-14.094403825054757,65.96918797147102
42,0202+319,21,1.0,4.0,0.0,6.0,11.0,KOKEE12M,WETTZ13S,2.52297,60.75,14.94,290.33,25.87,371.0,75.87021969825135,42.48936458286073
43,0202+319,21,1.0,4.0,0.0,6.0,28.0,KOKEE12M,WETTZ13S,2.52297,60.76,15.0,290.38,25.82,388.0,75.8563909525283,42.46423008820671
44,1851+488,21,1.0,4.0,0.0,7.0,2.0,KOKEE12M,WETTZ13S,7.33956,331.71,57.71,10.05,8.97,422.0,-22.786029700585587,42.335949332438766
45,1849+670,21,1.0,4.0,0.0,7.0,37.0,KOKEE12M,WETTZ13S,2.24264,347.71,42.58,7.04,26.92,457.0,-14.106222362804306,64.7512717289227
46,2309+454,21,1.0,4.0,0.0,8.0,8.0,KOKEE12M,WETTZ13S,8.07352,44.77,48.58,326.9,14.26,488.0,41.932941920606225,42.27095986194492
47,1803+784,21,1.0,4.0,0.0,8.0,44.0,KOKEE12M,WETTZ13S,1.4417,352.01,31.2,7.15,38.81,524.0,-10.700627253355268,76.23546103107262
48,0016+731,21,1.0,4.0,0.0,9.0,13.0,KOKEE12M,WETTZ13S,3.84453,16.18,29.81,340.08,40.61,553.0,21.76053975851796,74.99797450132603
49,0202+319,21,1.0,4.0,0.0,9.0,43.0,KOKEE12M,WETTZ13S,2.52297,60.97,15.65,290.9,25.33,583.0,75.77557541350194,42.054969180710955
50,0016+731,21,1.0,4.0,0.0,10.0,13.0,KOKEE12M,WETTZ13S,3.84453,16.14,29.87,340.13,40.56,613.0,21.69513965846231,74.9681005527893
51,1726+455,21,1.0,4.0,0.0,10.0,45.0,KOKEE12M,WETTZ13S,7.33956,313.76,46.8,25.62,10.08,645.0,-44.49685796136885,42.61136031003993
52,2356+385,21,1.0,4.0,0.0,11.0,21.0,KOKEE12M,WETTZ13S,8.07352,56.82,41.98,315.94,13.06,681.0,55.99570712101166,36.61465418750121
53,2229+695,21,1.0,4.0,0.0,12.0,20.0,KOKEE12M,WETTZ13S,5.38235,12.98,38.91,345.51,32.20,740.0,15.729956148508169,68.2425971364605
54,3C418,21,1.0,4.0,0.0,12.0,47.0,KOKEE12M,WETTZ13S,1.52331,3.1,60.67,353.73,10.89,767.0,2.3840920459938846,44.02099827945828
55,0718+793,21,1.0,4.0,0.0,13.0,18.0,KOKEE12M,WETTZ13S,7.33956,2.87,11.63,357.14,59.87,798.0,4.413785335055806,88.04171633637662
56,0202+319,21,1.0,4.0,0.0,13.0,54.0,KOKEE12M,WETTZ13S,2.52297,61.23,16.5,291.58,24.69,834.0,75.64156933752825,41.53274356859745
57,2356+385,21,1.0,4.0,0.0,14.0,22.0,KOKEE12M,WETTZ13S,8.07352,56.75,42.57,316.43,12.72,862.0,55.429569746335886,36.34121836718582
58,0202+319,21,1.0,4.0,0.0,15.0,19.0,KOKEE12M,WETTZ13S,2.52297,61.32,16.79,291.81,24.47,919.0,75.5922413197463,41.3512540374984
59,3C371,21,1.0,4.0,0.0,15.0,52.0,KOKEE12M,WETTZ13S,2.99019,344.99,37.62,11.24,30.84,952.0,-18.462423846809568,68.85463197722036
60,3C418,21,1.0,4.0,0.0,16.0,20.0,KOKEE12M,WETTZ13S,1.52331,1.97,60.71,354.3,10.83,980.0,1.5136094243555938,44.004697784705456
61,3C418,21,1.0,4.0,0.0,16.0,37.0,KOKEE12M,WETTZ13S,1.52331,1.88,60.71,354.34,10.83,997.0,1.444485167798715,44.007021067242995
62,0059+581,21,1.0,4.0,0.0,17.0,6.0,KOKEE12M,WETTZ13S,1.36839,34.03,30.39,322.61,33.83,1026.0,43.446175024816306,64.33891077208713
63,3C418,21,1.0,4.0,0.0,17.0,35.0,KOKEE12M,WETTZ13S,1.52331,1.57,60.72,354.49,10.81,1055.0,1.2059889211335073,44.00049702170326
64,0109+224,21,1.0,4.0,0.0,18.0,7.0,KOKEE12M,WETTZ13S,1.87756,74.54,26.35,294.55,9.14,1087.0,77.73081109147925,21.498233139886107
65,0718+793,21,1.0,4.0,0.0,19.0,8.0,KOKEE12M,WETTZ13S,8.07352,3.14,11.7,356.61,59.82,1148.0,4.8274038360939375,87.99774091545412
66,1803+784,21,1.0,4.0,0.0,19.0,39.0,KOKEE12M,WETTZ13S,1.4951,351.53,30.83,7.79,39.04,1179.0,-11.383021979293227,76.43934248944144
67,3C371,21,1.0,4.0,0.0,20.0,6.0,KOKEE12M,WETTZ13S,2.99019,344.67,37.36,11.64,30.98,1206.0,-18.912406024668098,68.99016650735508
68,2309+454,21,1.0,4.0,0.0,20.0,37.0,KOKEE12M,WETTZ13S,8.07352,43.51,50.6,328.85,13.18,1237.0,39.330000396813865,41.43068846091911
69,NGC6251,21,1.0,4.0,0.0,21.0,13.0,KOKEE12M,WETTZ13S,7.33956,352.66,25.49,8.57,44.44,1273.0,-10.378910833503772,80.57371967695549
70,1039+811,21,1.0,4.0,0.0,21.0,52.0,KOKEE12M,WETTZ13S,3.1052,354.99,14.25,10.42,55.84,1312.0,-7.617830177943842,86.89751417423268
71,0202+319,21,1.0,4.0,0.0,22.0,25.0,KOKEE12M,WETTZ13S,2.52297,61.74,18.24,292.96,23.39,1345.0,75.289574432721,40.47148353819463
72,2229+695,21,1.0,4.0,0.0,22.0,56.0,KOKEE12M,WETTZ13S,5.38235,12.02,39.44,346.47,31.78,1376.0,14.474866778811956,67.98219927639445
73,1842+681,21,1.0,4.0,0.0,23.0,25.0,KOKEE12M,WETTZ13S,7.33956,346.1,40.51,9.1,28.47,1405.0,-16.437924356145025,66.42257053297926
74,0109+224,21,1.0,4.0,0.0,24.0,11.0,KOKEE12M,WETTZ13S,1.87756,74.93,27.71,295.63,8.24,1451.0,76.93790494353058,20.716228630071285
75,1039+811,21,1.0,4.0,0.0,25.0,13.0,KOKEE12M,WETTZ13S,3.1052,355.11,14.18,10.26,55.93,1513.0,-7.438117510172139,86.940180903286
76,1746+470,21,1.0,4.0,0.0,25.0,43.0,KOKEE12M,WETTZ13S,5.7668,316.22,47.14,24.22,11.10,1543.0,-42.35677345649849,44.20010921310329
77,0133+476,21,1.0,4.0,0.0,26.0,17.0,KOKEE12M,WETTZ13S,2.07013,46.15,26.91,310.38,29.69,1577.0,57.87613206501131,55.59824936170529
78,1849+670,21,1.0,4.0,0.0,26.0,48.0,KOKEE12M,WETTZ13S,2.24264,345.61,41.55,9.08,27.36,1608.0,-16.738859101522166,65.24082152502149
79,1849+670,21,1.0,4.0,0.0,27.0,5.0,KOKEE12M,WETTZ13S,2.24264,345.58,41.54,9.11,27.37,1625.0,-16.77561110545768,65.24213758971406
80,0718+793,21,1.0,4.0,0.0,27.0,33.0,KOKEE12M,WETTZ13S,8.07352,3.53,11.81,355.84,59.73,1653.0,5.424101602435172,87.9277087744858
81,1851+488,21,1.0,4.0,0.0,28.0,8.0,KOKEE12M,WETTZ13S,7.33956,327.33,55.22,13.5,9.68,1688.0,-27.71246067704786,43.21635076473401
82,1851+488,21,1.0,4.0,0.0,28.0,32.0,KOKEE12M,WETTZ13S,7.33956,327.26,55.17,13.56,9.69,1712.0,-27.800116147287763,43.236705210557034
83,2229+695,21,1.0,4.0,0.0,29.0,9.0,KOKEE12M,WETTZ13S,5.38235,11.44,39.73,347.04,31.55,1749.0,13.728385781507152,67.8407341480546
84,1851+488,21,1.0,4.0,0.0,29.0,39.0,KOKEE12M,WETTZ13S,7.33956,327.05,55.03,13.74,9.74,1779.0,-28.056499343545095,43.28587121590369
85,2356+385,21,1.0,4.0,0.0,30.0,20.0,KOKEE12M,WETTZ13S,8.07352,56.28,45.66,319.05,10.95,1820.0,52.319665689320125,34.91927167049702
86,1851+488,21,1.0,4.0,0.0,31.0,23.0,KOKEE12M,WETTZ13S,7.33956,326.73,54.81,14.02,9.80,1883.0,-28.452955065968982,43.3649486448906
87,3C418,21,1.0,4.0,0.0,31.0,59.0,KOKEE12M,WETTZ13S,1.52331,356.97,60.67,356.78,10.63,1919.0,-2.3303084848959212,44.023878143219754
88,1849+670,21,1.0,4.0,0.0,32.0,26.0,KOKEE12M,WETTZ13S,2.24264,345.03,41.22,9.67,27.51,1946.0,-17.48694035241698,65.39910222193234
89,3C371,21,1.0,4.0,0.0,32.0,53.0,KOKEE12M,WETTZ13S,2.99019,343.72,36.55,12.82,31.43,1973.0,-20.26808323374181,69.40135939665042
90,NGC6251,21,1.0,4.0,0.0,33.0,20.0,KOKEE12M,WETTZ13S,7.33956,352.48,25.13,8.93,44.74,2000.0,-10.663627899197042,80.78039054338134
91,0202+319,21,1.0,4.0,0.0,34.0,5.0,KOKEE12M,WETTZ13S,2.52297,62.39,20.64,294.85,21.64,2045.0,74.63211714999684,39.03331526258775
92,2229+695,21,1.0,4.0,0.0,34.0,36.0,KOKEE12M,WETTZ13S,5.38235,10.91,39.98,347.54,31.35,2076.0,13.052633122856616,67.71770960999027
93,3C418,21,1.0,4.0,0.0,35.0,4.0,KOKEE12M,WETTZ13S,1.52331,355.99,60.63,357.27,10.61,2104.0,-3.08675517707414,44.03221522179552
94,1851+488,21,1.0,4.0,0.0,35.0,33.0,KOKEE12M,WETTZ13S,7.33956,325.99,54.27,14.7,9.97,2133.0,-29.397089100012888,43.56657302823621
95,0016+731,21,1.0,4.0,0.0,36.0,11.0,KOKEE12M,WETTZ13S,3.84453,15.15,31.5,341.7,39.16,2171.0,20.055141050882913,74.0705936345481
96,2356+385,21,1.0,4.0,0.0,36.0,41.0,KOKEE12M,WETTZ13S,8.07352,56.02,46.88,320.11,10.28,2201.0,51.012385547753105,34.38238657327628
97,0016+731,21,1.0,4.0,0.0,37.0,40.0,KOKEE12M,WETTZ13S,3.84453,15.08,31.59,341.79,39.09,2260.0,19.945389522235086,74.0236261527074
98,1851+488,21,1.0,4.0,0.0,38.0,11.0,KOKEE12M,WETTZ13S,7.33956,325.54,53.93,15.12,10.09,2291.0,-29.98313905508669,43.69105106579552
99,NGC6251,21,1.0,4.0,0.0,38.0,47.0,KOKEE12M,WETTZ13S,7.33956,352.41,24.96,9.08,44.88,2327.0,-10.77724301967499,80.87935578604187
100,2229+695,21,1.0,4.0,0.0,39.0,27.0,KOKEE12M,WETTZ13S,5.38235,10.44,40.19,347.98,31.18,2367.0,12.45821886008365,67.61360872572595
101,2229+695,21,1.0,4.0,0.0,39.0,44.0,KOKEE12M,WETTZ13S,5.38235,10.41,40.2,348.01,31.17,2384.0,12.420982947804804,67.61015165498858
102,0133+476,21,1.0,4.0,0.0,40.0,13.0,KOKEE12M,WETTZ13S,2.01838,46.27,29.25,312.19,27.97,2413.0,56.742321633254114,54.281010701422424
103,2309+454,21,1.0,4.0,0.0,40.0,41.0,KOKEE12M,WETTZ13S,8.07352,40.96,53.74,332.03,11.55,2441.0,34.89431823125053,40.19796545756321
104,NGC6251,21,1.0,4.0,0.0,41.0,16.0,KOKEE12M,WETTZ13S,7.33956,352.38,24.89,9.15,44.95,2476.0,-10.82573450942158,80.91963136055348
105,1851+488,21,1.0,4.0,0.0,41.0,57.0,KOKEE12M,WETTZ13S,7.33956,324.92,53.43,15.73,10.25,2517.0,-30.817845547069354,43.88191113807292
106,2229+695,21,1.0,4.0,0.0,42.0,34.0,KOKEE12M,WETTZ13S,5.38235,10.13,40.32,348.27,31.08,2554.0,12.06900504553133,67.55012684111125
107,1849+670,21,1.0,4.0,0.0,43.0,3.0,KOKEE12M,WETTZ13S,2.24264,343.97,40.56,10.79,27.82,2583.0,-18.881195991215023,65.71667040374096
108,0133+476,21,1.0,4.0,0.0,43.0,35.0,KOKEE12M,WETTZ13S,2.01838,46.28,29.82,312.63,27.57,2615.0,56.43280686021354,53.9660620703905
109,1842+681,21,1.0,4.0,0.0,44.0,7.0,KOKEE12M,WETTZ13S,7.33956,344.17,39.28,11.19,29.06,2647.0,-19.00363906651322,67.02346892625512
110,0133+476,21,1.0,4.0,0.0,44.0,51.0,KOKEE12M,WETTZ13S,2.01838,46.28,30.03,312.8,27.41,2691.0,56.31387548783943,53.8523293290871
111,1851+488,21,1.0,4.0,0.0,45.0,24.0,KOKEE12M,WETTZ13S,7.33956,324.38,52.96,16.29,10.41,2724.0,-31.574319754545556,44.070034424912485
112,0307+380,21,1.0,4.0,0.0,46.0,5.0,KOKEE12M,WETTZ13S,6.2104,53.19,11.77,291.52,33.80,2765.0,70.54137837811724,52.79089785496784
113,0202+319,21,1.0,4.0,0.0,46.0,43.0,KOKEE12M,WETTZ13S,2.52297,63.04,23.24,296.9,19.78,2803.0,73.71012289212172,37.49238747773069
114,0059+581,21,1.0,4.0,0.0,47.0,12.0,KOKEE12M,WETTZ13S,1.36839,33.18,34.26,325.78,30.94,2832.0,40.70834285140233,62.256287660555934
115,2309+454,21,1.0,4.0,0.0,47.0,39.0,KOKEE12M,WETTZ13S,8.07352,39.91,54.78,333.14,11.03,2859.0,33.301120860323856,39.8135708962944
116,1851+488,21,1.0,4.0,0.0,48.0,17.0,KOKEE12M,WETTZ13S,7.33956,323.93,52.57,16.75,10.54,2897.0,-32.206633124975205,44.21492927199968
117,0718+793,21,1.0,4.0,0.0,48.0,55.0,KOKEE12M,WETTZ13S,8.07352,4.5,12.16,353.95,59.41,2935.0,6.902885141659616,87.70947188022541
118,1806+456,21,1.0,4.0,0.0,49.0,33.0,KOKEE12M,WETTZ13S,6.72793,314.22,47.07,25.21,10.14,2973.0,-43.931262705188686,42.75113309611937
119,0133+476,21,1.0,4.0,0.0,50.0,10.0,KOKEE12M,WETTZ13S,2.01838,46.28,30.92,313.5,26.78,3010.0,55.801455370575475,53.362307701722685
120,1803+784,21,1.0,4.0,0.0,50.0,41.0,KOKEE12M,WETTZ13S,1.6147,350.31,29.69,9.54,39.81,3041.0,-13.159826833955345,77.06914694763766
121,NGC6251,21,1.0,4.0,0.0,51.0,8.0,KOKEE12M,WETTZ13S,7.33956,352.27,24.58,9.42,45.21,3068.0,-11.008474273177713,81.10059585698285
122,2353+816,21,1.0,4.0,0.0,51.0,48.0,KOKEE12M,WETTZ13S,6.2104,6.07,27.94,351.58,43.63,3108.0,8.407605229312667,79.06371232526371
123,0235+164,21,1.0,4.0,0.0,52.0,30.0,KOKEE12M,WETTZ13S,1.79412,76.96,12.83,281.04,12.61,3150.0,85.49008414696252,19.79981569731584
124,1851+488,21,1.0,4.0,0.0,53.0,6.0,KOKEE12M,WETTZ13S,7.33956,323.23,51.91,17.52,10.77,3186.0,-33.23502705992717,44.47470768057473
125,NGC6251,21,1.0,4.0,0.0,53.0,42.0,KOKEE12M,WETTZ13S,7.33956,352.24,24.5,9.49,45.28,3222.0,-11.057984060549549,81.14653446653274
126,0307+380,21,1.0,4.0,0.0,54.0,27.0,KOKEE12M,WETTZ13S,6.2104,53.73,13.33,292.77,32.53,3267.0,70.60650400793244,51.80873721891738
127,0059+581,21,1.0,4.0,0.0,55.0,7.0,KOKEE12M,WETTZ13S,1.36839,32.86,35.26,326.64,30.22,3307.0,39.87408334219078,61.73040213029392
128,3C371,21,1.0,4.0,0.0,55.0,38.0,KOKEE12M,WETTZ13S,2.99019,342.23,35.0,14.88,32.32,3338.0,-22.500227224298612,70.2062771789239
129,0133+476,21,1.0,4.0,0.0,56.0,10.0,KOKEE12M,WETTZ13S,1.96915,46.26,31.93,314.3,26.07,3370.0,55.1852116582821,52.80989235824597
130,2229+695,21,1.0,4.0,0.0,56.0,40.0,KOKEE12M,WETTZ13S,5.38235,8.7,40.85,349.59,30.63,3400.0,10.297565815851145,67.29489395431243
