,source,epoch1,epoch2,epoch3,epoch_h,epoch_min,epoch_sec,station1,station2,sigma,az_st1,el_st1,az_st2,el_st2,epoch_sec_tot,plot_1,plot_2
30,2309+454,21,1.0,4.0,0.0,0.0,0.0,KOKEE12M,WETTZ13S,8.07352,45.48,47.24,325.65,15.00,0.0,43.567218296456595,42.843290375727015
31,0059+581,21,1.0,4.0,0.0,0.0,32.0,KOKEE12M,WETTZ13S,1.36839,34.25,28.23,320.94,35.51,32.0,44.62763440467907,65.54446009877535
32,0133+476,21,1.0,4.0,0.0,1.0,0.0,KOKEE12M,WETTZ13S,2.12461,45.65,22.7,307.16,32.92,60.0,59.372215668427714,58.0401574020274
33,1851+488,21,1.0,4.0,0.0,1.0,32.0,KOKEE12M,WETTZ13S,7.33956,333.01,58.3,9.15,8.82,92.0,-21.46296759775862,42.14162688068114
34,0059+581,21,1.0,4.0,0.0,2.0,11.0,KOKEE12M,WETTZ13S,1.36839,34.23,28.45,321.11,35.34,131.0,44.51247412993782,65.42440361929219
35,0016+731,21,1.0,4.0,0.0,2.0,39.0,KOKEE12M,WETTZ13S,3.84453,16.39,29.38,339.7,40.98,159.0,22.129401750276102,75.23773614440914
36,1726+455,21,1.0,4.0,0.0,3.0,11.0,KOKEE12M,WETTZ13S,8.07352,314.38,48.07,24.38,9.56,191.0,-42.983069816754245,42.062749565627136
37,0202+319,21,1.0,4.0,0.0,3.0,46.0,KOKEE12M,WETTZ13S,2.52297,60.59,14.45,289.94,26.24,226.0,75.92135861290855,42.79694662847116
38,1849+670,21,1.0,4.0,0.0,4.0,19.0,KOKEE12M,WETTZ13S,2.24264,348.09,42.74,6.68,26.85,259.0,-13.64132063086876,64.67675817813792
39,3C371,21,1.0,4.0,0.0,4.0,46.0,KOKEE12M,WETTZ13S,2.99019,345.89,38.27,10.2,30.51,286.0,-17.22557070992054,68.52724929527888
40,1851+488,21,1.0,4.0,0.0,5.0,14.0,KOKEE12M,WETTZ13S,7.33956,332.13,57.9,9.76,8.92,314.0,-22.35701753121312,42.27857394296908
41,2229+695,21,1.0,4.0,0.0,5.0,51.0,KOKEE12M,WETTZ13S,5.38235,13.54,38.56,344.93,32.47,351.0,16.47672694872243,68.42004346441047
42,1039+811,21,1.0,4.0,0.0,6.0,20.0,KOKEE12M,WETTZ13S,3.1052,354.44,14.58,11.13,55.36,380.0,-8.439119931544608,86.6919500112968
43,0133+476,21,1.0,4.0,0.0,6.0,52.0,KOKEE12M,WETTZ13S,2.12461,45.8,23.67,307.9,32.16,412.0,59.09391150775285,57.46631791291129
44,2229+695,21,1.0,4.0,0.0,7.0,21.0,KOKEE12M,WETTZ13S,5.38235,13.41,38.64,345.07,32.41,441.0,16.303262398293654,68.3809903262519
45,0016+731,21,1.0,4.0,0.0,7.0,48.0,KOKEE12M,WETTZ13S,3.84453,16.22,29.72,339.99,40.69,468.0,21.83249689420919,75.05015403183073
46,3C418,21,1.0,4.0,0.0,8.0,16.0,KOKEE12M,WETTZ13S,1.52331,4.54,60.6,353.02,10.98,496.0,3.497176276130376,44.04271074914094
47,0718+793,21,1.0,4.0,0.0,8.0,47.0,KOKEE12M,WETTZ13S,7.33956,2.66,11.58,357.56,59.90,527.0,4.0917998995732905,88.073084621995
48,3C371,21,1.0,4.0,0.0,9.0,19.0,KOKEE12M,WETTZ13S,2.99019,345.52,38.0,10.63,30.64,559.0,-17.733223581997503,68.66816189887086
49,0133+476,21,1.0,4.0,0.0,9.0,51.0,KOKEE12M,WETTZ13S,2.07013,45.86,24.17,308.27,31.77,591.0,58.925527232060226,57.18263242160014
50,1842+681,21,1.0,4.0,0.0,10.0,22.0,KOKEE12M,WETTZ13S,7.33956,347.42,41.21,7.77,28.15,622.0,-14.746757247284398,66.08154205729306
51,2356+385,21,1.0,4.0,0.0,11.0,6.0,KOKEE12M,WETTZ13S,8.07352,56.82,41.93,315.9,13.09,666.0,56.03965358683455,36.64339004479453
