,source,epoch1,epoch2,epoch3,epoch_h,epoch_min,epoch_sec,station1,station2,sigma,az_st1,el_st1,az_st2,el_st2,epoch_sec_tot,plot_1,plot_2
30,0059+581,21,1.0,4.0,0.0,0.0,0.0,KOKEE12M,WETTZ13S,1.36839,34.25,28.16,320.89,35.56,0.0,44.65687280192946,65.58740243680188
31,3C418,21,1.0,4.0,0.0,0.0,29.0,KOKEE12M,WETTZ13S,1.52331,6.98,60.42,351.79,11.15,29.0,5.398951235013137,44.098181102033166
32,2229+695,21,1.0,4.0,0.0,0.0,56.0,KOKEE12M,WETTZ13S,5.38235,13.95,38.29,344.5,32.69,56.0,17.029447732766222,68.55619659343382
33,1851+488,21,1.0,4.0,0.0,1.0,26.0,KOKEE12M,WETTZ13S,7.33956,333.03,58.31,9.13,8.82,86.0,-21.44219463634761,42.13720461971857
34,2353+816,21,1.0,4.0,0.0,2.0,2.0,KOKEE12M,WETTZ13S,6.2104,7.29,26.59,349.99,44.95,122.0,10.212342900679694,79.83035441451788
35,NGC6251,21,1.0,4.0,0.0,2.0,40.0,KOKEE12M,WETTZ13S,7.33956,352.97,26.03,7.98,44.00,160.0,-9.897697598878073,80.26282526097039
36,3C371,21,1.0,4.0,0.0,3.0,19.0,KOKEE12M,WETTZ13S,2.99019,346.01,38.35,10.06,30.46,199.0,-17.0631771505628,68.48758589073158
37,1851+488,21,1.0,4.0,0.0,3.0,47.0,KOKEE12M,WETTZ13S,7.33956,332.47,58.06,9.52,8.88,227.0,-22.00724575665084,42.221535361598455
38,1803+784,21,1.0,4.0,0.0,4.0,22.0,KOKEE12M,WETTZ13S,1.4417,352.21,31.34,6.9,38.72,262.0,-10.418978476416308,76.15925237942649
39,NGC6251,21,1.0,4.0,0.0,4.0,48.0,KOKEE12M,WETTZ13S,7.33956,352.93,25.97,8.05,44.05,288.0,-9.958814394934503,80.29689716920936
40,1842+681,21,1.0,4.0,0.0,5.0,27.0,KOKEE12M,WETTZ13S,7.33956,347.94,41.45,7.26,28.05,327.0,-14.094403825054757,65.96918797147102
41,1726+455,21,1.0,4.0,0.0,6.0,8.0,KOKEE12M,WETTZ13S,8.07352,314.13,47.57,24.86,9.76,368.0,-43.58393716129122,42.28004691826935
42,1849+670,21,1.0,4.0,0.0,6.0,37.0,KOKEE12M,WETTZ13S,2.24264,347.83,42.63,6.93,26.90,397.0,-13.959368533836626,64.72870178531838
43,1851+488,21,1.0,4.0,0.0,7.0,5.0,KOKEE12M,WETTZ13S,7.33956,331.7,57.7,10.06,8.97,425.0,-22.799713349010784,42.34366281889416
44,2353+816,21,1.0,4.0,0.0,7.0,41.0,KOKEE12M,WETTZ13S,6.2104,7.17,26.75,350.16,44.79,461.0,10.03104426167985,79.73964156781213
45,1726+455,21,1.0,4.0,0.0,8.0,22.0,KOKEE12M,WETTZ13S,8.07352,313.95,47.2,25.23,9.91,502.0,-44.0244779298192,42.43976059184651
46,0059+581,21,1.0,4.0,0.0,8.0,55.0,KOKEE12M,WETTZ13S,1.36839,34.16,29.32,321.78,34.65,535.0,44.06184273610227,64.93249688415442
47,1849+670,21,1.0,4.0,0.0,9.0,25.0,KOKEE12M,WETTZ13S,2.24264,347.51,42.49,7.23,26.95,565.0,-14.352830029842218,64.79494844356572
48,2356+385,21,1.0,4.0,0.0,9.0,57.0,KOKEE12M,WETTZ13S,8.07352,56.84,41.71,315.71,13.22,597.0,56.2453421373928,36.74986491608426
49,0016+731,21,1.0,4.0,0.0,10.0,56.0,KOKEE12M,WETTZ13S,3.84453,16.12,29.92,340.17,40.52,656.0,21.658100870321007,74.93806292432129
50,1039+811,21,1.0,4.0,0.0,11.0,25.0,KOKEE12M,WETTZ13S,3.1052,354.62,14.47,10.91,55.52,685.0,-8.170791115373762,86.76117907344748
51,3C418,21,1.0,4.0,0.0,11.0,55.0,KOKEE12M,WETTZ13S,1.52331,3.38,60.66,353.6,10.91,715.0,2.599997256155938,44.02249171337431
52,0059+581,21,1.0,4.0,0.0,12.0,24.0,KOKEE12M,WETTZ13S,1.36839,34.11,29.78,322.13,34.30,744.0,43.80532288436458,64.67587364697918
53,0202+319,21,1.0,4.0,0.0,12.0,53.0,KOKEE12M,WETTZ13S,2.52297,61.17,16.3,291.41,24.84,773.0,75.67574102299166,41.65470475828684
54,1842+681,21,1.0,4.0,0.0,13.0,26.0,KOKEE12M,WETTZ13S,7.33956,347.1,41.05,8.08,28.22,806.0,-15.152500993795865,66.15929356548074
55,2309+454,21,1.0,4.0,0.0,14.0,9.0,KOKEE12M,WETTZ13S,8.07352,44.19,49.56,327.84,13.73,849.0,40.69223540199599,41.8593588254475
56,NGC6251,21,1.0,4.0,0.0,14.0,45.0,KOKEE12M,WETTZ13S,7.33956,352.76,25.68,8.37,44.29,885.0,-10.22202445856721,80.46385315031104
57,3C371,21,1.0,4.0,0.0,15.0,24.0,KOKEE12M,WETTZ13S,2.99019,345.03,37.65,11.2,30.83,924.0,-18.40691673086473,68.83970578112225
58,1746+470,21,1.0,4.0,0.0,15.0,53.0,KOKEE12M,WETTZ13S,5.7668,317.13,48.71,22.64,10.46,953.0,-40.40410366664665,43.525674382896334
59,1803+784,21,1.0,4.0,0.0,16.0,22.0,KOKEE12M,WETTZ13S,1.46791,351.67,30.94,7.6,38.97,982.0,-11.183362049324854,76.37916923773328
60,2353+816,21,1.0,4.0,0.0,16.0,50.0,KOKEE12M,WETTZ13S,6.2104,6.97,27.01,350.43,44.53,1010.0,9.730232620723985,79.59088502519225
61,1842+681,21,1.0,4.0,0.0,17.0,28.0,KOKEE12M,WETTZ13S,7.33956,346.69,40.84,8.49,28.32,1048.0,-15.675302279193936,66.2595380755875
62,1851+488,21,1.0,4.0,0.0,18.0,8.0,KOKEE12M,WETTZ13S,7.33956,329.3,56.44,11.87,9.32,1088.0,-25.40098732702389,42.78013833447479
63,3C418,21,1.0,4.0,0.0,18.0,44.0,KOKEE12M,WETTZ13S,1.52331,1.2,60.72,354.68,10.79,1124.0,0.9218229381089205,44.00736745029848
64,1842+681,21,1.0,4.0,0.0,19.0,12.0,KOKEE12M,WETTZ13S,7.33956,346.52,40.74,8.67,28.36,1152.0,-15.895749933720372,66.31252823454575
65,1803+784,21,1.0,4.0,0.0,19.0,51.0,KOKEE12M,WETTZ13S,1.4951,351.52,30.83,7.8,39.04,1191.0,-11.39636298789716,76.43735461309012
66,1039+811,21,1.0,4.0,0.0,20.0,18.0,KOKEE12M,WETTZ13S,3.1052,354.93,14.28,10.5,55.79,1218.0,-7.707798694207217,86.87792292907527
67,0202+319,21,1.0,4.0,0.0,20.0,51.0,KOKEE12M,WETTZ13S,2.52297,61.65,17.92,292.7,23.63,1251.0,75.36319548550752,40.663773852232026
68,1849+670,21,1.0,4.0,0.0,21.0,24.0,KOKEE12M,WETTZ13S,2.24264,346.18,41.86,8.5,27.22,1284.0,-16.01161534972399,65.08953009177337
69,3C371,21,1.0,4.0,0.0,21.0,51.0,KOKEE12M,WETTZ13S,2.99019,344.53,37.25,11.8,31.04,1311.0,-19.108856340306218,69.04467417898704
70,2356+385,21,1.0,4.0,0.0,22.0,23.0,KOKEE12M,WETTZ13S,8.07352,56.54,44.12,317.74,11.82,1343.0,53.901828622953445,35.622750825505186
71,1746+470,21,1.0,4.0,0.0,23.0,27.0,KOKEE12M,WETTZ13S,5.7668,316.42,47.5,23.86,10.95,1407.0,-41.91564637598131,44.04654164353507
72,1039+811,21,1.0,4.0,0.0,23.0,57.0,KOKEE12M,WETTZ13S,3.1052,355.06,14.21,10.32,55.90,1437.0,-7.512989185721503,86.92214389147112
73,2353+816,21,1.0,4.0,0.0,24.0,25.0,KOKEE12M,WETTZ13S,6.2104,6.79,27.22,350.66,44.33,1465.0,9.462367353855509,79.4717690165027
74,0016+731,21,1.0,4.0,0.0,25.0,2.0,KOKEE12M,WETTZ13S,3.84453,15.6,30.81,341.01,39.75,1502.0,20.787057446627028,74.45087372383558
75,2353+816,21,1.0,4.0,0.0,25.0,29.0,KOKEE12M,WETTZ13S,6.2104,6.76,27.25,350.7,44.30,1529.0,9.41821620824088,79.45529670251149
76,0016+731,21,1.0,4.0,0.0,26.0,6.0,KOKEE12M,WETTZ13S,3.84453,15.56,30.88,341.07,39.69,1566.0,20.71995310120699,74.41105765555061
77,2356+385,21,1.0,4.0,0.0,26.0,36.0,KOKEE12M,WETTZ13S,8.07352,56.41,44.94,318.44,11.36,1596.0,53.06841493404632,35.245221383207806
