,source,epoch1,epoch2,epoch3,epoch_h,epoch_min,epoch_sec,station1,station2,sigma,az_st1,el_st1,az_st2,el_st2,epoch_sec_tot,plot_1,plot_2
30,1039+811,21,1.0,4.0,0.0,0.0,0.0,KOKEE12M,WETTZ13S,3.1052,354.23,14.73,11.4,55.16,0.0,-8.750812087189427,86.60112754500705
31,1842+681,21,1.0,4.0,0.0,0.0,27.0,KOKEE12M,WETTZ13S,7.33956,348.47,41.69,6.75,27.95,27.0,-13.433578847283085,65.85164187872634
32,0016+731,21,1.0,4.0,0.0,1.0,8.0,KOKEE12M,WETTZ13S,3.84453,16.43,29.28,339.62,41.07,68.0,22.203685249499188,75.29607037492964
33,1746+470,21,1.0,4.0,0.0,1.0,39.0,KOKEE12M,WETTZ13S,5.7668,318.69,50.92,20.32,9.60,99.0,-37.45358310047063,42.61751544486824
34,3C418,21,1.0,4.0,0.0,2.0,9.0,KOKEE12M,WETTZ13S,1.52331,6.46,60.46,352.05,11.11,129.0,4.992362927753832,44.09105700270751
35,0059+581,21,1.0,4.0,0.0,2.0,38.0,KOKEE12M,WETTZ13S,1.36839,34.23,28.5,321.15,35.29,158.0,44.49141023232535,65.39344391718328
36,1726+455,21,1.0,4.0,0.0,3.0,11.0,KOKEE12M,WETTZ13S,8.07352,314.38,48.07,24.38,9.56,191.0,-42.983069816754245,42.062749565627136
37,0016+731,21,1.0,4.0,0.0,3.0,43.0,KOKEE12M,WETTZ13S,3.84453,16.35,29.45,339.76,40.92,223.0,22.06166850961325,75.20134815601273
38,1851+488,21,1.0,4.0,0.0,4.0,13.0,KOKEE12M,WETTZ13S,7.33956,332.37,58.01,9.59,8.89,253.0,-22.11180345008749,42.24209360023079
39,2309+454,21,1.0,4.0,0.0,4.0,52.0,KOKEE12M,WETTZ13S,8.07352,45.07,48.04,326.4,14.56,292.0,42.60213669119367,42.498167004888344
40,1039+811,21,1.0,4.0,0.0,5.0,28.0,KOKEE12M,WETTZ13S,3.1052,354.41,14.6,11.17,55.33,328.0,-8.48373970570378,86.67964336306764
41,3C418,21,1.0,4.0,0.0,5.0,58.0,KOKEE12M,WETTZ13S,1.52331,5.26,60.55,352.66,11.02,358.0,4.056613958562184,44.06340773568585
42,0133+476,21,1.0,4.0,0.0,6.0,28.0,KOKEE12M,WETTZ13S,2.12461,45.79,23.6,307.85,32.21,388.0,59.11547848618952,57.50736896788104
43,0718+793,21,1.0,4.0,0.0,6.0,59.0,KOKEE12M,WETTZ13S,7.33956,2.57,11.56,357.73,59.92,419.0,3.953732564028907,88.08569794517223
44,2353+816,21,1.0,4.0,0.0,7.0,30.0,KOKEE12M,WETTZ13S,6.2104,7.18,26.75,350.15,44.79,450.0,10.044961301724838,79.73788960581903
45,1842+681,21,1.0,4.0,0.0,8.0,8.0,KOKEE12M,WETTZ13S,7.33956,347.65,41.32,7.54,28.10,488.0,-14.45699656842217,66.0288831142607
46,0202+319,21,1.0,4.0,0.0,8.0,53.0,KOKEE12M,WETTZ13S,2.52297,60.92,15.49,290.77,25.45,533.0,75.79780292994309,42.15386750049554
47,0016+731,21,1.0,4.0,0.0,9.0,24.0,KOKEE12M,WETTZ13S,3.84453,16.17,29.82,340.09,40.60,564.0,21.745274813242705,74.99427023982537
48,1842+681,21,1.0,4.0,0.0,9.0,53.0,KOKEE12M,WETTZ13S,7.33956,347.47,41.23,7.72,28.14,593.0,-14.684593389459456,66.07417733675689
49,2229+695,21,1.0,4.0,0.0,10.0,34.0,KOKEE12M,WETTZ13S,5.38235,13.13,38.82,345.35,32.28,634.0,15.92871197654691,68.28757223883969
50,0133+476,21,1.0,4.0,0.0,11.0,3.0,KOKEE12M,WETTZ13S,2.07013,45.89,24.37,308.43,31.62,663.0,58.862743195642715,57.06189112015302
51,0202+319,21,1.0,4.0,0.0,11.0,31.0,KOKEE12M,WETTZ13S,2.52297,61.08,16.02,291.19,25.05,691.0,75.71736306078668,41.83272131078257
52,0109+224,21,1.0,4.0,0.0,11.0,58.0,KOKEE12M,WETTZ13S,1.87756,74.15,24.97,293.45,10.06,718.0,78.48564577802608,22.28319338610762
53,0133+476,21,1.0,4.0,0.0,12.0,56.0,KOKEE12M,WETTZ13S,2.07013,45.93,24.68,308.67,31.38,776.0,58.75733947135008,56.88019677143827
54,1746+470,21,1.0,4.0,0.0,13.0,30.0,KOKEE12M,WETTZ13S,5.7668,317.37,49.08,22.25,10.31,810.0,-39.924834812880654,43.3723304718665
55,2353+816,21,1.0,4.0,0.0,14.0,1.0,KOKEE12M,WETTZ13S,6.2104,7.03,26.93,350.34,44.61,841.0,9.820549783001,79.63721495077958
56,NGC6251,21,1.0,4.0,0.0,14.0,39.0,KOKEE12M,WETTZ13S,7.33956,352.76,25.69,8.36,44.28,879.0,-10.221166450118604,80.4570992371219
57,2309+454,21,1.0,4.0,0.0,15.0,22.0,KOKEE12M,WETTZ13S,8.07352,44.07,49.76,328.03,13.63,922.0,40.43792485402349,41.77244477040728
58,NGC6251,21,1.0,4.0,0.0,15.0,58.0,KOKEE12M,WETTZ13S,7.33956,352.74,25.65,8.4,44.31,958.0,-10.252690242909773,80.48052622182928
59,2229+695,21,1.0,4.0,0.0,16.0,38.0,KOKEE12M,WETTZ13S,5.38235,12.59,39.13,345.9,32.03,998.0,15.217658101838007,68.13574623492997
60,3C418,21,1.0,4.0,0.0,17.0,5.0,KOKEE12M,WETTZ13S,1.52331,1.73,60.71,354.41,10.82,1025.0,1.3292702374924603,44.01065190665184
61,2229+695,21,1.0,4.0,0.0,17.0,32.0,KOKEE12M,WETTZ13S,5.38235,12.51,39.17,345.98,31.99,1052.0,15.11391513365557,68.11820041911808
62,1803+784,21,1.0,4.0,0.0,18.0,0.0,KOKEE12M,WETTZ13S,1.4951,351.6,30.89,7.69,39.00,1080.0,-11.282563046064945,76.40536738745176
63,1039+811,21,1.0,4.0,0.0,18.0,27.0,KOKEE12M,WETTZ13S,3.1052,354.87,14.32,10.58,55.73,1107.0,-7.797385119240816,86.85434646590384
64,0016+731,21,1.0,4.0,0.0,18.0,56.0,KOKEE12M,WETTZ13S,3.84453,15.83,30.43,340.64,40.08,1136.0,21.16868780746063,74.65932627467299
65,0016+731,21,1.0,4.0,0.0,19.0,13.0,KOKEE12M,WETTZ13S,3.84453,15.82,30.45,340.66,40.06,1153.0,21.15131789858239,74.6477062063413
66,0109+224,21,1.0,4.0,0.0,19.0,44.0,KOKEE12M,WETTZ13S,1.87756,74.65,26.71,294.84,8.90,1184.0,77.52836847500733,21.282098619677754
67,3C418,21,1.0,4.0,0.0,20.0,46.0,KOKEE12M,WETTZ13S,1.52331,0.55,60.73,355.0,10.76,1246.0,0.42239505509332625,44.00129195917141
68,2353+816,21,1.0,4.0,0.0,21.0,14.0,KOKEE12M,WETTZ13S,6.2104,6.86,27.14,350.56,44.41,1274.0,9.566309611165988,79.51713990359711
69,3C418,21,1.0,4.0,0.0,21.0,52.0,KOKEE12M,WETTZ13S,1.52331,0.2,60.73,355.17,10.75,1312.0,0.15360024887797497,44.00305124218495
70,DA426,21,1.0,4.0,0.0,22.0,23.0,KOKEE12M,WETTZ13S,6.72793,303.99,39.62,35.76,8.70,1343.0,-57.4807585474338,38.75666632209132
71,0718+793,21,1.0,4.0,0.0,23.0,3.0,KOKEE12M,WETTZ13S,8.07352,3.32,11.75,356.25,59.78,1383.0,5.102908306770583,87.96620730753624
72,0133+476,21,1.0,4.0,0.0,23.0,37.0,KOKEE12M,WETTZ13S,2.07013,46.11,26.47,310.03,30.02,1417.0,58.061027410892244,55.85386052700856
73,1806+456,21,1.0,4.0,0.0,24.0,11.0,KOKEE12M,WETTZ13S,6.72793,316.68,51.21,21.02,8.51,1451.0,-38.68220018532193,41.019856519780404
74,1842+681,21,1.0,4.0,0.0,24.0,43.0,KOKEE12M,WETTZ13S,7.33956,345.97,40.44,9.23,28.50,1483.0,-16.605893151486832,66.45434800938445
75,2309+454,21,1.0,4.0,0.0,25.0,26.0,KOKEE12M,WETTZ13S,8.07352,42.96,51.37,329.6,12.77,1526.0,38.290052301062104,41.11856910710254
76,0016+731,21,1.0,4.0,0.0,26.0,0.0,KOKEE12M,WETTZ13S,3.84453,15.57,30.87,341.07,39.70,1560.0,20.735103609975322,74.4152052080316
77,2356+385,21,1.0,4.0,0.0,26.0,30.0,KOKEE12M,WETTZ13S,8.07352,56.41,44.92,318.42,11.37,1590.0,53.086897315165615,35.257496398676956
78,0718+793,21,1.0,4.0,0.0,27.0,30.0,KOKEE12M,WETTZ13S,8.07352,3.53,11.81,355.84,59.73,1650.0,5.424101602435172,87.9277087744858
79,2229+695,21,1.0,4.0,0.0,28.0,1.0,KOKEE12M,WETTZ13S,5.38235,11.54,39.68,346.93,31.59,1681.0,13.856806634552262,67.86583000538893
80,1849+670,21,1.0,4.0,0.0,28.0,30.0,KOKEE12M,WETTZ13S,2.24264,345.43,41.45,9.26,27.40,1710.0,-16.969919917430598,65.28864984662333
81,1746+470,21,1.0,4.0,0.0,28.0,59.0,KOKEE12M,WETTZ13S,5.7668,315.94,46.61,24.74,11.32,1739.0,-42.994819111992506,44.42923514680836
82,0016+731,21,1.0,4.0,0.0,29.0,30.0,KOKEE12M,WETTZ13S,3.84453,15.43,31.09,341.28,39.51,1770.0,20.505884104346343,74.29417906044826
83,0718+793,21,1.0,4.0,0.0,29.0,58.0,KOKEE12M,WETTZ13S,8.07352,3.64,11.85,355.62,59.70,1798.0,5.592082801224727,87.90427812666155
84,2353+816,21,1.0,4.0,0.0,30.0,29.0,KOKEE12M,WETTZ13S,6.2104,6.64,27.39,350.86,44.17,1829.0,9.240114233617128,79.37459441514788
85,3C418,21,1.0,4.0,0.0,31.0,7.0,KOKEE12M,WETTZ13S,1.52331,357.25,60.68,356.64,10.64,1867.0,-2.114483196451906,44.021061140097366
86,DA426,21,1.0,4.0,0.0,31.0,38.0,KOKEE12M,WETTZ13S,6.72793,303.9,37.84,37.32,9.60,1898.0,-58.99347484015579,39.6419699378699
87,1803+784,21,1.0,4.0,0.0,32.0,17.0,KOKEE12M,WETTZ13S,1.5526,351.01,30.39,8.51,39.33,1937.0,-12.131277988417546,76.68049072608558
88,2356+385,21,1.0,4.0,0.0,32.0,49.0,KOKEE12M,WETTZ13S,8.07352,56.18,46.14,319.46,10.69,1969.0,51.80880663380038,34.70916857395307
89,DA426,21,1.0,4.0,0.0,33.0,54.0,KOKEE12M,WETTZ13S,6.72793,303.89,37.4,37.69,9.82,2034.0,-59.3506094994653,39.86692019127489
90,1842+681,21,1.0,4.0,0.0,34.0,33.0,KOKEE12M,WETTZ13S,7.33956,345.04,39.87,10.23,28.77,2073.0,-17.83136203041605,66.73387036363386
