,source,epoch1,epoch2,epoch3,epoch_h,epoch_min,epoch_sec,station1,station2,sigma,az_st1,el_st1,az_st2,el_st2,epoch_sec_tot,plot_1,plot_2
30,0109+224,21,1.0,4.0,0.0,0.0,0.0,KOKEE12M,WETTZ13S,1.87756,73.36,22.3,291.33,11.87,0.0,79.78181506755465,23.84465287627492
31,1842+681,21,1.0,4.0,0.0,1.0,2.0,KOKEE12M,WETTZ13S,7.33956,348.41,41.66,6.81,27.96,62.0,-13.508826141664303,65.86823218244432
32,0718+793,21,1.0,4.0,0.0,1.0,42.0,KOKEE12M,WETTZ13S,7.33956,2.32,11.5,358.22,59.95,102.0,3.570112370438525,88.120933688567
33,0109+224,21,1.0,4.0,0.0,2.0,18.0,KOKEE12M,WETTZ13S,1.87756,73.51,22.82,291.73,11.52,138.0,79.5434856561541,23.54675358649366
34,3C418,21,1.0,4.0,0.0,3.0,19.0,KOKEE12M,WETTZ13S,1.52331,6.1,60.49,352.24,11.08,199.0,4.7108766278042165,44.08078217081093
35,2229+695,21,1.0,4.0,0.0,3.0,46.0,KOKEE12M,WETTZ13S,5.38235,13.72,38.45,344.75,32.56,226.0,16.717107439186453,68.47244784572813
36,1851+488,21,1.0,4.0,0.0,4.0,16.0,KOKEE12M,WETTZ13S,7.33956,332.36,58.01,9.6,8.89,256.0,-22.11917574943059,42.23823371912895
37,1849+670,21,1.0,4.0,0.0,4.0,51.0,KOKEE12M,WETTZ13S,2.24264,348.03,42.72,6.74,26.86,291.0,-13.713463637622098,64.68329114837647
38,1849+670,21,1.0,4.0,0.0,5.0,8.0,KOKEE12M,WETTZ13S,2.24264,348.0,42.7,6.77,26.87,308.0,-13.751760247584984,64.69694531911703
39,0718+793,21,1.0,4.0,0.0,5.0,36.0,KOKEE12M,WETTZ13S,7.33956,2.51,11.54,357.86,59.93,336.0,3.861762756909217,88.09607414139253
40,1803+784,21,1.0,4.0,0.0,6.0,7.0,KOKEE12M,WETTZ13S,1.4417,352.13,31.28,7.0,38.75,367.0,-10.532012960919763,76.19314677728741
41,0133+476,21,1.0,4.0,0.0,6.0,38.0,KOKEE12M,WETTZ13S,2.12461,45.79,23.63,307.87,32.19,398.0,59.10194744100245,57.49420600569212
42,0718+793,21,1.0,4.0,0.0,7.0,9.0,KOKEE12M,WETTZ13S,7.33956,2.58,11.56,357.72,59.92,429.0,3.969106358262669,88.08500654704397
43,0718+793,21,1.0,4.0,0.0,7.0,30.0,KOKEE12M,WETTZ13S,7.33956,2.6,11.56,357.68,59.91,450.0,3.999853583544203,88.08361570114042
44,2309+454,21,1.0,4.0,0.0,8.0,4.0,KOKEE12M,WETTZ13S,8.07352,44.78,48.57,326.89,14.27,484.0,41.94861534933929,42.272000889932734
45,0718+793,21,1.0,4.0,0.0,8.0,39.0,KOKEE12M,WETTZ13S,7.33956,2.65,11.57,357.58,59.91,519.0,4.076573907363865,88.07694587422198
46,3C418,21,1.0,4.0,0.0,9.0,14.0,KOKEE12M,WETTZ13S,1.52331,4.23,60.62,353.17,10.96,554.0,3.256813234525761,44.033689438821334
