,source,epoch1,epoch2,epoch3,epoch_h,epoch_min,epoch_sec,station1,station2,sigma,az_st1,el_st1,az_st2,el_st2,epoch_sec_tot,plot_1,plot_2
30,1842+681,21,1.0,4.0,0.0,0.0,0.0,KOKEE12M,WETTZ13S,7.33956,348.52,41.71,6.7,27.94,0.0,-13.371947933749226,65.84285908099613
31,1039+811,21,1.0,4.0,0.0,0.0,39.0,KOKEE12M,WETTZ13S,3.1052,354.25,14.71,11.37,55.18,39.0,-8.721381824440607,86.61211936171577
32,2229+695,21,1.0,4.0,0.0,1.0,8.0,KOKEE12M,WETTZ13S,5.38235,13.94,38.3,344.52,32.68,68.0,17.015137090047624,68.54972005018128
33,0109+224,21,1.0,4.0,0.0,1.0,39.0,KOKEE12M,WETTZ13S,1.87756,73.47,22.67,291.62,11.62,99.0,79.61436018955969,23.628198529836457
34,0133+476,21,1.0,4.0,0.0,2.0,37.0,KOKEE12M,WETTZ13S,2.12461,45.69,22.96,307.36,32.71,157.0,59.29933075119289,57.88800220974024
35,0016+731,21,1.0,4.0,0.0,3.0,6.0,KOKEE12M,WETTZ13S,3.84453,16.37,29.41,339.73,40.96,186.0,22.096618620718477,75.22326410734962
36,1803+784,21,1.0,4.0,0.0,3.0,35.0,KOKEE12M,WETTZ13S,1.41641,352.24,31.36,6.85,38.70,215.0,-10.376893248522945,76.14850238850416
37,1746+470,21,1.0,4.0,0.0,4.0,4.0,KOKEE12M,WETTZ13S,5.7668,318.4,50.55,20.72,9.74,244.0,-37.96755978108974,42.76389177611707
38,2353+816,21,1.0,4.0,0.0,4.0,34.0,KOKEE12M,WETTZ13S,6.2104,7.24,26.66,350.07,44.87,274.0,10.136463773394345,79.79035227628242
39,2353+816,21,1.0,4.0,0.0,5.0,1.0,KOKEE12M,WETTZ13S,6.2104,7.23,26.67,350.08,44.86,301.0,10.121650400551657,79.78512694447043
40,2309+454,21,1.0,4.0,0.0,5.0,41.0,KOKEE12M,WETTZ13S,8.07352,45.0,48.18,326.53,14.48,341.0,42.43442439191527,42.43442439191527
41,1039+811,21,1.0,4.0,0.0,6.0,17.0,KOKEE12M,WETTZ13S,3.1052,354.44,14.58,11.13,55.36,377.0,-8.439119931544608,86.6919500112968
42,1039+811,21,1.0,4.0,0.0,6.0,34.0,KOKEE12M,WETTZ13S,3.1052,354.45,14.58,11.12,55.37,394.0,-8.423989203459564,86.69342159518318
43,2309+454,21,1.0,4.0,0.0,7.0,5.0,KOKEE12M,WETTZ13S,8.07352,44.87,48.41,326.74,14.36,425.0,42.14774228767382,42.339437947834504
44,2353+816,21,1.0,4.0,0.0,7.0,40.0,KOKEE12M,WETTZ13S,6.2104,7.17,26.75,350.16,44.79,460.0,10.03104426167985,79.73964156781213
45,0109+224,21,1.0,4.0,0.0,8.0,22.0,KOKEE12M,WETTZ13S,1.87756,73.91,24.17,292.81,10.60,502.0,78.89366112562867,22.756569258888188
46,2356+385,21,1.0,4.0,0.0,9.0,19.0,KOKEE12M,WETTZ13S,8.07352,56.86,41.58,315.61,13.29,559.0,56.371790094256745,36.80441250656341
47,0133+476,21,1.0,4.0,0.0,10.0,15.0,KOKEE12M,WETTZ13S,2.07013,45.87,24.24,308.32,31.72,615.0,58.90314834709175,57.14095692026366
48,0133+476,21,1.0,4.0,0.0,10.0,32.0,KOKEE12M,WETTZ13S,2.07013,45.88,24.28,308.36,31.69,632.0,58.89458739108597,57.11270320004803
49,1842+681,21,1.0,4.0,0.0,11.0,3.0,KOKEE12M,WETTZ13S,7.33956,347.35,41.17,7.84,28.17,663.0,-14.836541715918843,66.10385018936779
50,3C371,21,1.0,4.0,0.0,11.0,42.0,KOKEE12M,WETTZ13S,2.99019,345.32,37.86,10.85,30.71,702.0,-18.007069308066534,68.73660947288936
51,1746+470,21,1.0,4.0,0.0,12.0,11.0,KOKEE12M,WETTZ13S,5.7668,317.51,49.29,22.04,10.23,731.0,-39.65010730150123,43.28566400441022
52,0109+224,21,1.0,4.0,0.0,12.0,47.0,KOKEE12M,WETTZ13S,1.87756,74.2,25.15,293.6,9.93,767.0,78.3898257152254,22.18208478197569
53,1803+784,21,1.0,4.0,0.0,13.0,49.0,KOKEE12M,WETTZ13S,1.46791,351.78,31.03,7.45,38.91,829.0,-11.026298364342741,76.3284666330624
54,3C418,21,1.0,4.0,0.0,14.0,17.0,KOKEE12M,WETTZ13S,1.52331,2.62,60.69,353.97,10.87,857.0,2.0139711335211787,44.012063333361915
55,1726+455,21,1.0,4.0,0.0,14.0,47.0,KOKEE12M,WETTZ13S,7.33956,313.46,46.12,26.28,10.37,887.0,-45.281377586336255,42.91038226190094
56,1842+681,21,1.0,4.0,0.0,15.0,17.0,KOKEE12M,WETTZ13S,7.33956,346.92,40.95,8.27,28.26,917.0,-15.383593600376445,66.21174395290963
57,0059+581,21,1.0,4.0,0.0,15.0,59.0,KOKEE12M,WETTZ13S,1.36839,34.05,30.24,322.49,33.94,959.0,43.53522157838032,64.42228042682056
58,1039+811,21,1.0,4.0,0.0,16.0,29.0,KOKEE12M,WETTZ13S,3.1052,354.8,14.36,10.67,55.67,989.0,-7.902081459824349,86.82925748399177
59,2229+695,21,1.0,4.0,0.0,16.0,57.0,KOKEE12M,WETTZ13S,5.38235,12.56,39.15,345.93,32.02,1017.0,15.177667894282644,68.12434912338419
60,DA426,21,1.0,4.0,0.0,17.0,29.0,KOKEE12M,WETTZ13S,6.72793,304.06,40.56,34.93,8.23,1049.0,-56.6456140894267,38.29431727351125
61,0059+581,21,1.0,4.0,0.0,18.0,12.0,KOKEE12M,WETTZ13S,1.36839,34.0,30.53,322.72,33.72,1092.0,43.3501418128632,64.26922823124308
62,0016+731,21,1.0,4.0,0.0,18.0,40.0,KOKEE12M,WETTZ13S,3.84453,15.84,30.41,340.63,40.09,1120.0,21.18605983575352,74.6709334566333
63,2356+385,21,1.0,4.0,0.0,19.0,10.0,KOKEE12M,WETTZ13S,8.07352,56.64,43.5,317.21,12.18,1150.0,54.527027698927505,35.89935755837863
64,1803+784,21,1.0,4.0,0.0,20.0,11.0,KOKEE12M,WETTZ13S,1.4951,351.51,30.81,7.82,39.05,1211.0,-11.4120799697587,76.4512837452434
65,0059+581,21,1.0,4.0,0.0,20.0,41.0,KOKEE12M,WETTZ13S,1.36839,33.96,30.85,322.98,33.47,1241.0,43.161949839410916,64.0866860798793
66,0059+581,21,1.0,4.0,0.0,20.0,58.0,KOKEE12M,WETTZ13S,1.36839,33.95,30.89,323.0,33.44,1258.0,43.132759727434305,64.0674756237151
67,1849+670,21,1.0,4.0,0.0,21.0,28.0,KOKEE12M,WETTZ13S,2.24264,346.18,41.86,8.51,27.23,1288.0,-16.01161534972399,65.08953009177337
68,0718+793,21,1.0,4.0,0.0,21.0,56.0,KOKEE12M,WETTZ13S,8.07352,3.27,11.73,356.35,59.79,1316.0,5.026505996874752,87.97700875774635
69,2229+695,21,1.0,4.0,0.0,22.0,27.0,KOKEE12M,WETTZ13S,5.38235,12.06,39.42,346.42,31.80,1347.0,14.52649274797951,67.99159031857457
70,3C371,21,1.0,4.0,0.0,22.0,56.0,KOKEE12M,WETTZ13S,2.99019,344.45,37.18,11.9,31.08,1376.0,-19.223070054872096,69.08199377205709
71,2229+695,21,1.0,4.0,0.0,23.0,25.0,KOKEE12M,WETTZ13S,5.38235,11.97,39.46,346.51,31.76,1405.0,14.411395541705732,67.97527731223177
72,NGC6251,21,1.0,4.0,0.0,23.0,53.0,KOKEE12M,WETTZ13S,7.33956,352.62,25.41,8.65,44.51,1433.0,-10.442095715897745,80.62000747312823
73,0718+793,21,1.0,4.0,0.0,24.0,32.0,KOKEE12M,WETTZ13S,8.07352,3.39,11.77,356.11,59.76,1472.0,5.209996847118358,87.95351552195835
74,3C418,21,1.0,4.0,0.0,25.0,7.0,KOKEE12M,WETTZ13S,1.52331,359.16,60.73,355.69,10.71,1507.0,-0.6450992454147478,43.99859041631192
75,3C418,21,1.0,4.0,0.0,25.0,24.0,KOKEE12M,WETTZ13S,1.52331,359.07,60.73,355.73,10.70,1524.0,-0.7142112453442421,43.997522816129475
76,2356+385,21,1.0,4.0,0.0,25.0,55.0,KOKEE12M,WETTZ13S,8.07352,56.43,44.8,318.32,11.43,1555.0,53.209985309039254,35.31248458574632
77,1842+681,21,1.0,4.0,0.0,26.0,56.0,KOKEE12M,WETTZ13S,7.33956,345.76,40.31,9.46,28.56,1616.0,-16.881887870779497,66.52125401096588
78,0133+476,21,1.0,4.0,0.0,27.0,39.0,KOKEE12M,WETTZ13S,2.07013,46.16,27.14,310.55,29.52,1659.0,57.7674304968007,55.4744426905059
79,2309+454,21,1.0,4.0,0.0,28.0,7.0,KOKEE12M,WETTZ13S,8.07352,42.64,51.79,330.03,12.55,1687.0,37.70967408940646,40.951545239329995
80,0016+731,21,1.0,4.0,0.0,28.0,41.0,KOKEE12M,WETTZ13S,3.84453,15.46,31.04,341.23,39.55,1721.0,20.555584827038018,74.32249295412718
81,0059+581,21,1.0,4.0,0.0,29.0,9.0,KOKEE12M,WETTZ13S,1.36839,33.76,31.95,323.86,32.65,1749.0,42.43771309324275,63.48853554250618
