,source,epoch1,epoch2,epoch3,epoch_h,epoch_min,epoch_sec,station1,station2,sigma,az_st1,el_st1,az_st2,el_st2,epoch_sec_tot,plot_1,plot_2
30,1849+670,21,1.0,4.0,0.0,0.0,0.0,KOKEE12M,WETTZ13S,2.24264,348.59,42.95,6.22,26.77,0.0,-13.032021238520237,64.57345485558392
31,2353+816,21,1.0,4.0,0.0,0.0,28.0,KOKEE12M,WETTZ13S,6.2104,7.32,26.54,349.95,44.99,28.0,10.258615754209249,79.85983405165791
32,2309+454,21,1.0,4.0,0.0,1.0,8.0,KOKEE12M,WETTZ13S,8.07352,45.39,47.43,325.83,14.90,68.0,43.34363235655818,42.75755113970076
33,0059+581,21,1.0,4.0,0.0,1.0,40.0,KOKEE12M,WETTZ13S,1.36839,34.24,28.38,321.05,35.39,100.0,44.55333221840098,65.45988846709237
34,0202+319,21,1.0,4.0,0.0,2.0,9.0,KOKEE12M,WETTZ13S,2.52297,60.48,14.12,289.68,26.49,129.0,75.95035397862439,43.00564772063754
35,0133+476,21,1.0,4.0,0.0,2.0,37.0,KOKEE12M,WETTZ13S,2.12461,45.69,22.96,307.36,32.71,157.0,59.29933075119289,57.88800220974024
36,0016+731,21,1.0,4.0,0.0,3.0,6.0,KOKEE12M,WETTZ13S,3.84453,16.37,29.41,339.73,40.96,186.0,22.096618620718477,75.22326410734962
37,1726+455,21,1.0,4.0,0.0,3.0,38.0,KOKEE12M,WETTZ13S,8.07352,314.34,47.99,24.45,9.59,218.0,-43.07924652211166,42.098031317652975
38,0133+476,21,1.0,4.0,0.0,4.0,12.0,KOKEE12M,WETTZ13S,2.12461,45.73,23.23,307.56,32.51,252.0,59.22060495068735,57.73046205431399
39,0016+731,21,1.0,4.0,0.0,4.0,41.0,KOKEE12M,WETTZ13S,3.84453,16.32,29.51,339.82,40.87,281.0,22.009256959310477,75.16837694606801
40,1849+670,21,1.0,4.0,0.0,5.0,10.0,KOKEE12M,WETTZ13S,2.24264,347.99,42.7,6.77,26.87,310.0,-13.763051785194328,64.69454419879575
41,0109+224,21,1.0,4.0,0.0,5.0,44.0,KOKEE12M,WETTZ13S,1.87756,73.74,23.58,292.34,11.00,344.0,79.18589176992927,23.095578114150868
42,3C418,21,1.0,4.0,0.0,6.0,45.0,KOKEE12M,WETTZ13S,1.52331,5.02,60.57,352.78,11.01,405.0,3.8696125126172145,44.05275915243744
43,3C371,21,1.0,4.0,0.0,7.0,13.0,KOKEE12M,WETTZ13S,2.99019,345.69,38.13,10.43,30.58,433.0,-17.498284154566452,68.59847884362291
44,0109+224,21,1.0,4.0,0.0,7.0,47.0,KOKEE12M,WETTZ13S,1.87756,73.87,24.04,292.71,10.69,467.0,78.9578704947655,22.834811526387995
45,0718+793,21,1.0,4.0,0.0,8.0,48.0,KOKEE12M,WETTZ13S,7.33956,2.66,11.58,357.56,59.90,528.0,4.0917998995732905,88.073084621995
46,0109+224,21,1.0,4.0,0.0,9.0,24.0,KOKEE12M,WETTZ13S,1.87756,73.98,24.4,292.99,10.44,564.0,78.77858804594865,22.619159554841392
47,1849+670,21,1.0,4.0,0.0,10.0,27.0,KOKEE12M,WETTZ13S,2.24264,347.39,42.44,7.34,26.98,627.0,-14.50008082666097,64.81649216248285
48,NGC6251,21,1.0,4.0,0.0,10.0,54.0,KOKEE12M,WETTZ13S,7.33956,352.83,25.8,8.25,44.19,654.0,-10.113494290311197,80.39506044134178
49,1039+811,21,1.0,4.0,0.0,11.0,33.0,KOKEE12M,WETTZ13S,3.1052,354.62,14.46,10.9,55.52,693.0,-8.17115900171598,86.76508545807602
50,1746+470,21,1.0,4.0,0.0,12.0,3.0,KOKEE12M,WETTZ13S,5.7668,317.52,49.31,22.02,10.22,723.0,-39.62646718999075,43.275017881175
51,0016+731,21,1.0,4.0,0.0,12.0,34.0,KOKEE12M,WETTZ13S,3.84453,16.06,30.02,340.27,40.43,754.0,21.557906207719732,74.88529600339541
52,3C418,21,1.0,4.0,0.0,13.0,2.0,KOKEE12M,WETTZ13S,1.52331,3.02,60.67,353.77,10.89,782.0,2.32262483321136,44.02428418825217
53,1851+488,21,1.0,4.0,0.0,13.0,31.0,KOKEE12M,WETTZ13S,7.33956,330.27,56.98,11.11,9.17,811.0,-24.32150698992379,42.58831158233258
54,1842+681,21,1.0,4.0,0.0,14.0,6.0,KOKEE12M,WETTZ13S,7.33956,347.04,41.01,8.15,28.24,846.0,-15.231024845766594,66.18358518714682
55,0059+581,21,1.0,4.0,0.0,14.0,48.0,KOKEE12M,WETTZ13S,1.36839,34.07,30.09,322.37,34.06,888.0,43.62403308096928,64.5051543039142
56,1851+488,21,1.0,4.0,0.0,15.0,20.0,KOKEE12M,WETTZ13S,7.33956,329.88,56.77,11.41,9.23,920.0,-24.74946011546372,42.66073091653096
57,2356+385,21,1.0,4.0,0.0,16.0,1.0,KOKEE12M,WETTZ13S,8.07352,56.72,42.89,316.7,12.53,961.0,55.12539712470646,36.18307881091124
58,0718+793,21,1.0,4.0,0.0,17.0,1.0,KOKEE12M,WETTZ13S,7.33956,3.04,11.67,356.8,59.84,1021.0,4.674317680655244,88.01556290634029
59,1746+470,21,1.0,4.0,0.0,17.0,36.0,KOKEE12M,WETTZ13S,5.7668,316.96,48.43,22.91,10.57,1056.0,-40.75813532781029,43.64661820710575
60,1726+455,21,1.0,4.0,0.0,18.0,3.0,KOKEE12M,WETTZ13S,8.07352,313.23,45.57,26.81,10.61,1083.0,-45.90488494016537,43.15280991733509
61,0059+581,21,1.0,4.0,0.0,18.0,37.0,KOKEE12M,WETTZ13S,1.36839,34.0,30.59,322.76,33.68,1117.0,43.32334563857483,64.22950126913767
62,1746+470,21,1.0,4.0,0.0,19.0,10.0,KOKEE12M,WETTZ13S,5.7668,316.81,48.18,23.17,10.67,1150.0,-41.072952274015115,43.75355229513169
63,1842+681,21,1.0,4.0,0.0,19.0,39.0,KOKEE12M,WETTZ13S,7.33956,346.47,40.72,8.72,28.37,1179.0,-15.958408243899601,66.31856118090239
64,1803+784,21,1.0,4.0,0.0,20.0,18.0,KOKEE12M,WETTZ13S,1.4951,351.5,30.81,7.83,39.06,1218.0,-11.425423062062348,76.44929079713414
65,3C371,21,1.0,4.0,0.0,20.0,45.0,KOKEE12M,WETTZ13S,2.99019,344.62,37.32,11.7,31.00,1245.0,-18.982711679605476,69.01038150672139
66,1039+811,21,1.0,4.0,0.0,21.0,12.0,KOKEE12M,WETTZ13S,3.1052,354.96,14.26,10.45,55.82,1272.0,-7.662988764408491,86.8896606354672
67,0133+476,21,1.0,4.0,0.0,21.0,43.0,KOKEE12M,WETTZ13S,2.07013,46.08,26.15,309.79,30.26,1303.0,58.192252251770135,56.03879272984893
68,0202+319,21,1.0,4.0,0.0,22.0,11.0,KOKEE12M,WETTZ13S,2.52297,61.72,18.2,292.92,23.43,1331.0,75.29274322661402,40.507069712614616
69,1849+670,21,1.0,4.0,0.0,22.0,44.0,KOKEE12M,WETTZ13S,2.24264,346.04,41.78,8.65,27.26,1364.0,-16.19082538279094,65.13152885669668
70,1806+456,21,1.0,4.0,0.0,23.0,13.0,KOKEE12M,WETTZ13S,6.72793,316.79,51.36,20.86,8.45,1393.0,-38.47750186837109,40.960049403570416
71,2356+385,21,1.0,4.0,0.0,23.0,51.0,KOKEE12M,WETTZ13S,8.07352,56.5,44.4,317.98,11.66,1431.0,53.62097740201194,35.49095071959216
72,1842+681,21,1.0,4.0,0.0,24.0,52.0,KOKEE12M,WETTZ13S,7.33956,345.96,40.43,9.25,28.50,1492.0,-16.619962958843963,66.46133232241124
73,NGC6251,21,1.0,4.0,0.0,25.0,31.0,KOKEE12M,WETTZ13S,7.33956,352.6,25.36,8.7,44.55,1531.0,-10.47457330680749,80.64974706160322
74,0202+319,21,1.0,4.0,0.0,26.0,16.0,KOKEE12M,WETTZ13S,2.52297,61.96,19.03,293.58,22.81,1576.0,75.09444105517488,39.99569492550378
75,0202+319,21,1.0,4.0,0.0,26.0,33.0,KOKEE12M,WETTZ13S,2.52297,61.98,19.09,293.63,22.77,1593.0,75.08122784610693,39.95502099653415
76,1039+811,21,1.0,4.0,0.0,27.0,6.0,KOKEE12M,WETTZ13S,3.1052,355.18,14.14,10.16,55.99,1626.0,-7.333186040986984,86.96451962354134
77,1806+456,21,1.0,4.0,0.0,27.0,36.0,KOKEE12M,WETTZ13S,6.72793,316.29,50.66,21.59,8.71,1656.0,-39.42403417556865,41.240482322640744
78,DA426,21,1.0,4.0,0.0,28.0,7.0,KOKEE12M,WETTZ13S,6.72793,303.93,38.52,36.72,9.25,1687.0,-58.42488692572749,39.30431489748868
79,NGC6251,21,1.0,4.0,0.0,28.0,46.0,KOKEE12M,WETTZ13S,7.33956,352.55,25.27,8.79,44.63,1726.0,-10.552787462096402,80.70051501810707
80,1842+681,21,1.0,4.0,0.0,29.0,25.0,KOKEE12M,WETTZ13S,7.33956,345.52,40.17,9.71,28.63,1765.0,-17.19590368947249,66.58750413234675
81,DA426,21,1.0,4.0,0.0,30.0,7.0,KOKEE12M,WETTZ13S,6.72793,303.91,38.13,37.06,9.45,1807.0,-58.75388135692132,39.49585640937217
82,1806+456,21,1.0,4.0,0.0,30.0,44.0,KOKEE12M,WETTZ13S,6.72793,315.95,50.16,22.11,8.90,1844.0,-40.08888293089006,41.44082049833092
83,0059+581,21,1.0,4.0,0.0,31.0,20.0,KOKEE12M,WETTZ13S,1.36839,33.7,32.23,324.08,32.43,1880.0,42.241562046682674,63.33855028806582
84,1746+470,21,1.0,4.0,0.0,31.0,53.0,KOKEE12M,WETTZ13S,5.7668,315.71,46.14,25.21,11.52,1913.0,-43.545998575167665,44.63882655273439
85,1851+488,21,1.0,4.0,0.0,32.0,20.0,KOKEE12M,WETTZ13S,7.33956,326.56,54.69,14.18,9.84,1940.0,-28.666323029951965,43.40878795084759
86,0016+731,21,1.0,4.0,0.0,32.0,57.0,KOKEE12M,WETTZ13S,3.84453,15.28,31.3,341.5,39.33,1977.0,20.266285737392256,74.18279309101924
87,0016+731,21,1.0,4.0,0.0,33.0,14.0,KOKEE12M,WETTZ13S,3.84453,15.27,31.32,341.51,39.32,1994.0,20.249038380514957,74.17057961335787
88,0133+476,21,1.0,4.0,0.0,33.0,43.0,KOKEE12M,WETTZ13S,2.01838,46.23,28.16,311.34,28.77,2023.0,57.298244173132865,54.88947860501828
