,source,epoch1,epoch2,epoch3,epoch_h,epoch_min,epoch_sec,station1,station2,sigma,az_st1,el_st1,az_st2,el_st2,epoch_sec_tot,plot_1,plot_2
30,3C371,21,1.0,4.0,0.0,0.0,0.0,KOKEE12M,WETTZ13S,2.99019,346.29,38.53,9.75,30.37,0.0,-16.68662003816888,68.39938255078944
31,2229+695,21,1.0,4.0,0.0,0.0,29.0,KOKEE12M,WETTZ13S,5.38235,13.99,38.27,344.46,32.71,29.0,17.08200989965286,68.56317612281345
32,1851+488,21,1.0,4.0,0.0,0.0,59.0,KOKEE12M,WETTZ13S,7.33956,333.14,58.36,9.06,8.81,59.0,-21.331054930531003,42.11865724356881
33,2309+454,21,1.0,4.0,0.0,1.0,38.0,KOKEE12M,WETTZ13S,8.07352,45.35,47.51,325.9,14.85,98.0,43.24789132491806,42.72272021159466
34,2229+695,21,1.0,4.0,0.0,2.0,12.0,KOKEE12M,WETTZ13S,5.38235,13.85,38.36,344.61,32.63,132.0,16.893446321683346,68.51961070405218
35,0202+319,21,1.0,4.0,0.0,2.0,43.0,KOKEE12M,WETTZ13S,2.52297,60.52,14.24,289.77,26.40,163.0,75.94016198191864,42.9298899939531
36,1849+670,21,1.0,4.0,0.0,3.0,16.0,KOKEE12M,WETTZ13S,2.24264,348.21,42.79,6.57,26.83,196.0,-13.494935874921255,64.65298369609737
37,0133+476,21,1.0,4.0,0.0,3.0,47.0,KOKEE12M,WETTZ13S,2.12461,45.72,23.16,307.51,32.56,227.0,59.24153349629779,57.77103281660447
38,1851+488,21,1.0,4.0,0.0,4.0,20.0,KOKEE12M,WETTZ13S,7.33956,332.34,58.0,9.61,8.90,260.0,-22.14010263939211,42.24230948493961
39,0109+224,21,1.0,4.0,0.0,5.0,2.0,KOKEE12M,WETTZ13S,1.87756,73.69,23.42,292.22,11.11,302.0,79.26189038062347,23.192816271673745
40,3C371,21,1.0,4.0,0.0,6.0,5.0,KOKEE12M,WETTZ13S,2.99019,345.78,38.19,10.32,30.54,365.0,-17.376203954143772,68.56943279373938
41,3C418,21,1.0,4.0,0.0,6.0,33.0,KOKEE12M,WETTZ13S,1.52331,5.08,60.57,352.75,11.01,393.0,3.9157423239412577,44.0486827498049
42,0718+793,21,1.0,4.0,0.0,7.0,4.0,KOKEE12M,WETTZ13S,7.33956,2.58,11.56,357.72,59.92,424.0,3.969106358262669,88.08500654704397
43,0202+319,21,1.0,4.0,0.0,7.0,40.0,KOKEE12M,WETTZ13S,2.52297,60.84,15.24,290.57,25.64,460.0,75.82973610002989,42.310359554506064
44,0202+319,21,1.0,4.0,0.0,7.0,57.0,KOKEE12M,WETTZ13S,2.52297,60.86,15.3,290.62,25.60,477.0,75.82282037537095,42.27180052576663
45,0016+731,21,1.0,4.0,0.0,8.0,28.0,KOKEE12M,WETTZ13S,3.84453,16.2,29.76,340.03,40.65,508.0,21.79760233414955,75.02783935140039
46,0133+476,21,1.0,4.0,0.0,8.0,57.0,KOKEE12M,WETTZ13S,2.07013,45.84,24.02,308.16,31.89,537.0,58.97457086170187,57.27021123328344
47,2229+695,21,1.0,4.0,0.0,9.0,26.0,KOKEE12M,WETTZ13S,5.38235,13.23,38.76,345.25,32.32,566.0,16.061384613781165,68.31714353950655
48,3C418,21,1.0,4.0,0.0,9.0,53.0,KOKEE12M,WETTZ13S,1.52331,4.02,60.63,353.27,10.95,593.0,3.0944402013468095,44.03167581073884
49,3C371,21,1.0,4.0,0.0,10.0,21.0,KOKEE12M,WETTZ13S,2.99019,345.43,37.94,10.72,30.67,621.0,-17.855652424586896,68.6963429765185
50,1726+455,21,1.0,4.0,0.0,10.0,50.0,KOKEE12M,WETTZ13S,7.33956,313.76,46.79,25.63,10.09,650.0,-44.50512741123791,42.61927935250899
51,0109+224,21,1.0,4.0,0.0,11.0,27.0,KOKEE12M,WETTZ13S,1.87756,74.11,24.86,293.36,10.14,687.0,78.54007943158294,22.357910756176558
52,2356+385,21,1.0,4.0,0.0,12.0,24.0,KOKEE12M,WETTZ13S,8.07352,56.8,42.18,316.11,12.94,744.0,55.806751055431306,36.51891459644201
