,source,epoch1,epoch2,epoch3,epoch_h,epoch_min,epoch_sec,station1,station2,sigma,az_st1,el_st1,az_st2,el_st2,epoch_sec_tot,plot_1,plot_2
30,3C418,21,1.0,4.0,0.0,0.0,0.0,KOKEE12M,WETTZ13S,1.52331,7.13,60.41,351.71,11.16,0.0,5.5160768659671895,44.09744996826045
31,0109+224,21,1.0,4.0,0.0,0.0,32.0,KOKEE12M,WETTZ13S,1.87756,73.39,22.42,291.42,11.79,32.0,79.7255729811517,23.78237770602097
32,0718+793,21,1.0,4.0,0.0,1.0,33.0,KOKEE12M,WETTZ13S,7.33956,2.32,11.5,358.24,59.95,93.0,3.570112370438525,88.120933688567
33,2353+816,21,1.0,4.0,0.0,2.0,4.0,KOKEE12M,WETTZ13S,6.2104,7.29,26.59,349.99,44.94,124.0,10.212342900679694,79.83035441451788
34,1726+455,21,1.0,4.0,0.0,2.0,45.0,KOKEE12M,WETTZ13S,8.07352,314.42,48.14,24.31,9.53,165.0,-42.89523603042583,42.03546088980911
35,3C418,21,1.0,4.0,0.0,3.0,16.0,KOKEE12M,WETTZ13S,1.52331,6.11,60.49,352.23,11.08,196.0,4.7185701038717545,44.07995929634829
36,0718+793,21,1.0,4.0,0.0,3.0,47.0,KOKEE12M,WETTZ13S,7.33956,2.42,11.52,358.03,59.94,227.0,3.7236422058251617,88.10830534379136
37,1842+681,21,1.0,4.0,0.0,4.0,19.0,KOKEE12M,WETTZ13S,7.33956,348.06,41.5,7.14,28.02,259.0,-13.945445942068815,65.94767151513147
38,0202+319,21,1.0,4.0,0.0,5.0,4.0,KOKEE12M,WETTZ13S,2.52297,60.67,14.71,290.15,26.04,304.0,75.8914103147541,42.64053894703275
39,1851+488,21,1.0,4.0,0.0,5.0,38.0,KOKEE12M,WETTZ13S,7.33956,332.04,57.86,9.82,8.93,338.0,-22.448350874870943,42.29040659320218
40,1851+488,21,1.0,4.0,0.0,6.0,2.0,KOKEE12M,WETTZ13S,7.33956,331.94,57.82,9.89,8.94,362.0,-22.547148275353486,42.29810134348939
41,0109+224,21,1.0,4.0,0.0,6.0,44.0,KOKEE12M,WETTZ13S,1.87756,73.8,23.8,292.52,10.85,404.0,79.07669925167339,22.97390487432376
42,3C418,21,1.0,4.0,0.0,7.0,45.0,KOKEE12M,WETTZ13S,1.52331,4.7,60.59,352.94,10.99,465.0,3.621274203589971,44.04641138286816
43,3C371,21,1.0,4.0,0.0,8.0,13.0,KOKEE12M,WETTZ13S,2.99019,345.61,38.07,10.52,30.61,493.0,-17.608501156769265,68.63030952853002
44,0718+793,21,1.0,4.0,0.0,8.0,41.0,KOKEE12M,WETTZ13S,7.33956,2.65,11.57,357.57,59.91,521.0,4.076573907363865,88.07694587422198
45,1849+670,21,1.0,4.0,0.0,9.0,13.0,KOKEE12M,WETTZ13S,2.24264,347.53,42.5,7.21,26.95,553.0,-14.327920206626375,64.78959376844836
46,0202+319,21,1.0,4.0,0.0,9.0,46.0,KOKEE12M,WETTZ13S,2.52297,60.97,15.66,290.91,25.32,586.0,75.7718692360957,42.0529122754912
47,0202+319,21,1.0,4.0,0.0,10.0,3.0,KOKEE12M,WETTZ13S,2.52297,60.99,15.72,290.96,25.27,603.0,75.7642540076059,42.01409979169162
48,0718+793,21,1.0,4.0,0.0,10.0,35.0,KOKEE12M,WETTZ13S,7.33956,2.74,11.6,357.4,59.89,635.0,4.214467373588688,88.06098107982136
49,2353+816,21,1.0,4.0,0.0,11.0,6.0,KOKEE12M,WETTZ13S,6.2104,7.1,26.85,350.26,44.69,666.0,9.924862539203712,79.68155669736095
50,1803+784,21,1.0,4.0,0.0,11.0,44.0,KOKEE12M,WETTZ13S,1.46791,351.88,31.1,7.33,38.87,704.0,-10.885049231816781,76.2914254460977
51,1726+455,21,1.0,4.0,0.0,12.0,14.0,KOKEE12M,WETTZ13S,7.33956,313.65,46.55,25.86,10.19,734.0,-44.78529175960334,42.72304354114845
52,0202+319,21,1.0,4.0,0.0,12.0,50.0,KOKEE12M,WETTZ13S,2.52297,61.16,16.29,291.41,24.85,770.0,75.67233049204916,41.67003800276451
53,2229+695,21,1.0,4.0,0.0,13.0,21.0,KOKEE12M,WETTZ13S,5.38235,12.89,38.96,345.6,32.16,801.0,15.6117309108066,68.21910786246606
54,3C418,21,1.0,4.0,0.0,13.0,48.0,KOKEE12M,WETTZ13S,1.52331,2.78,60.68,353.89,10.87,828.0,2.137532279263436,44.019947965023476
55,1039+811,21,1.0,4.0,0.0,14.0,18.0,KOKEE12M,WETTZ13S,3.1052,354.72,14.41,10.78,55.61,858.0,-8.021514666166576,86.79871011265328
56,2309+454,21,1.0,4.0,0.0,14.0,49.0,KOKEE12M,WETTZ13S,8.07352,44.13,49.67,327.94,13.67,889.0,40.55673696949661,41.80748140990735
57,DA426,21,1.0,4.0,0.0,15.0,29.0,KOKEE12M,WETTZ13S,6.72793,304.1,40.95,34.59,8.04,929.0,-56.287701919363776,38.109639226632154
58,3C418,21,1.0,4.0,0.0,16.0,9.0,KOKEE12M,WETTZ13S,1.52331,2.03,60.71,354.27,10.83,969.0,1.5596901977653679,44.003088608639224
59,2356+385,21,1.0,4.0,0.0,16.0,40.0,KOKEE12M,WETTZ13S,8.07352,56.7,43.01,316.81,12.46,1000.0,55.00541800264231,36.13180619459702
60,NGC6251,21,1.0,4.0,0.0,17.0,41.0,KOKEE12M,WETTZ13S,7.33956,352.72,25.6,8.46,44.36,1061.0,-10.285086842982563,80.510635475435
61,2309+454,21,1.0,4.0,0.0,18.0,24.0,KOKEE12M,WETTZ13S,8.07352,43.75,50.24,328.5,13.36,1104.0,39.80458839713269,41.58041549943472
62,1746+470,21,1.0,4.0,0.0,19.0,3.0,KOKEE12M,WETTZ13S,5.7668,316.82,48.2,23.15,10.66,1143.0,-41.0492917050543,43.74364496790068
63,1039+811,21,1.0,4.0,0.0,19.0,33.0,KOKEE12M,WETTZ13S,3.1052,354.91,14.3,10.53,55.77,1173.0,-7.737436367103861,86.86750329639007
64,1851+488,21,1.0,4.0,0.0,20.0,3.0,KOKEE12M,WETTZ13S,7.33956,328.9,56.21,12.18,9.38,1203.0,-25.854327608376686,42.859208667330925
65,NGC6251,21,1.0,4.0,0.0,20.0,38.0,KOKEE12M,WETTZ13S,7.33956,352.67,25.51,8.55,44.43,1238.0,-10.363122347768416,80.5621155350409
66,3C418,21,1.0,4.0,0.0,21.0,18.0,KOKEE12M,WETTZ13S,1.52331,0.38,60.73,355.08,10.76,1278.0,0.2918389260147176,44.00235154738975
67,NGC6251,21,1.0,4.0,0.0,21.0,46.0,KOKEE12M,WETTZ13S,7.33956,352.65,25.48,8.58,44.46,1306.0,-10.393838089039553,80.5786101932568
68,2309+454,21,1.0,4.0,0.0,22.0,29.0,KOKEE12M,WETTZ13S,8.07352,43.3,50.9,329.14,13.02,1349.0,38.92761391353011,41.30898044057596
69,0718+793,21,1.0,4.0,0.0,23.0,4.0,KOKEE12M,WETTZ13S,8.07352,3.32,11.75,356.25,59.78,1384.0,5.102908306770583,87.96620730753624
70,1842+681,21,1.0,4.0,0.0,23.0,36.0,KOKEE12M,WETTZ13S,7.33956,346.08,40.5,9.12,28.47,1416.0,-16.463563600436583,66.42673149408539
71,0133+476,21,1.0,4.0,0.0,24.0,19.0,KOKEE12M,WETTZ13S,2.07013,46.12,26.59,310.12,29.94,1459.0,58.01008797232243,55.78536660193254
72,1039+811,21,1.0,4.0,0.0,24.0,50.0,KOKEE12M,WETTZ13S,3.1052,355.09,14.19,10.28,55.92,1490.0,-7.468135440483775,86.93374404670855
73,NGC6251,21,1.0,4.0,0.0,25.0,17.0,KOKEE12M,WETTZ13S,7.33956,352.6,25.37,8.69,44.54,1517.0,-10.47370663761288,80.64307407843874
74,0202+319,21,1.0,4.0,0.0,26.0,2.0,KOKEE12M,WETTZ13S,2.52297,61.95,18.98,293.54,22.85,1562.0,75.11003160549232,40.02082793076051
75,1746+470,21,1.0,4.0,0.0,26.0,37.0,KOKEE12M,WETTZ13S,5.7668,316.14,46.99,24.36,11.16,1597.0,-42.53797443822665,44.26530585191353
76,0718+793,21,1.0,4.0,0.0,27.0,7.0,KOKEE12M,WETTZ13S,8.07352,3.51,11.8,355.88,59.73,1627.0,5.393605455027684,87.93280431626508
77,1849+670,21,1.0,4.0,0.0,27.0,39.0,KOKEE12M,WETTZ13S,2.24264,345.52,41.5,9.17,27.38,1659.0,-16.854337569606205,65.26486149438001
78,0133+476,21,1.0,4.0,0.0,28.0,10.0,KOKEE12M,WETTZ13S,2.07013,46.17,27.23,310.62,29.46,1690.0,57.73051826341114,55.41963114048967
79,1746+470,21,1.0,4.0,0.0,28.0,44.0,KOKEE12M,WETTZ13S,5.7668,315.96,46.65,24.7,11.30,1724.0,-42.94755657028871,44.411407042060766
80,0016+731,21,1.0,4.0,0.0,29.0,15.0,KOKEE12M,WETTZ13S,3.84453,15.44,31.08,341.27,39.52,1755.0,20.521009734434738,74.29841644430519
81,0059+581,21,1.0,4.0,0.0,29.0,43.0,KOKEE12M,WETTZ13S,1.36839,33.74,32.02,323.91,32.59,1783.0,42.38319906611221,63.45491209255504
82,1806+456,21,1.0,4.0,0.0,30.0,16.0,KOKEE12M,WETTZ13S,6.72793,316.0,50.23,22.03,8.87,1816.0,-39.99402521913338,41.415025484917095
83,1849+670,21,1.0,4.0,0.0,30.0,48.0,KOKEE12M,WETTZ13S,2.24264,345.19,41.32,9.5,27.47,1848.0,-17.277759186159034,65.34751099009945
84,1849+670,21,1.0,4.0,0.0,31.0,5.0,KOKEE12M,WETTZ13S,2.24264,345.16,41.3,9.53,27.47,1865.0,-17.317284298174414,65.35850235948901
85,0059+581,21,1.0,4.0,0.0,31.0,35.0,KOKEE12M,WETTZ13S,1.36839,33.69,32.26,324.11,32.41,1895.0,42.21656020847153,63.325002014649044
86,3C371,21,1.0,4.0,0.0,32.0,6.0,KOKEE12M,WETTZ13S,2.99019,343.78,36.6,12.75,31.40,1926.0,-20.182322764764137,69.37760896315174
87,1039+811,21,1.0,4.0,0.0,32.0,33.0,KOKEE12M,WETTZ13S,3.1052,355.37,14.04,9.89,56.14,1953.0,-7.0478477747686545,87.02647475800251
88,2229+695,21,1.0,4.0,0.0,33.0,1.0,KOKEE12M,WETTZ13S,5.38235,11.07,39.91,347.39,31.41,1981.0,13.255240757984222,67.75027950728523
89,1803+784,21,1.0,4.0,0.0,33.0,29.0,KOKEE12M,WETTZ13S,1.5526,350.96,30.34,8.58,39.36,2009.0,-12.2044279123264,76.7090842536215
90,1803+784,21,1.0,4.0,0.0,33.0,46.0,KOKEE12M,WETTZ13S,1.5526,350.95,30.33,8.6,39.37,2026.0,-12.219063879483041,76.71478763620657
91,1746+470,21,1.0,4.0,0.0,34.0,15.0,KOKEE12M,WETTZ13S,5.7668,315.53,45.76,25.58,11.69,2055.0,-43.98655939442997,44.80795382777805
