,source,epoch1,epoch2,epoch3,epoch_h,epoch_min,epoch_sec,station1,station2,sigma,az_st1,el_st1,az_st2,el_st2,epoch_sec_tot,plot_1,plot_2
30,0718+793,21,1.0,4.0,0.0,0.0,0.0,KOKEE12M,WETTZ13S,7.33956,2.24,11.49,358.38,59.96,0.0,3.447191245632865,88.12896053500793
31,0202+319,21,1.0,4.0,0.0,0.0,36.0,KOKEE12M,WETTZ13S,2.52297,60.38,13.81,289.42,26.73,36.0,75.97733715975883,43.19622143209886
32,0133+476,21,1.0,4.0,0.0,1.0,4.0,KOKEE12M,WETTZ13S,2.12461,45.65,22.71,307.17,32.91,64.0,59.367880075632065,58.03591908136751
33,1842+681,21,1.0,4.0,0.0,1.0,35.0,KOKEE12M,WETTZ13S,7.33956,348.35,41.63,6.86,27.97,95.0,-13.584119184923322,65.88471901510476
34,1039+811,21,1.0,4.0,0.0,2.0,14.0,KOKEE12M,WETTZ13S,3.1052,354.3,14.67,11.3,55.23,134.0,-8.647377689083275,86.6355519148075
35,2353+816,21,1.0,4.0,0.0,2.0,42.0,KOKEE12M,WETTZ13S,6.2104,7.28,26.61,350.01,44.93,162.0,10.196627202283944,79.81818221808234
36,1039+811,21,1.0,4.0,0.0,3.0,20.0,KOKEE12M,WETTZ13S,3.1052,354.34,14.65,11.26,55.26,200.0,-8.587676711896192,86.64947987173404
37,1803+784,21,1.0,4.0,0.0,3.0,47.0,KOKEE12M,WETTZ13S,1.41641,352.23,31.35,6.86,38.71,227.0,-10.391288537906304,76.15478854401378
38,1726+455,21,1.0,4.0,0.0,4.0,17.0,KOKEE12M,WETTZ13S,8.07352,314.28,47.88,24.56,9.63,257.0,-43.21514455912517,42.14245289000739
39,1039+811,21,1.0,4.0,0.0,4.0,47.0,KOKEE12M,WETTZ13S,3.1052,354.39,14.62,11.2,55.31,287.0,-8.513221439204322,86.66879035473674
40,2229+695,21,1.0,4.0,0.0,5.0,16.0,KOKEE12M,WETTZ13S,5.38235,13.59,38.53,344.88,32.50,316.0,16.543328213239523,68.4341808839449
41,0016+731,21,1.0,4.0,0.0,5.0,43.0,KOKEE12M,WETTZ13S,3.84453,16.29,29.58,339.88,40.81,343.0,21.954687224522388,75.12784741976591
42,3C371,21,1.0,4.0,0.0,6.0,12.0,KOKEE12M,WETTZ13S,2.99019,345.77,38.18,10.33,30.55,372.0,-17.39055834943219,68.57581177825304
43,0059+581,21,1.0,4.0,0.0,6.0,42.0,KOKEE12M,WETTZ13S,1.36839,34.18,29.03,321.56,34.88,402.0,44.20925867450049,65.10081867556794
44,3C418,21,1.0,4.0,0.0,7.0,11.0,KOKEE12M,WETTZ13S,1.52331,4.88,60.58,352.85,11.00,431.0,3.760795986905573,44.04845084821557
45,1746+470,21,1.0,4.0,0.0,7.0,41.0,KOKEE12M,WETTZ13S,5.7668,317.99,49.99,21.31,9.95,461.0,-38.72535314834064,42.99376915279539
46,1803+784,21,1.0,4.0,0.0,8.0,10.0,KOKEE12M,WETTZ13S,1.4417,352.04,31.21,7.12,38.80,490.0,-10.659581985441244,76.23299350706675
47,0133+476,21,1.0,4.0,0.0,8.0,41.0,KOKEE12M,WETTZ13S,2.07013,45.84,23.97,308.13,31.93,521.0,58.99748363608828,57.29246183061508
48,3C371,21,1.0,4.0,0.0,9.0,13.0,KOKEE12M,WETTZ13S,2.99019,345.52,38.01,10.62,30.64,553.0,-17.730805208382673,68.6587972579669
