  Wz_Az    Wz_El    Kk_Az    Kk_El
   171.00     8.00  -165.88   -79.13
   172.00     8.00  -171.13   -79.24
   173.00     8.00  -176.43   -79.25
   174.00     8.00   178.28   -79.18
   175.00     8.00   173.11   -79.03
   176.00     8.00   168.11   -78.79
   177.00     8.00   163.35   -78.47
   178.00     8.00   158.86   -78.09
   179.00     8.00   154.66   -77.64
   180.00     8.00   150.77   -77.13
   181.00     8.00   147.18   -76.57
   182.00     8.00   143.87   -75.96
   183.00     8.00   140.83   -75.32
   184.00     8.00   138.05   -74.64
   185.00     8.00   135.49   -73.93
   186.00     8.00   133.14   -73.20
   187.00     8.00   130.98   -72.44
   188.00     8.00   128.99   -71.67
   189.00     8.00   127.15   -70.87
   190.00     8.00   125.45   -70.06
   191.00     8.00   123.87   -69.24
   192.00     8.00   122.41   -68.40
   193.00     8.00   121.04   -67.55
   194.00     8.00   119.76   -66.70
   195.00     8.00   118.56   -65.83
   196.00     8.00   117.44   -64.96
   197.00     8.00   116.38   -64.08
   198.00     8.00   115.38   -63.19
   199.00     8.00   114.44   -62.30
   200.00     8.00   113.55   -61.40
   201.00     8.00   112.70   -60.50
   202.00     8.00   111.90   -59.60
   203.00     8.00   111.13   -58.69
   204.00     8.00   110.40   -57.78
   205.00     8.00   109.69   -56.86
   206.00     8.00   109.02   -55.94
   207.00     8.00   108.38   -55.02
   208.00     8.00   107.76   -54.10
   209.00     8.00   107.17   -53.18
   210.00     8.00   106.59   -52.25
   211.00     8.00   106.04   -51.32
   212.00     8.00   105.50   -50.39
   213.00     8.00   104.98   -49.46
   214.00     8.00   104.48   -48.52
   215.00     8.00   103.99   -47.59
   216.00     8.00   103.52   -46.65
   217.00     8.00   103.06   -45.71
   218.00     8.00   102.61   -44.78
   219.00     8.00   102.17   -43.84
   220.00     8.00   101.75   -42.90
   221.00     8.00   101.33   -41.95
   222.00     8.00   100.92   -41.01
   223.00     8.00   100.52   -40.07
   224.00     8.00   100.13   -39.13
   225.00     8.00    99.74   -38.18
   226.00     8.00    99.37   -37.24
   227.00     8.00    99.00   -36.29
   228.00     8.00    98.63   -35.35
   229.00     8.00    98.27   -34.40
   230.00     8.00    97.92   -33.46
   231.00     8.00    97.57   -32.51
   232.00     8.00    97.23   -31.57
   233.00     8.00    96.89   -30.62
   234.00     8.00    96.55   -29.67
   235.00     8.00    96.22   -28.73
   236.00     8.00    95.89   -27.78
   237.00     8.00    95.56   -26.83
   238.00     8.00    95.24   -25.89
   239.00     8.00    94.92   -24.94
   240.00     8.00    94.60   -23.99
   241.00     8.00    94.28   -23.04
   242.00     8.00    93.97   -22.10
   243.00     8.00    93.66   -21.15
   244.00     8.00    93.34   -20.20
   245.00     8.00    93.04   -19.26
   246.00     8.00    92.73   -18.31
   247.00     8.00    92.42   -17.37
   248.00     8.00    92.11   -16.42
   249.00     8.00    91.81   -15.47
   250.00     8.00    91.50   -14.53
   251.00     8.00    91.19   -13.58
   252.00     8.00    90.89   -12.64
   253.00     8.00    90.58   -11.70
   254.00     8.00    90.28   -10.75
   255.00     8.00    89.97    -9.81
   256.00     8.00    89.66    -8.87
   257.00     8.00    89.36    -7.92
   258.00     8.00    89.05    -6.98
   259.00     8.00    88.74    -6.04
   260.00     8.00    88.43    -5.10
   261.00     8.00    88.12    -4.16
   262.00     8.00    87.80    -3.22
   263.00     8.00    87.49    -2.28
   264.00     8.00    87.17    -1.34
   265.00     8.00    86.85    -0.41
   266.00     8.00    86.53     0.53
   267.00     8.00    86.21     1.47
   268.00     8.00    85.88     2.40
   269.00     8.00    85.55     3.34
   270.00     8.00    85.22     4.27
   271.00     8.00    84.88     5.20
   272.00     8.00    84.54     6.13
   273.00     8.00    84.20     7.06
   274.00     8.00    83.86     7.99
   275.00     8.00    83.51     8.92
   276.00     8.00    83.15     9.85
   277.00     8.00    82.80    10.77
   278.00     8.00    82.43    11.70
   279.00     8.00    82.07    12.62
   280.00     8.00    81.70    13.54
   281.00     8.00    81.32    14.46
   282.00     8.00    80.94    15.38
   283.00     8.00    80.55    16.30
   284.00     8.00    80.15    17.21
   285.00     8.00    79.75    18.13
   286.00     8.00    79.35    19.04
   287.00     8.00    78.93    19.95
   288.00     8.00    78.51    20.86
   289.00     8.00    78.08    21.76
   290.00     8.00    77.65    22.67
   291.00     8.00    77.20    23.57
   292.00     8.00    76.75    24.47
   293.00     8.00    76.29    25.37
   294.00     8.00    75.82    26.26
   295.00     8.00    75.33    27.15
   296.00     8.00    74.84    28.04
   297.00     8.00    74.34    28.93
   298.00     8.00    73.83    29.81
   299.00     8.00    73.30    30.69
   300.00     8.00    72.77    31.57
   301.00     8.00    72.22    32.44
   302.00     8.00    71.65    33.32
   303.00     8.00    71.08    34.18
   304.00     8.00    70.49    35.04
   305.00     8.00    69.88    35.90
   306.00     8.00    69.26    36.76
   307.00     8.00    68.62    37.61
   308.00     8.00    67.96    38.45
   309.00     8.00    67.29    39.29
   310.00     8.00    66.60    40.12
   311.00     8.00    65.88    40.95
   312.00     8.00    65.15    41.78
   313.00     8.00    64.39    42.59
   314.00     8.00    63.62    43.40
   315.00     8.00    62.81    44.21
   316.00     8.00    61.99    45.00
   317.00     8.00    61.13    45.79
   318.00     8.00    60.25    46.57
   319.00     8.00    59.35    47.35
   320.00     8.00    58.41    48.11
   321.00     8.00    57.44    48.86
   322.00     8.00    56.44    49.61
   323.00     8.00    55.40    50.34
   324.00     8.00    54.33    51.06
   325.00     8.00    53.23    51.77
   326.00     8.00    52.08    52.47
   327.00     8.00    50.90    53.16
   328.00     8.00    49.68    53.83
   329.00     8.00    48.41    54.48
   330.00     8.00    47.10    55.12
   331.00     8.00    45.75    55.75
   332.00     8.00    44.35    56.36
   333.00     8.00    42.90    56.95
   334.00     8.00    41.40    57.52
   335.00     8.00    39.86    58.06
   336.00     8.00    38.26    58.59
   337.00     8.00    36.61    59.10
   338.00     8.00    34.92    59.58
   339.00     8.00    33.17    60.04
   340.00     8.00    31.37    60.47
   341.00     8.00    29.53    60.87
   342.00     8.00    27.64    61.25
   343.00     8.00    25.70    61.60
   344.00     8.00    23.71    61.91
   345.00     8.00    21.69    62.20
   346.00     8.00    19.63    62.45
   347.00     8.00    17.53    62.67
   348.00     8.00    15.41    62.86
   349.00     8.00    13.26    63.01
   350.00     8.00    11.09    63.13
   351.00     8.00     8.90    63.20
   352.00     8.00     6.70    63.25
   353.00     8.00     4.50    63.26
   354.00     8.00     2.30    63.23
   355.00     8.00     0.11    63.16
   356.00     8.00    -2.07    63.06
   357.00     8.00    -4.23    62.92
   358.00     8.00    -6.36    62.75
   359.00     8.00    -8.47    62.54
   360.00     8.00   -10.55    62.30
